Element 17: (1, (13, 13), ['', '', '%', ''], [(16, 12), (17, 13), (16, 11)], [False, False, True, False], 66, False, [False, False, False, False], 2483, 'East', (14, 13))
Element 18: (1, (14, 13), ['', '', '%', ''], [(15, 12), (18, 13), (16, 10)], [False, False, True, False], 64, False, [False, False, False, False], 2482, 'East', (15, 13))
Element 19: (1, (15, 13), ['', '', '%', ''], [(14, 12), (17, 13), (16, 9)], [False, False, True, False], 62, False, [False, False, False, False], 2481, 'East', (16, 13))
Element 20: (1, (16, 13), ['', '', '%', ''], [(14, 13), (17, 12), (16, 8)], [False, False, True, False], 60, False, [False, False, False, False], 2490, 'East', (17, 13))
Element 21: (1, (17, 13), ['', '', '%', ''], [(15, 13), (16, 12), (17, 8)], [False, False, True, False], 58, False, [False, False, False, False], 2499, 'East', (18, 13))
Element 22: (1, (18, 13), ['', '%', '%', '%'], [(14, 13), (16, 13), (18, 8)], [False, True, True, True], 56, False, [False, False, False, False], 2508, 'West', (17, 13))
Element 23: (1, (17, 13), ['', '', '%', ''], [(13, 13), (15, 13), (18, 7)], [False, False, True, False], 54, False, [False, False, False, False], 2517, 'South', (17, 12))
Element 24: (1, (17, 12), ['', '%', '', '%'], [(13, 12), (14, 13), (18, 6)], [False, True, False, True], 52, False, [False, False, False, False], 2526, 'West', (16, 12))
Element 25: (1, (16, 12), ['', '', '', ''], [(13, 11), (14, 12), (17, 6)], [False, False, False, False], 50, False, [False, False, False, False], 2535, 'South', (16, 11))
Element 26: (1, (16, 11), ['', '', '', '%'], [(12, 11), (14, 11), (17, 7)], [False, False, False, True], 48, False, [False, False, False, False], 2544, 'South', (16, 10))
Element 27: (1, (16, 10), ['', '', '', '%'], [(11, 11), (15, 11), (16, 7)], [False, False, False, True], 46, False, [False, False, False, False], 2553, 'South', (16, 9))
Element 28: (1, (16, 9), ['', '', '', '%'], [(10, 11), (15, 10), (16, 6)], [False, False, False, True], 44, False, [False, False, False, False], 2562, 'South', (16, 8))
Element 29: (1, (16, 8), ['.', '', '', ''], [(10, 12), (14, 10), (15, 6)], [False, False, False, False], 42, False, [True, False, False, False], 2571, 'West', (15, 8))
Element 30: (1, (15, 8), ['.', '%', '', ''], [(10, 13), (13, 10), (15, 5)], [False, True, False, False], 40, False, [True, False, False, False], 2590, 'West', (14, 8))
Element 31: (1, (14, 8), ['.', '.', '', ''], [(9, 13), (13, 11), (15, 4)], [False, False, False, False], 38, False, [True, True, False, False], 2619, 'South', (14, 7))
Element 32: (1, (14, 7), ['.', '.', '', '%'], [(8, 13), (13, 12), (15, 3)], [False, False, False, True], 36, False, [True, True, False, False], 2648, 'South', (14, 6))
Element 33: (1, (14, 6), ['%', '.', '', ''], [(8, 12), (13, 13), (16, 3)], [True, False, False, False], 34, False, [False, True, False, False], 2677, 'South', (14, 5))
