Element 1: (2, (9, 11), ['G', '.', '.', '.'], [(18, 7), (8, 11), (16, 6)], [False, False, False, False], 98, False, [False, True, True, True], 19, 'East', (10, 11))
Element 2: (2, (10, 11), ['', '.', '.', '.'], [(18, 8), (8, 12), (17, 6)], [False, False, False, False], 96, False, [False, True, True, True], 58, 'East', (11, 11))
Element 3: (2, (11, 11), ['', '.', '%', '.'], [(17, 8), (9, 12), (17, 7)], [False, False, True, False], 94, False, [False, True, False, True], 97, 'East', (12, 11))
Element 4: (2, (12, 11), ['', '.', '%', '.'], [(16, 8), (10, 12), (16, 7)], [False, False, True, False], 92, False, [False, True, False, True], 136, 'East', (13, 11))
Element 5: (2, (13, 11), ['', '.', '.', '.'], [(16, 9), (10, 13), (17, 7)], [False, False, False, False], 90, False, [False, True, True, True], 1155, 'East', (14, 11))
Element 6: (2, (14, 11), ['', '.', '.', '.'], [(16, 10), (11, 13), (18, 7)], [False, False, False, False], 88, False, [False, True, True, True], 1184, 'East', (15, 11))
Element 7: (2, (15, 11), ['', '.', '.', 'G'], [(16, 11), (12, 13), (18, 8)], [False, False, False, False], 86, False, [False, True, True, False], 1213, 'North', (15, 12))
Element 8: (2, (15, 12), ['.', '', '.', 'G'], [(16, 12), (13, 13), (17, 8)], [False, False, False, False], 84, False, [True, False, True, False], 1242, 'North', (15, 13))
Element 9: (2, (15, 13), ['G', '', '%', '.'], [(17, 12), (14, 13), (16, 8)], [False, False, True, False], 82, False, [False, False, False, True], 1271, 'East', (16, 13))
Element 10: (2, (16, 13), ['', '', '%', 'G'], [(17, 13), (14, 12), (15, 8)], [False, False, True, False], 80, False, [False, False, False, False], 1310, 'South', (16, 12))
Element 11: (2, (16, 12), ['', '', '', ''], [(18, 13), (13, 12), (15, 9)], [False, False, False, False], 78, False, [False, False, False, False], 1339, 'East', (17, 12))
Element 12: (2, (17, 12), ['', '%', 'G', '%'], [(17, 13), (13, 11), (15, 10)], [False, True, False, True], 76, False, [False, False, False, False], 1348, 'West', (16, 12))
Element 13: (2, (16, 12), ['', '', 'G', ''], [(16, 13), (13, 10), (14, 10)], [False, False, False, False], 74, False, [False, False, False, False], 1367, 'South', (16, 11))
Element 14: (2, (16, 11), ['', '', '', '%'], [(15, 13), (13, 9), (14, 9)], [False, False, False, True], 72, False, [False, False, False, False], 1386, 'South', (16, 10))
Element 15: (2, (16, 10), ['', '', '', '%'], [(15, 12), (13, 8), (14, 8)], [False, False, False, True], 70, False, [False, False, False, False], 1405, 'South', (16, 9))
Element 16: (2, (16, 9), ['', '', '', '%'], [(15, 11), (13, 7), (14, 7)], [False, False, False, True], 68, False, [False, False, False, False], 1424, 'South', (16, 8))
Element 17: (2, (16, 8), ['', '', '', ''], [(15, 10), (12, 7), (14, 6)], [False, False, False, False], 66, False, [False, False, False, False], 1443, 'East', (17, 8))
Element 18: (2, (17, 8), ['', '', '%', ''], [(15, 9), (12, 8), (15, 6)], [False, False, True, False], 64, False, [False, False, False, False], 1462, 'East', (18, 8))
Element 19: (2, (18, 8), ['', '', '%', '%'], [(15, 8), (12, 9), (15, 5)], [False, False, True, True], 62, False, [False, False, False, False], 1481, 'South', (18, 7))
Element 20: (2, (18, 7), ['', '', '', '%'], [(14, 8), (12, 10), (15, 4)], [False, False, False, True], 60, False, [False, False, False, False], 1500, 'South', (18, 6))
Element 21: (2, (18, 6), ['', '%', '', '%'], [(14, 9), (11, 10), (15, 3)], [False, True, False, True], 58, False, [False, False, False, False], 1519, 'West', (17, 6))
Element 22: (2, (17, 6), ['', '%', '', ''], [(14, 10), (11, 9), (16, 3)], [False, True, False, False], 56, False, [False, False, False, False], 1538, 'North', (17, 7))
Element 23: (2, (17, 7), ['', '', '', ''], [(14, 11), (10, 9), (16, 2)], [False, False, False, False], 54, False, [False, False, False, False], 2547, 'West', (16, 7))
Element 24: (2, (16, 7), ['%', '', '', ''], [(14, 12), (10, 10), (16, 1)], [True, False, False, False], 52, False, [False, False, False, False], 2566, 'South', (16, 6))
Element 25: (2, (16, 6), ['', '%', '', ''], [(14, 13), (9, 10), (17, 1)], [False, True, False, False], 50, False, [False, False, False, False], 2585, 'West', (15, 6))
Element 26: (2, (15, 6), ['', '', '%', ''], [(13, 13), (9, 9), (16, 1)], [False, False, True, False], 48, False, [False, False, False, False], 2594, 'South', (15, 5))
Element 27: (2, (15, 5), ['.', '', '', '%'], [(13, 12), (8, 9), (15, 1)], [False, False, False, True], 46, False, [True, False, False, False], 3603, 'West', (14, 5))
Element 28: (2, (14, 5), ['.', '.', '', ''], [(13, 11), (8, 10), (14, 1)], [False, False, False, False], 44, False, [True, True, False, False], 3632, 'South', (14, 4))
Element 29: (2, (14, 4), ['.', '%', '', ''], [(13, 10), (7, 10), (13, 1)], [False, True, False, False], 42, False, [True, False, False, False], 3661, 'West', (13, 4))
Element 30: (2, (13, 4), ['.', '.', '.', ''], [(13, 9), (7, 9), (12, 1)], [False, False, False, False], 40, False, [True, True, True, False], 3690, 'North', (13, 5))
Element 31: (2, (13, 5), ['.', '', '%', ''], [(13, 8), (7, 8), (11, 1)], [False, False, True, False], 38, False, [True, False, False, False], 3719, 'West', (12, 5))
Element 32: (2, (12, 5), ['F', '.', '.', ''], [(13, 7), (8, 8), (10, 1)], [False, False, False, False], 36, False, [False, True, True, False], 3748, 'West', (11, 5))
Element 33: (2, (11, 5), ['.', '.', '.', ''], [(14, 7), (7, 8), (9, 1)], [False, False, False, False], 34, False, [True, True, True, False], 4757, 'North', (11, 6))
Element 34: (2, (11, 6), ['.', '', '.', '.'], [(14, 6), (6, 8), (8, 1)], [False, False, False, False], 32, False, [True, False, True, True], 4786, 'East', (12, 6))
