Element 13: (1, (12, 13), ['', '%', '%', '.'], [(6, 2), (15, 13), (15, 6)], [False, True, True, False], 74, False, [False, False, False, True], 1457, 'East', (13, 13))
Element 14: (1, (13, 13), ['', '.', '%', 'G'], [(7, 2), (14, 13), (15, 5)], [False, False, True, False], 72, False, [False, True, False, False], 1496, 'South', (13, 12))
Element 15: (1, (13, 12), ['%', '.', 'G', ''], [(8, 2), (13, 13), (15, 4)], [True, False, False, False], 70, False, [False, True, False, False], 1525, 'South', (13, 11))
Element 16: (1, (13, 11), ['.', '', 'G', ''], [(8, 3), (13, 12), (15, 3)], [False, False, False, False], 68, False, [True, False, False, False], 1554, 'West', (12, 11))
Element 17: (1, (12, 11), ['.', '', '%', 'G'], [(9, 3), (13, 11), (16, 3)], [False, False, True, False], 66, False, [True, False, False, False], 1583, 'West', (11, 11))
Element 18: (1, (11, 11), ['.', '.', '%', 'G'], [(10, 3), (12, 11), (16, 2)], [False, False, True, False], 64, False, [True, True, False, False], 2602, 'South', (11, 10))
Element 19: (1, (11, 10), ['.', '.', 'G', ''], [(11, 3), (11, 11), (16, 1)], [False, False, False, False], 62, False, [True, True, False, False], 2631, 'South', (11, 9))
Element 20: (1, (11, 9), ['.', '%', '', '.'], [(12, 3), (10, 11), (17, 1)], [False, True, False, False], 60, False, [True, False, False, True], 2670, 'East', (12, 9))
Element 21: (1, (12, 9), ['', '.', '', '.'], [(13, 3), (10, 10), (16, 1)], [False, False, False, False], 58, False, [False, True, False, True], 2699, 'East', (13, 9))
Element 22: (1, (13, 9), ['', '.', '', '.'], [(13, 4), (10, 9), (15, 1)], [False, False, False, False], 56, False, [False, True, False, True], 2738, 'East', (14, 9))
Element 23: (1, (14, 9), ['', '.', '', '.'], [(14, 4), (9, 9), (14, 1)], [False, False, False, False], 54, False, [False, True, False, True], 2777, 'East', (15, 9))
Element 24: (1, (15, 9), ['', '.', '', ''], [(14, 5), (8, 9), (13, 1)], [False, False, False, False], 52, False, [False, True, False, False], 3806, 'South', (15, 8))
Element 25: (1, (15, 8), ['.', '%', '', ''], [(14, 6), (8, 10), (12, 1)], [False, True, False, False], 50, False, [True, False, False, False], 3845, 'West', (14, 8))
Element 26: (1, (14, 8), ['.', 'G', '', ''], [(14, 7), (9, 10), (11, 1)], [False, False, False, False], 48, False, [True, False, False, False], 3884, 'West', (13, 8))
Element 27: (1, (13, 8), ['.', 'G', '', ''], [(13, 7), (9, 11), (10, 1)], [False, False, False, False], 46, False, [True, False, False, False], 3923, 'West', (12, 8))
Element 28: (1, (12, 8), ['%', 'G', '', ''], [(12, 7), (8, 11), (9, 1)], [True, False, False, False], 44, False, [False, False, False, False], 3962, 'East', (13, 8))
Element 29: (1, (13, 8), ['', '', '', ''], [(12, 6), (7, 11), (8, 1)], [False, False, False, False], 42, False, [False, False, False, False], 3991, 'East', (14, 8))
