Element 1: (1, (12, 5), ['F', '.', '.', '.'], [(3, 4), (13, 9), (17, 1)], [False, False, False, False], 98, False, [False, True, True, True], 9, 'West', (11, 5))
Element 2: (1, (11, 5), ['.', '.', '.', ''], [(4, 4), (14, 9), (16, 1)], [False, False, False, False], 96, False, [True, True, True, False], 1038, 'North', (11, 6))
Element 3: (1, (11, 6), ['.', '', '.', '.'], [(5, 4), (15, 9), (16, 2)], [False, False, False, False], 94, False, [True, False, True, True], 2067, 'East', (12, 6))
Element 4: (1, (12, 6), ['', '', '.', '%'], [(6, 4), (16, 9), (16, 3)], [False, False, False, True], 92, False, [False, False, True, False], 3096, 'North', (12, 7))
Element 5: (1, (12, 7), ['.', '', '.', '.'], [(7, 4), (16, 10), (17, 3)], [False, False, False, False], 90, False, [True, False, True, True], 3135, 'East', (13, 7))
Element 6: (1, (13, 7), ['', '%', '.', '.'], [(8, 4), (16, 11), (18, 3)], [False, True, False, False], 88, False, [False, False, True, True], 3174, 'East', (14, 7))
Element 7: (1, (14, 7), ['', '.', '.', '%'], [(9, 4), (16, 12), (17, 3)], [False, False, False, True], 86, False, [False, True, True, False], 3203, 'North', (14, 8))
Element 8: (1, (14, 8), ['.', '', '', '.'], [(9, 5), (17, 12), (16, 3)], [False, False, False, False], 84, False, [True, False, False, True], 3232, 'East', (15, 8))
Element 9: (1, (15, 8), ['', '%', '', '.'], [(10, 5), (17, 13), (15, 3)], [False, True, False, False], 82, False, [False, False, False, True], 3271, 'East', (16, 8))
Element 10: (1, (16, 8), ['', '.', '', '.'], [(10, 6), (18, 13), (15, 4)], [False, False, False, False], 80, False, [False, True, False, True], 3310, 'East', (17, 8))
Element 11: (1, (17, 8), ['', '.', '%', '.'], [(9, 6), (17, 13), (15, 5)], [False, False, True, False], 78, False, [False, True, False, True], 3339, 'East', (18, 8))
Element 12: (1, (18, 8), ['', '.', '%', '%'], [(8, 6), (16, 13), (15, 6)], [False, False, True, True], 76, False, [False, True, False, False], 3378, 'South', (18, 7))
Element 13: (1, (18, 7), ['.', '.', '', '%'], [(8, 5), (15, 13), (16, 6)], [False, False, False, True], 74, False, [True, True, False, False], 3417, 'South', (18, 6))
Element 14: (1, (18, 6), ['G', '%', '', '%'], [(7, 5), (15, 12), (17, 6)], [False, True, False, True], 72, False, [False, False, False, False], 3456, 'North', (18, 7))
Element 15: (1, (18, 7), ['G', '', '', '%'], [(7, 6), (15, 11), (17, 7)], [False, False, False, True], 70, False, [False, False, False, False], 3485, 'South', (18, 6))
Element 16: (1, (18, 6), ['', '%', '', '%'], [(6, 6), (15, 10), (16, 7)], [False, True, False, True], 68, False, [False, False, False, False], 3514, 'North', (18, 7))
Element 17: (1, (18, 7), ['', '', '', '%'], [(6, 5), (14, 10), (16, 8)], [False, False, False, True], 66, False, [False, False, False, False], 3533, 'North', (18, 8))
Element 18: (1, (18, 8), ['G', '', '%', '%'], [(5, 5), (14, 11), (17, 8)], [False, False, True, True], 64, False, [False, False, False, False], 3552, 'South', (18, 7))
Element 19: (1, (18, 7), ['', '', 'G', '%'], [(4, 5), (14, 12), (18, 8)], [False, False, False, True], 62, False, [False, False, False, False], 3571, 'West', (17, 7))
Element 20: (1, (17, 7), ['', '', '', 'G'], [(3, 5), (14, 13), (18, 7)], [False, False, False, False], 60, False, [False, False, False, False], 3590, 'South', (17, 6))
Element 21: (1, (17, 6), ['', '%', '', 'G'], [(2, 5), (13, 13), (18, 6)], [False, True, False, False], 58, False, [False, False, False, False], 3609, 'West', (16, 6))
Element 22: (1, (16, 6), ['', '%', '', ''], [(2, 6), (13, 12), (18, 7)], [False, True, False, False], 56, False, [False, False, False, False], 3628, 'North', (16, 7))
Element 23: (1, (16, 7), ['%', '', '', ''], [(2, 7), (13, 11), (18, 8)], [True, False, False, False], 54, False, [False, False, False, False], 3647, 'South', (16, 6))
Element 24: (1, (16, 6), ['', '%', '', ''], [(1, 7), (13, 10), (17, 8)], [False, True, False, False], 52, False, [False, False, False, False], 3666, 'West', (15, 6))
Element 25: (1, (15, 6), ['.', '', '%', ''], [(1, 6), (12, 10), (16, 8)], [False, False, True, False], 50, False, [True, False, False, False], 3685, 'West', (14, 6))
Element 26: (1, (14, 6), ['%', '.', '', ''], [(1, 5), (12, 11), (16, 9)], [True, False, False, False], 48, False, [False, True, False, False], 3714, 'South', (14, 5))
Element 27: (1, (14, 5), ['.', '.', '', ''], [(1, 4), (11, 11), (16, 10)], [False, False, False, False], 46, False, [True, True, False, False], 3743, 'South', (14, 4))
Element 28: (1, (14, 4), ['.', '%', '', ''], [(1, 5), (11, 10), (16, 11)], [False, True, False, False], 44, False, [True, False, False, False], 3762, 'West', (13, 4))
Element 29: (1, (13, 4), ['.', '.', '.', ''], [(1, 6), (11, 9), (16, 12)], [False, False, False, False], 42, False, [True, True, True, False], 3781, 'North', (13, 5))
Element 30: (1, (13, 5), ['', '', '%', ''], [(1, 7), (12, 9), (17, 12)], [False, False, True, False], 40, False, [False, False, False, False], 3800, 'South', (13, 4))
Element 31: (1, (13, 4), ['.', '.', '', ''], [(2, 7), (12, 8), (17, 13)], [False, False, False, False], 38, False, [True, True, False, False], 3809, 'South', (13, 3))
Element 32: (1, (13, 3), ['.', '%', '', '%'], [(2, 6), (13, 8), (18, 13)], [False, True, False, True], 36, False, [True, False, False, False], 3828, 'West', (12, 3))
Element 33: (1, (12, 3), ['.', '%', '.', ''], [(1, 6), (14, 8), (17, 13)], [False, True, False, False], 34, False, [True, False, True, False], 3837, 'North', (12, 4))
Element 34: (1, (12, 4), ['.', '', '', ''], [(2, 6), (15, 8), (16, 13)], [False, False, False, False], 32, False, [True, False, False, False], 3846, 'West', (11, 4))
Element 35: (1, (11, 4), ['%', '.', '', ''], [(2, 5), (16, 8), (15, 13)], [True, False, False, False], 30, False, [False, True, False, False], 3855, 'South', (11, 3))
Element 36: (1, (11, 3), ['.', '%', '', ''], [(1, 5), (17, 8), (15, 12)], [False, True, False, False], 28, False, [True, False, False, False], 3864, 'West', (10, 3))
Element 37: (1, (10, 3), ['.', '%', '%', ''], [(2, 5), (18, 8), (15, 11)], [False, True, True, False], 26, False, [True, False, False, False], 3873, 'West', (9, 3))
Element 38: (1, (9, 3), ['.', '%', '', ''], [(3, 5), (18, 7), (15, 10)], [False, True, False, False], 24, False, [True, False, False, False], 3882, 'West', (8, 3))
Element 39: (1, (8, 3), ['.', '.', '', ''], [(4, 5), (18, 6), (15, 9)], [False, False, False, False], 22, False, [True, True, False, False], 3891, 'South', (8, 2))
