Element 1: (0, (16, 1), ['.', '%', 'F', '.'], [(1, 13), (8, 6), (12, 5)], [False, True, False, False], 98, False, [True, False, False, True], 0, 'North', (16, 2))
Element 2: (0, (16, 2), ['%', '', '.', '%'], [(2, 13), (9, 6), (11, 5)], [True, False, False, True], 96, False, [False, False, True, False], 2019, 'North', (16, 3))
Element 3: (0, (16, 3), ['.', '', '%', '.'], [(3, 13), (10, 6), (11, 6)], [False, False, True, False], 94, False, [True, False, False, True], 2058, 'East', (17, 3))
Element 4: (0, (17, 3), ['', '%', '%', '.'], [(4, 13), (10, 5), (12, 6)], [False, True, True, False], 92, False, [False, False, False, True], 2097, 'East', (18, 3))
Element 5: (0, (18, 3), ['', '%', '%', '%'], [(5, 13), (9, 5), (12, 7)], [False, True, True, True], 90, False, [False, False, False, False], 2136, 'West', (17, 3))
Element 6: (0, (17, 3), ['', '%', '%', ''], [(6, 13), (9, 4), (13, 7)], [False, True, True, False], 88, False, [False, False, False, False], 2165, 'West', (16, 3))
Element 7: (0, (16, 3), ['.', '', '%', ''], [(7, 13), (9, 3), (14, 7)], [False, False, True, False], 86, False, [True, False, False, False], 2194, 'West', (15, 3))
Element 8: (0, (15, 3), ['%', '%', '.', ''], [(8, 13), (10, 3), (14, 8)], [True, True, False, False], 84, False, [False, False, True, False], 2233, 'North', (15, 4))
Element 9: (0, (15, 4), ['.', '', '.', '%'], [(9, 13), (11, 3), (15, 8)], [False, False, False, True], 82, False, [True, False, True, False], 2272, 'North', (15, 5))
Element 10: (0, (15, 5), ['.', '', '.', '%'], [(10, 13), (12, 3), (16, 8)], [False, False, False, True], 80, False, [True, False, True, False], 2311, 'North', (15, 6))
Element 11: (0, (15, 6), ['.', '', '%', '.'], [(11, 13), (13, 3), (16, 9)], [False, False, True, False], 78, False, [True, False, False, True], 3340, 'East', (16, 6))
Element 12: (0, (16, 6), ['', '%', '.', '.'], [(12, 13), (13, 4), (16, 10)], [False, True, False, False], 76, False, [False, False, True, True], 3379, 'East', (17, 6))
Element 13: (0, (17, 6), ['', '%', '.', '.'], [(13, 13), (14, 4), (16, 11)], [False, True, False, False], 74, False, [False, False, True, True], 3418, 'East', (18, 6))
Element 14: (0, (18, 6), ['', '%', '.', '%'], [(14, 13), (14, 5), (16, 12)], [False, True, False, True], 72, False, [False, False, True, False], 3457, 'North', (18, 7))
Element 15: (0, (18, 7), ['.', '', '.', '%'], [(15, 13), (14, 6), (17, 12)], [False, False, False, True], 70, False, [True, False, True, False], 3496, 'North', (18, 8))
Element 16: (0, (18, 8), ['.', '', '%', '%'], [(16, 13), (15, 6), (17, 13)], [False, False, True, True], 68, False, [True, False, False, False], 3525, 'West', (17, 8))
Element 17: (0, (17, 8), ['', '.', '%', ''], [(16, 12), (16, 6), (18, 13)], [False, False, True, False], 66, False, [False, True, False, False], 3544, 'South', (17, 7))
Element 18: (0, (17, 7), ['G', '', '', ''], [(15, 12), (16, 7), (17, 13)], [False, False, False, False], 64, False, [False, False, False, False], 3573, 'North', (17, 8))
Element 19: (0, (17, 8), ['', 'G', '%', ''], [(15, 11), (17, 7), (16, 13)], [False, False, True, False], 62, False, [False, False, False, False], 3582, 'West', (16, 8))
Element 20: (0, (16, 8), ['', '', '', ''], [(15, 10), (18, 7), (15, 13)], [False, False, False, False], 60, False, [False, False, False, False], 3591, 'North', (16, 9))
Element 21: (0, (16, 9), ['G', '', '', '%'], [(15, 9), (18, 8), (15, 12)], [False, False, False, True], 58, False, [False, False, False, False], 3600, 'North', (16, 10))
Element 22: (0, (16, 10), ['', '', '', '%'], [(14, 9), (17, 8), (14, 12)], [False, False, False, True], 56, False, [False, False, False, False], 3619, 'North', (16, 11))
Element 23: (0, (16, 11), ['', '', '', '%'], [(14, 10), (16, 8), (14, 11)], [False, False, False, True], 54, False, [False, False, False, False], 3638, 'North', (16, 12))
Element 24: (0, (16, 12), ['', '', '', ''], [(13, 10), (16, 9), (13, 11)], [False, False, False, False], 52, False, [False, False, False, False], 3657, 'East', (17, 12))
Element 25: (0, (17, 12), ['', '%', '', '%'], [(13, 9), (16, 10), (13, 12)], [False, True, False, True], 50, False, [False, False, False, False], 3676, 'North', (17, 13))
Element 26: (0, (17, 13), ['', '', '%', ''], [(13, 8), (16, 11), (13, 13)], [False, False, True, False], 48, False, [False, False, False, False], 3685, 'East', (18, 13))
Element 27: (0, (18, 13), ['', '%', '%', '%'], [(12, 8), (16, 12), (14, 13)], [False, True, True, True], 46, False, [False, False, False, False], 3694, 'West', (17, 13))
Element 28: (0, (17, 13), ['', 'G', '%', ''], [(12, 9), (17, 12), (13, 13)], [False, False, True, False], 44, False, [False, False, False, False], 3703, 'West', (16, 13))
Element 29: (0, (16, 13), ['', '', '%', 'G'], [(12, 10), (17, 13), (12, 13)], [False, False, True, False], 42, False, [False, False, False, False], 3712, 'West', (15, 13))
Element 30: (0, (15, 13), ['', '', '%', ''], [(12, 11), (18, 13), (11, 13)], [False, False, True, False], 40, False, [False, False, False, False], 3721, 'South', (15, 12))
Element 31: (0, (15, 12), ['', '', '', ''], [(11, 11), (17, 13), (10, 13)], [False, False, False, False], 38, False, [False, False, False, False], 3730, 'South', (15, 11))
Element 32: (0, (15, 11), ['', '', '', ''], [(11, 10), (16, 13), (10, 12)], [False, False, False, False], 36, False, [False, False, False, False], 3749, 'South', (15, 10))
Element 33: (0, (15, 10), ['', '', '', ''], [(11, 9), (15, 13), (10, 11)], [False, False, False, False], 34, False, [False, False, False, False], 3768, 'South', (15, 9))
Element 34: (0, (15, 9), ['', '', '', ''], [(10, 9), (15, 12), (10, 10)], [False, False, False, False], 32, False, [False, False, False, False], 3787, 'South', (15, 8))
Element 35: (0, (15, 8), ['', '%', '', ''], [(9, 9), (15, 11), (9, 10)], [False, True, False, False], 30, False, [False, False, False, False], 3806, 'West', (14, 8))
Element 36: (0, (14, 8), ['', '', '', ''], [(8, 9), (15, 10), (9, 11)], [False, False, False, False], 28, False, [False, False, False, False], 4815, 'North', (14, 9))
Element 37: (0, (14, 9), ['', '', '', 'G'], [(8, 10), (15, 9), (9, 12)], [False, False, False, False], 26, False, [False, False, False, False], 4834, 'North', (14, 10))
Element 38: (0, (14, 10), ['', '', '', ''], [(8, 11), (15, 8), (8, 12)], [False, False, False, False], 24, False, [False, False, False, False], 4853, 'North', (14, 11))
Element 39: (0, (14, 11), ['', '', '', ''], [(7, 11), (14, 8), (7, 12)], [False, False, False, False], 22, False, [False, False, False, False], 4872, 'North', (14, 12))
Element 40: (0, (14, 12), ['', '', '', ''], [(7, 10), (14, 9), (6, 12)], [False, False, False, False], 20, False, [False, False, False, False], 4891, 'North', (14, 13))
Element 41: (0, (14, 13), ['', '', '%', ''], [(7, 9), (14, 10), (6, 11)], [False, False, True, False], 18, False, [False, False, False, False], 4910, 'West', (13, 13))
Element 42: (0, (13, 13), ['', '', '%', ''], [(7, 8), (14, 11), (6, 10)], [False, False, True, False], 16, False, [False, False, False, False], 4929, 'South', (13, 12))
Element 43: (0, (13, 12), ['%', '', '', 'G'], [(8, 8), (14, 12), (6, 9)], [True, False, False, False], 14, False, [False, False, False, False], 4948, 'South', (13, 11))
Element 44: (0, (13, 11), ['', '', '', ''], [(7, 8), (14, 13), (6, 8)], [False, False, False, False], 12, False, [False, False, False, False], 4957, 'South', (13, 10))
Element 45: (0, (13, 10), ['', '', '', ''], [(7, 9), (13, 13), (5, 8)], [False, False, False, False], 10, False, [False, False, False, False], 4966, 'South', (13, 9))
Element 46: (0, (13, 9), ['', '', '', ''], [(7, 8), (13, 12), (5, 9)], [False, False, False, False], 8, False, [False, False, False, False], 4975, 'South', (13, 8))
Element 47: (0, (13, 8), ['', '', '', ''], [(7, 9), (13, 11), (5, 10)], [False, False, False, False], 6, False, [False, False, False, False], 4984, 'South', (13, 7))
Element 48: (0, (13, 7), ['', '%', '', ''], [(6, 9), (13, 10), (5, 11)], [False, True, False, False], 4, False, [False, False, False, False], 4993, 'East', (14, 7))
Element 49: (0, (14, 7), ['', '', '', '%'], [(6, 10), (13, 9), (5, 12)], [False, False, False, True], 2, False, [False, False, False, False], 5002, 'South', (14, 6))
Element 50: (0, (14, 6), ['%', '', '', ''], [(6, 11), (13, 8), (4, 12)], [True, False, False, False], 0, False, [False, False, False, False], 5011, 'Stop', (14, 6))
Element 51: #0#
