Element 1: (0, (9, 11), ['.', '.', '.', '.'], [(3, 4), (5, 13), (14, 1)], [False, False, False, False], 98, False, [True, True, True, True], 0, 'East', (10, 11))
Element 2: (0, (10, 11), ['', '.', '.', '.'], [(4, 4), (6, 13), (15, 1)], [False, False, False, False], 96, False, [False, True, True, True], 39, 'East', (11, 11))
Element 3: (0, (11, 11), ['', '.', '%', '.'], [(5, 4), (7, 13), (16, 1)], [False, False, True, False], 94, False, [False, True, False, True], 78, 'East', (12, 11))
Element 4: (0, (12, 11), ['', '.', '%', '.'], [(6, 4), (8, 13), (16, 2)], [False, False, True, False], 92, False, [False, True, False, True], 1107, 'East', (13, 11))
Element 5: (0, (13, 11), ['', '.', '.', '.'], [(7, 4), (9, 13), (16, 3)], [False, False, False, False], 90, False, [False, True, True, True], 1146, 'East', (14, 11))
Element 6: (0, (14, 11), ['', '.', '.', '.'], [(8, 4), (10, 13), (17, 3)], [False, False, False, False], 88, False, [False, True, True, True], 1185, 'East', (15, 11))
Element 7: (0, (15, 11), ['', '.', '.', '.'], [(9, 4), (11, 13), (18, 3)], [False, False, False, False], 86, False, [False, True, True, True], 1224, 'East', (16, 11))
Element 8: (0, (16, 11), ['', '.', '.', '%'], [(9, 5), (12, 13), (17, 3)], [False, False, False, True], 84, False, [False, True, True, False], 1253, 'North', (16, 12))
Element 9: (0, (16, 12), ['.', '', '.', '.'], [(10, 5), (13, 13), (16, 3)], [False, False, False, False], 82, False, [True, False, True, True], 1282, 'East', (17, 12))
Element 10: (0, (17, 12), ['', '%', '.', '%'], [(11, 5), (14, 13), (15, 3)], [False, True, False, True], 80, False, [False, False, True, False], 2311, 'North', (17, 13))
Element 11: (0, (17, 13), ['.', '', '%', '.'], [(12, 5), (15, 13), (15, 4)], [False, False, True, False], 78, False, [True, False, False, True], 2350, 'East', (18, 13))
Element 12: (0, (18, 13), ['', '%', '%', '%'], [(13, 5), (16, 13), (15, 5)], [False, True, True, True], 76, False, [False, False, False, False], 2389, 'West', (17, 13))
Element 13: (0, (17, 13), ['', '', '%', ''], [(14, 5), (16, 12), (15, 6)], [False, False, True, False], 74, False, [False, False, False, False], 2408, 'West', (16, 13))
Element 14: (0, (16, 13), ['', '', '%', ''], [(14, 6), (15, 12), (16, 6)], [False, False, True, False], 72, False, [False, False, False, False], 2437, 'West', (15, 13))
Element 15: (0, (15, 13), ['', '', '%', ''], [(14, 7), (14, 12), (17, 6)], [False, False, True, False], 70, False, [False, False, False, False], 2466, 'South', (15, 12))
Element 16: (0, (15, 12), ['', '', '', ''], [(14, 8), (13, 12), (18, 6)], [False, False, False, False], 68, False, [False, False, False, False], 2495, 'West', (14, 12))
Element 17: (0, (14, 12), ['', '', '', ''], [(15, 8), (13, 11), (18, 7)], [False, False, False, False], 66, False, [False, False, False, False], 2514, 'North', (14, 13))
Element 18: (0, (14, 13), ['', '', '%', ''], [(16, 8), (13, 10), (18, 8)], [False, False, True, False], 64, False, [False, False, False, False], 2543, 'West', (13, 13))
Element 19: (0, (13, 13), ['', '', '%', ''], [(16, 9), (14, 10), (17, 8)], [False, False, True, False], 62, False, [False, False, False, False], 3562, 'South', (13, 12))
Element 20: (0, (13, 12), ['%', '', '', ''], [(16, 10), (15, 10), (17, 7)], [True, False, False, False], 60, False, [False, False, False, False], 3591, 'North', (13, 13))
Element 21: (0, (13, 13), ['', '', '%', ''], [(16, 11), (15, 9), (16, 7)], [False, False, True, False], 58, False, [False, False, False, False], 3610, 'West', (12, 13))
