Element 1: (1, (5, 10), ['.', '.', '.', ''], [(7, 10), (13, 9), (15, 3)], [False, False, False, False], 98, False, [True, True, True, False], 9, 'North', (5, 11))
Element 2: (1, (5, 11), ['.', '', '.', '.'], [(8, 10), (14, 9), (16, 3)], [False, False, False, False], 96, False, [True, False, True, True], 48, 'East', (6, 11))
Element 3: (1, (6, 11), ['', '', '.', '.'], [(8, 9), (15, 9), (16, 2)], [False, False, False, False], 94, False, [False, False, True, True], 2067, 'East', (7, 11))
Element 4: (1, (7, 11), ['', '', '.', '.'], [(9, 9), (16, 9), (16, 1)], [False, False, False, False], 92, False, [False, False, True, True], 3096, 'East', (8, 11))
Element 5: (1, (8, 11), ['', '', '.', '.'], [(10, 9), (16, 10), (17, 1)], [False, False, False, False], 90, False, [False, False, True, True], 3135, 'East', (9, 11))
Element 6: (1, (9, 11), ['', '.', '.', '.'], [(11, 9), (16, 11), (16, 1)], [False, False, False, False], 88, False, [False, True, True, True], 3164, 'East', (10, 11))
Element 7: (1, (10, 11), ['', '.', '.', '.'], [(12, 9), (16, 12), (15, 1)], [False, False, False, False], 86, False, [False, True, True, True], 3203, 'East', (11, 11))
Element 8: (1, (11, 11), ['', '.', '%', '.'], [(12, 10), (17, 12), (14, 1)], [False, False, True, False], 84, False, [False, True, False, True], 3242, 'East', (12, 11))
Element 9: (1, (12, 11), ['', '', '%', '.'], [(13, 10), (17, 13), (13, 1)], [False, False, True, False], 82, False, [False, False, False, True], 3281, 'East', (13, 11))
Element 10: (1, (13, 11), ['', '', '.', '.'], [(14, 10), (18, 13), (12, 1)], [False, False, False, False], 80, False, [False, False, True, True], 3320, 'East', (14, 11))
Element 11: (1, (14, 11), ['', '', '.', '.'], [(15, 10), (17, 13), (11, 1)], [False, False, False, False], 78, False, [False, False, True, True], 3349, 'East', (15, 11))
Element 12: (1, (15, 11), ['', '', '.', ''], [(16, 10), (16, 13), (10, 1)], [False, False, False, False], 76, False, [False, False, True, False], 3378, 'North', (15, 12))
Element 13: (1, (15, 12), ['.', '', 'G', ''], [(16, 11), (15, 13), (9, 1)], [False, False, False, False], 74, False, [True, False, False, False], 3407, 'West', (14, 12))
Element 14: (1, (14, 12), ['.', '', 'G', ''], [(16, 12), (14, 13), (8, 1)], [False, False, False, False], 72, False, [True, False, False, False], 3436, 'West', (13, 12))
Element 15: (1, (13, 12), ['%', '', 'G', ''], [(17, 12), (13, 13), (8, 2)], [True, False, False, False], 70, False, [False, False, False, False], 3465, 'East', (14, 12))
Element 16: (1, (14, 12), ['', '', '', ''], [(17, 13), (12, 13), (8, 3)], [False, False, False, False], 68, False, [False, False, False, False], 3484, 'East', (15, 12))
Element 17: (1, (15, 12), ['', '', '', ''], [(18, 13), (11, 13), (9, 3)], [False, False, False, False], 66, False, [False, False, False, False], 3503, 'East', (16, 12))
Element 18: (1, (16, 12), ['', '', '', ''], [(17, 13), (10, 13), (10, 3)], [False, False, False, False], 64, False, [False, False, False, False], 3522, 'East', (17, 12))
Element 19: (1, (17, 12), ['', '%', '', '%'], [(16, 13), (10, 12), (11, 3)], [False, True, False, True], 62, False, [False, False, False, False], 3541, 'North', (17, 13))
Element 20: (1, (17, 13), ['', '', '%', ''], [(15, 13), (9, 12), (12, 3)], [False, False, True, False], 60, False, [False, False, False, False], 3560, 'East', (18, 13))
Element 21: (1, (18, 13), ['', '%', '%', '%'], [(15, 12), (9, 13), (13, 3)], [False, True, True, True], 58, False, [False, False, False, False], 3579, 'West', (17, 13))
Element 22: (1, (17, 13), ['', '', '%', ''], [(15, 11), (8, 13), (13, 4)], [False, False, True, False], 56, False, [False, False, False, False], 3598, 'West', (16, 13))
Element 23: (1, (16, 13), ['', '', '%', ''], [(14, 11), (8, 12), (14, 4)], [False, False, True, False], 54, False, [False, False, False, False], 3617, 'West', (15, 13))
Element 24: (1, (15, 13), ['', '', '%', ''], [(14, 12), (7, 12), (15, 4)], [False, False, True, False], 52, False, [False, False, False, False], 3636, 'West', (14, 13))
Element 25: (1, (14, 13), ['', '', '%', ''], [(13, 12), (7, 13), (15, 5)], [False, False, True, False], 50, False, [False, False, False, False], 3655, 'West', (13, 13))
Element 26: (1, (13, 13), ['', '', '%', ''], [(13, 11), (6, 13), (15, 6)], [False, False, True, False], 48, False, [False, False, False, False], 3674, 'West', (12, 13))
Element 27: (1, (12, 13), ['', '%', '%', ''], [(12, 11), (6, 12), (16, 6)], [False, True, True, False], 46, False, [False, False, False, False], 3693, 'West', (11, 13))
