Element 1: (3, (15, 9), ['.', '.', '.', 'F'], [(7, 3), (15, 1), (15, 5)], [False, False, False, False], 98, False, [True, True, True, False], 29, 'East', (16, 9))
Element 2: (3, (16, 9), ['', '.', '.', '%'], [(8, 3), (16, 1), (15, 6)], [False, False, False, True], 96, False, [False, True, True, False], 1058, 'North', (16, 10))
Element 3: (3, (16, 10), ['.', '', '.', '%'], [(9, 3), (16, 2), (16, 6)], [False, False, False, True], 94, False, [True, False, True, False], 2087, 'North', (16, 11))
Element 4: (3, (16, 11), ['.', '', '.', '%'], [(10, 3), (16, 3), (17, 6)], [False, False, False, True], 92, False, [True, False, True, False], 2126, 'North', (16, 12))
Element 5: (3, (16, 12), ['.', '', '.', '.'], [(11, 3), (17, 3), (18, 6)], [False, False, False, False], 90, False, [True, False, True, True], 2165, 'East', (17, 12))
Element 6: (3, (17, 12), ['', '%', '.', '%'], [(12, 3), (18, 3), (18, 7)], [False, True, False, True], 88, False, [False, False, True, False], 2204, 'North', (17, 13))
Element 7: (3, (17, 13), ['.', '', '%', '.'], [(13, 3), (17, 3), (18, 8)], [False, False, True, False], 86, False, [True, False, False, True], 2233, 'East', (18, 13))
Element 8: (3, (18, 13), ['', '%', '%', '%'], [(13, 4), (16, 3), (17, 8)], [False, True, True, True], 84, False, [False, False, False, False], 2262, 'West', (17, 13))
Element 9: (3, (17, 13), ['.', '', '%', ''], [(14, 4), (15, 3), (17, 7)], [False, False, True, False], 82, False, [True, False, False, False], 2291, 'West', (16, 13))
Element 10: (3, (16, 13), ['.', '', '%', ''], [(14, 5), (15, 4), (16, 7)], [False, False, True, False], 80, False, [True, False, False, False], 2320, 'West', (15, 13))
Element 11: (3, (15, 13), ['.', '.', '%', ''], [(14, 6), (15, 5), (16, 8)], [False, False, True, False], 78, False, [True, True, False, False], 2349, 'South', (15, 12))
Element 12: (3, (15, 12), ['.', '.', '', ''], [(14, 7), (15, 6), (15, 8)], [False, False, False, False], 76, False, [True, True, False, False], 2378, 'South', (15, 11))
Element 13: (3, (15, 11), ['.', '.', '', ''], [(14, 8), (16, 6), (15, 9)], [False, False, False, False], 74, False, [True, True, False, False], 2397, 'South', (15, 10))
Element 14: (3, (15, 10), ['.', '', '', ''], [(14, 9), (17, 6), (16, 9)], [False, False, False, False], 72, False, [True, False, False, False], 2416, 'West', (14, 10))
Element 15: (3, (14, 10), ['.', '', '.', ''], [(13, 9), (18, 6), (16, 10)], [False, False, False, False], 70, False, [True, False, True, False], 2435, 'North', (14, 11))
Element 16: (3, (14, 11), ['.', '', '.', ''], [(13, 10), (18, 7), (16, 11)], [False, False, False, False], 68, False, [True, False, True, False], 2454, 'North', (14, 12))
Element 17: (3, (14, 12), ['.', '', '.', ''], [(13, 11), (18, 8), (16, 12)], [False, False, False, False], 66, False, [True, False, True, False], 2473, 'North', (14, 13))
Element 18: (3, (14, 13), ['.', '', '%', ''], [(13, 12), (17, 8), (17, 12)], [False, False, True, False], 64, False, [True, False, False, False], 2492, 'West', (13, 13))
Element 19: (3, (13, 13), ['.', '', '%', ''], [(14, 12), (17, 7), (17, 13)], [False, False, True, False], 62, False, [True, False, False, False], 2501, 'West', (12, 13))
Element 20: (3, (12, 13), ['.', '%', '%', ''], [(15, 12), (16, 7), (18, 13)], [False, True, True, False], 60, False, [True, False, False, False], 2510, 'West', (11, 13))
Element 21: (3, (11, 13), ['.', '%', '%', ''], [(16, 12), (16, 8), (17, 13)], [False, True, True, False], 58, False, [True, False, False, False], 2519, 'West', (10, 13))
Element 22: (3, (10, 13), ['.', '.', '%', ''], [(17, 12), (16, 9), (16, 13)], [False, False, True, False], 56, False, [True, True, False, False], 2528, 'South', (10, 12))
Element 23: (3, (10, 12), ['.', '.', '', '%'], [(17, 13), (16, 10), (15, 13)], [False, False, False, True], 54, False, [True, True, False, False], 2537, 'South', (10, 11))
Element 24: (3, (10, 11), ['.', '.', '', '.'], [(18, 13), (16, 11), (15, 12)], [False, False, False, False], 52, False, [True, True, False, True], 2546, 'East', (11, 11))
Element 25: (3, (11, 11), ['', '.', '%', '.'], [(17, 13), (16, 12), (15, 11)], [False, False, True, False], 50, False, [False, True, False, True], 2555, 'East', (12, 11))
Element 26: (3, (12, 11), ['', '.', '%', ''], [(16, 13), (17, 12), (15, 10)], [False, False, True, False], 48, False, [False, True, False, False], 2564, 'South', (12, 10))
Element 27: (3, (12, 10), ['.', '.', '', ''], [(15, 13), (17, 13), (14, 10)], [False, False, False, False], 46, False, [True, True, False, False], 2573, 'South', (12, 9))
Element 28: (3, (12, 9), ['.', '.', '', ''], [(14, 13), (18, 13), (14, 11)], [False, False, False, False], 44, False, [True, True, False, False], 2582, 'South', (12, 8))
Element 29: (3, (12, 8), ['%', '.', '', '.'], [(13, 13), (17, 13), (14, 12)], [True, False, False, False], 42, False, [False, True, False, True], 2591, 'East', (13, 8))
Element 30: (3, (13, 8), ['', '.', '', ''], [(12, 13), (16, 13), (14, 13)], [False, False, False, False], 40, False, [False, True, False, False], 2600, 'South', (13, 7))
Element 31: (3, (13, 7), ['.', '%', '', ''], [(11, 13), (15, 13), (13, 13)], [False, True, False, False], 38, False, [True, False, False, False], 2609, 'West', (12, 7))
Element 32: (3, (12, 7), ['.', '.', '', ''], [(10, 13), (15, 12), (13, 12)], [False, False, False, False], 36, False, [True, True, False, False], 2618, 'South', (12, 6))
Element 33: (3, (12, 6), ['.', '.', '', '%'], [(9, 13), (15, 11), (13, 11)], [False, False, False, True], 34, False, [True, True, False, False], 2637, 'South', (12, 5))
Element 34: (3, (12, 5), ['F', '.', '', '.'], [(9, 12), (15, 10), (13, 10)], [False, False, False, False], 32, False, [False, True, False, True], 2656, 'West', (11, 5))
Element 35: (3, (11, 5), ['.', '.', '.', ''], [(9, 11), (15, 9), (13, 9)], [False, False, False, False], 30, False, [True, True, True, False], 3665, 'North', (11, 6))
Element 36: (3, (11, 6), ['.', '', '.', ''], [(9, 10), (15, 8), (14, 9)], [False, False, False, False], 28, False, [True, False, True, False], 3684, 'North', (11, 7))
Element 37: (3, (11, 7), ['%', '', '%', ''], [(10, 10), (14, 8), (13, 9)], [True, False, True, False], 26, False, [False, False, False, False], 3703, 'South', (11, 6))
Element 38: (3, (11, 6), ['.', '', '', ''], [(11, 10), (14, 9), (13, 8)], [False, False, False, False], 24, False, [True, False, False, False], 3712, 'West', (10, 6))
Element 39: (3, (10, 6), ['.', '.', '%', ''], [(11, 9), (14, 10), (14, 8)], [False, False, True, False], 22, False, [True, True, False, False], 3731, 'South', (10, 5))
Element 40: (3, (10, 5), ['.', '%', '', ''], [(10, 9), (14, 11), (14, 7)], [False, True, False, False], 20, False, [True, False, False, False], 3750, 'West', (9, 5))
Element 41: (3, (9, 5), ['.', '.', '.', ''], [(9, 9), (14, 12), (14, 6)], [False, False, False, False], 18, False, [True, True, True, False], 3769, 'North', (9, 6))
Element 42: (3, (9, 6), ['.', '', '%', ''], [(8, 9), (14, 13), (14, 5)], [False, False, True, False], 16, False, [True, False, False, False], 4778, 'West', (8, 6))
Element 43: (3, (8, 6), ['.', '.', '%', ''], [(8, 10), (13, 13), (13, 5)], [False, False, True, False], 14, False, [True, True, False, False], 4807, 'South', (8, 5))
Element 44: (3, (8, 5), ['.', '.', '', ''], [(8, 11), (13, 12), (13, 4)], [False, False, False, False], 12, False, [True, True, False, False], 4826, 'South', (8, 4))
Element 45: (3, (8, 4), ['.', '', '', '.'], [(8, 12), (13, 11), (12, 4)], [False, False, False, False], 10, False, [True, False, False, True], 4855, 'East', (9, 4))
Element 46: (3, (9, 4), ['', '', '', '%'], [(8, 13), (13, 10), (11, 4)], [False, False, False, True], 8, False, [False, False, False, False], 4884, 'South', (9, 3))
Element 47: (3, (9, 3), ['', '%', '', ''], [(7, 13), (13, 9), (11, 5)], [False, True, False, False], 6, False, [False, False, False, False], 4893, 'East', (10, 3))
Element 48: (3, (10, 3), ['', '%', '%', ''], [(7, 12), (13, 8), (12, 5)], [False, True, True, False], 4, False, [False, False, False, False], 4902, 'East', (11, 3))
Element 49: (3, (11, 3), ['', '%', '', ''], [(7, 11), (13, 7), (12, 6)], [False, True, False, False], 2, False, [False, False, False, False], 4911, 'East', (12, 3))
Element 50: (3, (12, 3), ['', '%', '', ''], [(7, 11), (13, 7), (12, 6)], [False, True, False, False], 0, False, [False, False, False, False], 4910, 'Stop', (12, 3))
Element 51: #0#
