Element 1: (2, (12, 5), ['F', '.', '.', '.'], [(2, 6), (10, 12), (12, 7)], [False, False, False, False], 98, False, [False, True, True, True], 19, 'West', (11, 5))
Element 2: (2, (11, 5), ['.', '.', '.', ''], [(2, 7), (10, 13), (13, 7)], [False, False, False, False], 96, False, [True, True, True, False], 1048, 'North', (11, 6))
Element 3: (2, (11, 6), ['.', '', '.', '.'], [(1, 7), (11, 13), (14, 7)], [False, False, False, False], 94, False, [True, False, True, True], 1087, 'East', (12, 6))
Element 4: (2, (12, 6), ['', '', '', '%'], [(2, 7), (12, 13), (14, 8)], [False, False, False, True], 92, False, [False, False, False, False], 1116, 'North', (12, 7))
Element 5: (2, (12, 7), ['.', '', '.', ''], [(2, 6), (13, 13), (15, 8)], [False, False, False, False], 90, False, [True, False, True, False], 1135, 'North', (12, 8))
Element 6: (2, (12, 8), ['%', '', '.', '.'], [(2, 5), (14, 13), (16, 8)], [True, False, False, False], 88, False, [False, False, True, True], 1174, 'East', (13, 8))
Element 7: (2, (13, 8), ['', '', '.', ''], [(3, 5), (15, 13), (16, 9)], [False, False, False, False], 86, False, [False, False, True, False], 2203, 'North', (13, 9))
Element 8: (2, (13, 9), ['.', '', '.', '.'], [(4, 5), (16, 13), (16, 10)], [False, False, False, False], 84, False, [True, False, True, True], 2242, 'East', (14, 9))
Element 9: (2, (14, 9), ['', '', '.', '.'], [(5, 5), (17, 13), (16, 11)], [False, False, False, False], 82, False, [False, False, True, True], 2281, 'East', (15, 9))
Element 10: (2, (15, 9), ['', '', '.', ''], [(6, 5), (18, 13), (16, 12)], [False, False, False, False], 80, False, [False, False, True, False], 2320, 'North', (15, 10))
Element 11: (2, (15, 10), ['.', '', '.', ''], [(7, 5), (17, 13), (17, 12)], [False, False, False, False], 78, False, [True, False, True, False], 2349, 'North', (15, 11))
Element 12: (2, (15, 11), ['.', '', '.', ''], [(8, 5), (17, 12), (16, 12)], [False, False, False, False], 76, False, [True, False, True, False], 2368, 'North', (15, 12))
Element 13: (2, (15, 12), ['.', '', '', 'G'], [(9, 5), (16, 12), (16, 11)], [False, False, False, False], 74, False, [True, False, False, False], 2387, 'West', (14, 12))
Element 14: (2, (14, 12), ['.', '.', '', ''], [(10, 5), (16, 11), (15, 11)], [False, False, False, False], 72, False, [True, True, False, False], 2406, 'South', (14, 11))
Element 15: (2, (14, 11), ['.', '.', '', ''], [(10, 6), (16, 10), (15, 12)], [False, False, False, False], 70, False, [True, True, False, False], 2425, 'South', (14, 10))
Element 16: (2, (14, 10), ['.', '', '', ''], [(9, 6), (16, 9), (15, 13)], [False, False, False, False], 68, False, [True, False, False, False], 2444, 'West', (13, 10))
Element 17: (2, (13, 10), ['.', '', '.', ''], [(8, 6), (16, 8), (16, 13)], [False, False, False, False], 66, False, [True, False, True, False], 2463, 'North', (13, 11))
Element 18: (2, (13, 11), ['.', '', '.', ''], [(7, 6), (17, 8), (17, 13)], [False, False, False, False], 64, False, [True, False, True, False], 2492, 'North', (13, 12))
Element 19: (2, (13, 12), ['%', '', '', ''], [(6, 6), (18, 8), (18, 13)], [True, False, False, False], 62, False, [False, False, False, False], 2521, 'North', (13, 13))
Element 20: (2, (13, 13), ['', '', '%', ''], [(7, 6), (18, 7), (17, 13)], [False, False, True, False], 60, False, [False, False, False, False], 2530, 'East', (14, 13))
Element 21: (2, (14, 13), ['', '', '%', ''], [(8, 6), (18, 6), (16, 13)], [False, False, True, False], 58, False, [False, False, False, False], 2539, 'East', (15, 13))
Element 22: (2, (15, 13), ['', '', '%', ''], [(9, 6), (17, 6), (16, 12)], [False, False, True, False], 56, False, [False, False, False, False], 2548, 'East', (16, 13))
Element 23: (2, (16, 13), ['', '', '%', ''], [(10, 6), (17, 7), (16, 13)], [False, False, True, False], 54, False, [False, False, False, False], 2557, 'East', (17, 13))
Element 24: (2, (17, 13), ['', '', '%', ''], [(11, 6), (16, 7), (15, 13)], [False, False, True, False], 52, False, [False, False, False, False], 2566, 'East', (18, 13))
Element 25: (2, (18, 13), ['', '%', '%', '%'], [(11, 7), (16, 6), (15, 12)], [False, True, True, True], 50, False, [False, False, False, False], 2585, 'West', (17, 13))
Element 26: (2, (17, 13), ['', '', '%', ''], [(12, 7), (15, 6), (14, 12)], [False, False, True, False], 48, False, [False, False, False, False], 2594, 'South', (17, 12))
Element 27: (2, (17, 12), ['', '%', '', '%'], [(13, 7), (15, 5), (14, 13)], [False, True, False, True], 46, False, [False, False, False, False], 2603, 'West', (16, 12))
Element 28: (2, (16, 12), ['', '', '', ''], [(14, 7), (15, 4), (13, 13)], [False, False, False, False], 44, False, [False, False, False, False], 2612, 'South', (16, 11))
Element 29: (2, (16, 11), ['', '', '', '%'], [(14, 6), (15, 3), (13, 12)], [False, False, False, True], 42, False, [False, False, False, False], 2631, 'South', (16, 10))
Element 30: (2, (16, 10), ['', '', '', '%'], [(14, 5), (16, 3), (13, 11)], [False, False, False, True], 40, False, [False, False, False, False], 2650, 'South', (16, 9))
Element 31: (2, (16, 9), ['', '', '', '%'], [(14, 4), (16, 2), (12, 11)], [False, False, False, True], 38, False, [False, False, False, False], 3669, 'South', (16, 8))
Element 32: (2, (16, 8), ['', '', '', ''], [(13, 4), (16, 1), (12, 10)], [False, False, False, False], 36, False, [False, False, False, False], 3698, 'East', (17, 8))
Element 33: (2, (17, 8), ['', '', '%', ''], [(13, 5), (17, 1), (12, 9)], [False, False, True, False], 34, False, [False, False, False, False], 3727, 'East', (18, 8))
Element 34: (2, (18, 8), ['', '', '%', '%'], [(12, 5), (16, 1), (11, 9)], [False, False, True, True], 32, False, [False, False, False, False], 3736, 'South', (18, 7))
Element 35: (2, (18, 7), ['', '', '', '%'], [(12, 4), (15, 1), (11, 10)], [False, False, False, True], 30, False, [False, False, False, False], 3765, 'South', (18, 6))
Element 36: (2, (18, 6), ['', '%', '', '%'], [(12, 3), (14, 1), (11, 11)], [False, True, False, True], 28, False, [False, False, False, False], 3794, 'West', (17, 6))
Element 37: (2, (17, 6), ['', '%', '', ''], [(13, 3), (13, 1), (10, 11)], [False, True, False, False], 26, False, [False, False, False, False], 3823, 'North', (17, 7))
Element 38: (2, (17, 7), ['', '', '', ''], [(12, 3), (12, 1), (10, 10)], [False, False, False, False], 24, False, [False, False, False, False], 3842, 'West', (16, 7))
Element 39: (2, (16, 7), ['%', '', '', ''], [(11, 3), (11, 1), (10, 9)], [True, False, False, False], 22, False, [False, False, False, False], 3871, 'South', (16, 6))
Element 40: (2, (16, 6), ['', '%', '', ''], [(11, 4), (10, 1), (9, 9)], [False, True, False, False], 20, False, [False, False, False, False], 3900, 'West', (15, 6))
