Element 39: (3, (9, 9), ['F', '%', '', ''], [(8, 11), (17, 1), (13, 10)], [False, True, False, False], 22, False, [False, False, False, False], 3751, 'West', (8, 9))
Element 40: (3, (8, 9), ['.', '.', 'G', ''], [(8, 10), (16, 1), (13, 9)], [False, False, False, False], 20, False, [True, True, False, False], 4760, 'South', (8, 8))
Element 41: (3, (8, 8), ['.', '%', '', '%'], [(7, 10), (15, 1), (13, 8)], [False, True, False, True], 18, False, [True, False, False, False], 4789, 'West', (7, 8))
Element 42: (3, (7, 8), ['.', '%', 'G', ''], [(7, 9), (14, 1), (13, 7)], [False, True, False, False], 16, False, [True, False, False, False], 4818, 'West', (6, 8))
Element 43: (3, (6, 8), ['.', '%', 'G', ''], [(6, 9), (13, 1), (12, 7)], [False, True, False, False], 14, False, [True, False, False, False], 4857, 'West', (5, 8))
Element 44: (3, (5, 8), ['.', '%', '.', ''], [(6, 10), (12, 1), (12, 6)], [False, True, False, False], 12, False, [True, False, True, False], 4896, 'North', (5, 9))
Element 45: (3, (5, 9), ['.', '', 'G', ''], [(5, 10), (11, 1), (11, 6)], [False, False, False, False], 10, False, [True, False, False, False], 4935, 'West', (4, 9))
Element 46: (3, (4, 9), ['.', '.', 'G', ''], [(4, 10), (10, 1), (11, 7)], [False, False, False, False], 8, False, [True, True, False, False], 4974, 'South', (4, 8))
Element 47: (3, (4, 8), ['%', '%', '', ''], [(3, 10), (9, 1), (11, 6)], [True, True, False, False], 6, False, [False, False, False, False], 5003, 'North', (4, 9))
Element 48: (3, (4, 9), ['.', '', '', ''], [(3, 11), (8, 1), (10, 6)], [False, False, False, False], 4, False, [True, False, False, False], 5032, 'West', (3, 9))
Element 49: (3, (3, 9), ['%', '%', '', ''], [(3, 12), (8, 2), (9, 6)], [True, True, False, False], 2, False, [False, False, False, False], 5071, 'North', (3, 10))
Element 50: (3, (3, 10), ['.', '', '', ''], [(3, 12), (8, 2), (9, 6)], [False, False, False, False], 0, False, [True, False, False, False], 5070, 'Stop', (3, 10))
Element 51: #0#
