Element 1: (2, (4, 5), ['.', '', '%', '.'], [(5, 10), (5, 4), (8, 10)], [False, False, True, False], 98, False, [True, False, False, True], 19, 'East', (5, 5))
Element 2: (2, (5, 5), ['', '', '%', '.'], [(6, 10), (6, 4), (8, 9)], [False, False, True, False], 96, False, [False, False, False, True], 1048, 'East', (6, 5))
Element 3: (2, (6, 5), ['', '', '.', '.'], [(7, 10), (7, 4), (9, 9)], [False, False, False, False], 94, False, [False, False, True, True], 1087, 'East', (7, 5))
Element 4: (2, (7, 5), ['', '', '.', '.'], [(7, 11), (8, 4), (10, 9)], [False, False, False, False], 92, False, [False, False, True, True], 1126, 'East', (8, 5))
Element 5: (2, (8, 5), ['', '', '.', '.'], [(8, 11), (9, 4), (11, 9)], [False, False, False, False], 90, False, [False, False, True, True], 1165, 'East', (9, 5))
Element 6: (2, (9, 5), ['', '', '.', '.'], [(9, 11), (9, 3), (12, 9)], [False, False, False, False], 88, False, [False, False, True, True], 1204, 'East', (10, 5))
Element 7: (2, (10, 5), ['', '%', '.', 'F'], [(10, 11), (10, 3), (13, 9)], [False, True, False, False], 86, False, [False, False, True, False], 1243, 'East', (11, 5))
Element 8: (2, (11, 5), ['', '.', '.', '.'], [(11, 11), (11, 3), (14, 9)], [False, False, False, False], 84, False, [False, True, True, True], 2272, 'East', (12, 5))
Element 9: (2, (12, 5), ['', '.', '.', '.'], [(12, 11), (12, 3), (15, 9)], [False, False, False, False], 82, False, [False, True, True, True], 2311, 'East', (13, 5))
Element 10: (2, (13, 5), ['', '.', '%', '.'], [(13, 11), (13, 3), (16, 9)], [False, False, True, False], 80, False, [False, True, False, True], 3340, 'East', (14, 5))
Element 11: (2, (14, 5), ['', '.', '.', '.'], [(14, 11), (13, 4), (16, 10)], [False, False, False, False], 78, False, [False, True, True, True], 3379, 'East', (15, 5))
Element 12: (2, (15, 5), ['', '.', '.', '%'], [(15, 11), (14, 4), (16, 11)], [False, False, False, True], 76, False, [False, True, True, False], 3418, 'North', (15, 6))
Element 13: (2, (15, 6), ['.', '', '%', '.'], [(15, 12), (15, 4), (16, 12)], [False, False, True, False], 74, False, [True, False, False, True], 3457, 'East', (16, 6))
Element 14: (2, (16, 6), ['', '%', '.', '.'], [(15, 13), (15, 3), (17, 12)], [False, True, False, False], 72, False, [False, False, True, True], 3496, 'East', (17, 6))
Element 15: (2, (17, 6), ['', '%', '.', '.'], [(16, 13), (16, 3), (17, 13)], [False, True, False, False], 70, False, [False, False, True, True], 3535, 'East', (18, 6))
Element 16: (2, (18, 6), ['', '%', '.', '%'], [(17, 13), (16, 2), (18, 13)], [False, True, False, True], 68, False, [False, False, True, False], 4554, 'North', (18, 7))
Element 17: (2, (18, 7), ['.', '', '.', '%'], [(17, 12), (16, 1), (18, 13)], [False, False, False, True], 66, False, [True, False, True, False], 4573, 'North', (18, 8))
Element 18: (2, (18, 8), ['.', '', '%', '%'], [(16, 12), (17, 1), (17, 13)], [False, False, True, True], 64, False, [True, False, False, False], 4592, 'West', (17, 8))
Element 19: (2, (17, 8), ['.', '.', '%', ''], [(16, 11), (16, 1), (16, 13)], [False, False, True, False], 62, False, [True, True, False, False], 4601, 'South', (17, 7))
Element 20: (2, (17, 7), ['.', '', '', ''], [(16, 10), (15, 1), (15, 13)], [False, False, False, False], 60, False, [True, False, False, False], 4620, 'West', (16, 7))
Element 21: (2, (16, 7), ['%', '', '.', ''], [(15, 10), (14, 1), (14, 13)], [True, False, False, False], 58, False, [False, False, True, False], 4659, 'North', (16, 8))
Element 22: (2, (16, 8), ['.', '', '', ''], [(14, 10), (13, 1), (14, 12)], [False, False, False, False], 56, False, [True, False, False, False], 4698, 'West', (15, 8))
Element 23: (2, (15, 8), ['.', '%', '', ''], [(13, 10), (12, 1), (13, 12)], [False, True, False, False], 54, False, [True, False, False, False], 4737, 'West', (14, 8))
Element 24: (2, (14, 8), ['.', '.', '', ''], [(12, 10), (11, 1), (13, 13)], [False, False, False, False], 52, False, [True, True, False, False], 4776, 'South', (14, 7))
Element 25: (2, (14, 7), ['.', '.', '', '%'], [(11, 10), (10, 1), (12, 13)], [False, False, False, True], 50, False, [True, True, False, False], 4815, 'South', (14, 6))
Element 26: (2, (14, 6), ['%', '', '', ''], [(10, 10), (9, 1), (11, 13)], [True, False, False, False], 48, False, [False, False, False, False], 4854, 'North', (14, 7))
Element 27: (2, (14, 7), ['.', '', '', '%'], [(9, 10), (8, 1), (10, 13)], [False, False, False, True], 46, False, [True, False, False, False], 4883, 'West', (13, 7))
Element 28: (2, (13, 7), ['.', '%', '.', ''], [(9, 9), (8, 2), (10, 12)], [False, True, False, False], 44, False, [True, False, True, False], 4912, 'North', (13, 8))
Element 29: (2, (13, 8), ['.', '', '', ''], [(10, 9), (8, 3), (9, 12)], [False, False, False, False], 42, False, [True, False, False, False], 4941, 'West', (12, 8))
Element 30: (2, (12, 8), ['%', '.', '', ''], [(11, 9), (7, 3), (9, 13)], [True, False, False, False], 40, False, [False, True, False, False], 4970, 'South', (12, 7))
Element 31: (2, (12, 7), ['.', '.', '', ''], [(12, 9), (7, 2), (8, 13)], [False, False, False, False], 38, False, [True, True, False, False], 4999, 'South', (12, 6))
