Element 1: (0, (12, 5), ['F', '.', '.', '.'], [(5, 2), (6, 8), (14, 6)], [False, False, False, False], 98, False, [False, True, True, True], 0, 'West', (11, 5))
Element 2: (0, (11, 5), ['.', '.', '.', ''], [(6, 2), (7, 8), (15, 6)], [False, False, False, False], 96, False, [True, True, True, False], 1029, 'North', (11, 6))
Element 3: (0, (11, 6), ['.', '', '.', '.'], [(7, 2), (8, 8), (16, 6)], [False, False, False, False], 94, False, [True, False, True, True], 1068, 'East', (12, 6))
Element 4: (0, (12, 6), ['', '', '.', '%'], [(8, 2), (8, 9), (17, 6)], [False, False, False, True], 92, False, [False, False, True, False], 2097, 'North', (12, 7))
Element 5: (0, (12, 7), ['.', '', '.', '.'], [(8, 3), (9, 9), (18, 6)], [False, False, False, False], 90, False, [True, False, True, True], 2136, 'East', (13, 7))
Element 6: (0, (13, 7), ['', '%', '.', '.'], [(9, 3), (10, 9), (18, 7)], [False, True, False, False], 88, False, [False, False, True, True], 2175, 'East', (14, 7))
Element 7: (0, (14, 7), ['', '', '.', '%'], [(10, 3), (11, 9), (18, 8)], [False, False, False, True], 86, False, [False, False, True, False], 2214, 'North', (14, 8))
Element 8: (0, (14, 8), ['.', '', '.', '.'], [(11, 3), (12, 9), (17, 8)], [False, False, False, False], 84, False, [True, False, True, True], 2253, 'East', (15, 8))
Element 9: (0, (15, 8), ['', '%', '.', '.'], [(12, 3), (13, 9), (17, 7)], [False, True, False, False], 82, False, [False, False, True, True], 2292, 'East', (16, 8))
Element 10: (0, (16, 8), ['', 'G', 'F', ''], [(13, 3), (14, 9), (16, 7)], [False, False, False, False], 80, False, [False, False, False, False], 2331, 'North', (16, 9))
Element 11: (0, (16, 9), ['G', 'G', '.', '%'], [(13, 4), (15, 9), (16, 8)], [False, False, False, True], 78, False, [False, False, True, False], 3350, 'North', (16, 10))
Element 12: (0, (16, 10), ['G', 'G', '.', '%'], [(14, 4), (15, 10), (16, 9)], [False, False, False, True], 76, False, [False, False, True, False], 3379, 'North', (16, 11))
Element 13: (0, (16, 11), ['G', 'G', '.', '%'], [(15, 4), (15, 11), (16, 10)], [False, False, False, True], 74, False, [False, False, True, False], 3408, 'North', (16, 12))
Element 14: (0, (16, 12), ['G', 'G', '.', '.'], [(15, 5), (15, 12), (16, 11)], [False, False, False, False], 72, False, [False, False, True, True], 3437, 'East', (17, 12))
Element 15: (0, (17, 12), ['G', '%', '.', '%'], [(14, 5), (15, 13), (16, 12)], [False, True, False, True], 70, False, [False, False, True, False], 3466, 'North', (17, 13))
Element 16: (0, (17, 13), ['G', 'G', '%', '.'], [(13, 5), (16, 13), (17, 12)], [False, False, True, False], 68, False, [False, False, False, True], 3495, 'East', (18, 13))
Element 17: (0, (18, 13), ['G', '%', '%', '%'], [(12, 5), (17, 13), (16, 12)], [False, True, True, True], 66, False, [False, False, False, False], 3504, 'Stop', (18, 13))
