Element 1: (2, (5, 10), ['.', '.', '.', '.'], [(14, 1), (3, 4), (12, 7)], [False, False, False, False], 98, False, [True, True, True, True], 19, 'East', (6, 10))
Element 2: (2, (6, 10), ['', '.', '.', '.'], [(15, 1), (4, 4), (13, 7)], [False, False, False, False], 96, False, [False, True, True, True], 58, 'East', (7, 10))
Element 3: (2, (7, 10), ['', '.', '.', '.'], [(16, 1), (5, 4), (14, 7)], [False, False, False, False], 94, False, [False, True, True, True], 97, 'East', (8, 10))
Element 4: (2, (8, 10), ['', 'F', '.', '.'], [(16, 2), (6, 4), (14, 8)], [False, False, False, False], 92, False, [False, False, True, True], 1126, 'South', (8, 9))
Element 5: (2, (8, 9), ['.', '.', '', '.'], [(16, 3), (7, 4), (15, 8)], [False, False, False, False], 90, False, [True, True, False, True], 2155, 'East', (9, 9))
Element 6: (2, (9, 9), ['', '%', '.', '.'], [(17, 3), (8, 4), (16, 8)], [False, True, False, False], 88, False, [False, False, True, True], 2194, 'East', (10, 9))
Element 7: (2, (10, 9), ['', '%', '.', '.'], [(18, 3), (9, 4), (16, 9)], [False, True, False, False], 86, False, [False, False, True, True], 3223, 'East', (11, 9))
Element 8: (2, (11, 9), ['', '%', '.', '.'], [(17, 3), (9, 5), (16, 10)], [False, True, False, False], 84, False, [False, False, True, True], 3252, 'East', (12, 9))
Element 9: (2, (12, 9), ['', '.', '.', '.'], [(16, 3), (10, 5), (16, 11)], [False, False, False, False], 82, False, [False, True, True, True], 3281, 'East', (13, 9))
Element 10: (2, (13, 9), ['', '.', '.', '.'], [(15, 3), (11, 5), (16, 12)], [False, False, False, False], 80, False, [False, True, True, True], 4310, 'East', (14, 9))
Element 11: (2, (14, 9), ['', '', '.', '.'], [(15, 4), (12, 5), (17, 12)], [False, False, False, False], 78, False, [False, False, True, True], 4349, 'East', (15, 9))
Element 12: (2, (15, 9), ['', '', '.', ''], [(15, 5), (13, 5), (17, 13)], [False, False, False, False], 76, False, [False, False, True, False], 4388, 'North', (15, 10))
Element 13: (2, (15, 10), ['.', '', '.', ''], [(15, 6), (14, 5), (18, 13)], [False, False, False, False], 74, False, [True, False, True, False], 4427, 'North', (15, 11))
Element 14: (2, (15, 11), ['.', '', '.', ''], [(16, 6), (14, 6), (17, 13)], [False, False, False, False], 72, False, [True, False, True, False], 4456, 'North', (15, 12))
Element 15: (2, (15, 12), ['.', '', '.', ''], [(17, 6), (15, 6), (16, 13)], [False, False, False, False], 70, False, [True, False, True, False], 4485, 'North', (15, 13))
Element 16: (2, (15, 13), ['.', '', '%', ''], [(18, 6), (16, 6), (17, 13)], [False, False, True, False], 68, False, [True, False, False, False], 4504, 'West', (14, 13))
Element 17: (2, (14, 13), ['.', '.', '%', ''], [(18, 7), (16, 7), (17, 12)], [False, False, True, False], 66, False, [True, True, False, False], 4533, 'South', (14, 12))
Element 18: (2, (14, 12), ['.', '.', '', ''], [(18, 8), (17, 7), (16, 12)], [False, False, False, False], 64, False, [True, True, False, False], 4562, 'South', (14, 11))
Element 19: (2, (14, 11), ['.', '.', '', ''], [(17, 8), (18, 7), (16, 13)], [False, False, False, False], 62, False, [True, True, False, False], 4581, 'South', (14, 10))
Element 20: (2, (14, 10), ['.', '', '', ''], [(17, 7), (18, 8), (16, 12)], [False, False, False, False], 60, False, [True, False, False, False], 4590, 'West', (13, 10))
Element 21: (2, (13, 10), ['.', '', '.', ''], [(16, 7), (17, 8), (15, 12)], [False, False, False, False], 58, False, [True, False, True, False], 4599, 'North', (13, 11))
Element 22: (2, (13, 11), ['.', '', '.', ''], [(16, 8), (18, 8), (15, 13)], [False, False, False, False], 56, False, [True, False, True, False], 4608, 'North', (13, 12))
Element 23: (2, (13, 12), ['%', '', '.', ''], [(16, 9), (18, 7), (14, 13)], [True, False, False, False], 54, False, [False, False, True, False], 4617, 'North', (13, 13))
Element 24: (2, (13, 13), ['.', '', '%', ''], [(16, 10), (18, 6), (14, 12)], [False, False, True, False], 52, False, [True, False, False, False], 4626, 'West', (12, 13))
Element 25: (2, (12, 13), ['.', '%', '%', ''], [(16, 11), (17, 6), (14, 11)], [False, True, True, False], 50, False, [True, False, False, False], 4635, 'West', (11, 13))
Element 26: (2, (11, 13), ['.', '%', '%', ''], [(16, 12), (18, 6), (15, 11)], [False, True, True, False], 48, False, [True, False, False, False], 4644, 'West', (10, 13))
Element 27: (2, (10, 13), ['.', '.', '%', ''], [(17, 12), (18, 7), (15, 10)], [False, False, True, False], 46, False, [True, True, False, False], 4653, 'South', (10, 12))
Element 28: (2, (10, 12), ['.', '.', '', '%'], [(17, 13), (17, 7), (15, 9)], [False, False, False, True], 44, False, [True, True, False, False], 4662, 'South', (10, 11))
Element 29: (2, (10, 11), ['.', '.', '', '.'], [(18, 13), (17, 6), (14, 9)], [False, False, False, False], 42, False, [True, True, False, True], 4671, 'East', (11, 11))
Element 30: (2, (11, 11), ['', '.', '%', '.'], [(17, 13), (17, 7), (14, 10)], [False, False, True, False], 40, False, [False, True, False, True], 4680, 'East', (12, 11))
Element 31: (2, (12, 11), ['', '.', '%', ''], [(16, 13), (16, 7), (13, 10)], [False, False, True, False], 38, False, [False, True, False, False], 4689, 'South', (12, 10))
Element 32: (2, (12, 10), ['.', '', '', ''], [(15, 13), (16, 8), (13, 11)], [False, False, False, False], 36, False, [True, False, False, False], 4698, 'West', (11, 10))
Element 33: (2, (11, 10), ['.', '', '', ''], [(15, 12), (16, 9), (13, 12)], [False, False, False, False], 34, False, [True, False, False, False], 4707, 'West', (10, 10))
Element 34: (2, (10, 10), ['.', '', '', ''], [(15, 11), (16, 10), (13, 13)], [False, False, False, False], 32, False, [True, False, False, False], 4716, 'West', (9, 10))
Element 35: (2, (9, 10), ['', '', '.', ''], [(15, 10), (16, 11), (12, 13)], [False, False, False, False], 30, False, [False, False, True, False], 4725, 'North', (9, 11))
Element 36: (2, (9, 11), ['.', '', '.', ''], [(15, 9), (16, 12), (11, 13)], [False, False, False, False], 28, False, [True, False, True, False], 4734, 'North', (9, 12))
Element 37: (2, (9, 12), ['.', '', '.', ''], [(15, 8), (17, 12), (10, 13)], [False, False, False, False], 26, False, [True, False, True, False], 4743, 'North', (9, 13))
Element 38: (2, (9, 13), ['.', '', '%', ''], [(14, 8), (17, 13), (10, 12)], [False, False, True, False], 24, False, [True, False, False, False], 4752, 'West', (8, 13))
Element 39: (2, (8, 13), ['.', '.', '%', ''], [(13, 8), (18, 13), (10, 11)], [False, False, True, False], 22, False, [True, True, False, False], 4771, 'South', (8, 12))
Element 40: (2, (8, 12), ['.', '.', '', ''], [(12, 8), (17, 13), (11, 11)], [False, False, False, False], 20, False, [True, True, False, False], 4790, 'South', (8, 11))
Element 41: (2, (8, 11), ['.', '', '', ''], [(12, 9), (16, 13), (12, 11)], [False, False, False, False], 18, False, [True, False, False, False], 4799, 'West', (7, 11))
Element 42: (2, (7, 11), ['.', '', '.', ''], [(13, 9), (15, 13), (12, 10)], [False, False, False, False], 16, False, [True, False, True, False], 4808, 'North', (7, 12))
Element 43: (2, (7, 12), ['.', '', '.', ''], [(14, 9), (15, 12), (12, 9)], [False, False, False, False], 14, False, [True, False, True, False], 4817, 'North', (7, 13))
Element 44: (2, (7, 13), ['.', '', '%', ''], [(14, 10), (15, 11), (13, 9)], [False, False, True, False], 12, False, [True, False, False, False], 4826, 'West', (6, 13))
Element 45: (2, (6, 13), ['.', '.', '%', ''], [(14, 11), (15, 10), (13, 8)], [False, False, True, False], 10, False, [True, True, False, False], 4835, 'South', (6, 12))
Element 46: (2, (6, 12), ['.', '.', '', ''], [(14, 12), (15, 9), (12, 8)], [False, False, False, False], 8, False, [True, True, False, False], 4844, 'South', (6, 11))
Element 47: (2, (6, 11), ['.', '', '', ''], [(14, 13), (15, 8), (13, 8)], [False, False, False, False], 6, False, [True, False, False, False], 4853, 'West', (5, 11))
Element 48: (2, (5, 11), ['.', '', '.', ''], [(13, 13), (14, 8), (13, 9)], [False, False, False, False], 4, False, [True, False, True, False], 4862, 'North', (5, 12))
Element 49: (2, (5, 12), ['.', '', '.', ''], [(13, 12), (14, 9), (12, 9)], [False, False, False, False], 2, False, [True, False, True, False], 4871, 'North', (5, 13))
Element 50: (2, (5, 13), ['.', '', '%', ''], [(13, 12), (14, 9), (12, 8)], [False, False, True, False], 0, False, [True, False, False, False], 4880, 'Stop', (5, 13))
Element 51: #0#
