Element 39: (1, (10, 12), ['', '', '', '%'], [(17, 13), (7, 10), (14, 10)], [False, False, False, True], 22, False, [False, False, False, False], 2531, 'North', (10, 13))
Element 40: (1, (10, 13), ['', '', '%', ''], [(17, 12), (6, 10), (15, 10)], [False, False, True, False], 20, False, [False, False, False, False], 2540, 'East', (11, 13))
Element 41: (1, (11, 13), ['', '%', '%', ''], [(17, 13), (5, 10), (15, 11)], [False, True, True, False], 18, False, [False, False, False, False], 2549, 'East', (12, 13))
Element 42: (1, (12, 13), ['', '%', '%', ''], [(16, 13), (5, 11), (15, 12)], [False, True, True, False], 16, False, [False, False, False, False], 2558, 'East', (13, 13))
Element 43: (1, (13, 13), ['', '', '%', ''], [(15, 13), (5, 12), (14, 12)], [False, False, True, False], 14, False, [False, False, False, False], 2567, 'West', (12, 13))
Element 44: (1, (12, 13), ['', '%', '%', ''], [(14, 13), (5, 13), (14, 11)], [False, True, True, False], 12, False, [False, False, False, False], 2576, 'West', (11, 13))
Element 45: (1, (11, 13), ['', '%', '%', ''], [(13, 13), (4, 13), (13, 11)], [False, True, True, False], 10, False, [False, False, False, False], 2585, 'West', (10, 13))
Element 46: (1, (10, 13), ['', '', '%', ''], [(12, 13), (4, 12), (13, 12)], [False, False, True, False], 8, False, [False, False, False, False], 2594, 'West', (9, 13))
Element 47: (1, (9, 13), ['', '', '%', ''], [(11, 13), (4, 11), (13, 11)], [False, False, True, False], 6, False, [False, False, False, False], 2603, 'West', (8, 13))
Element 48: (1, (8, 13), ['', '', '%', ''], [(10, 13), (4, 10), (12, 11)], [False, False, True, False], 4, False, [False, False, False, False], 2612, 'West', (7, 13))
Element 49: (1, (7, 13), ['', '', '%', ''], [(9, 13), (4, 9), (11, 11)], [False, False, True, False], 2, False, [False, False, False, False], 2621, 'West', (6, 13))
Element 50: (1, (6, 13), ['', '', '%', ''], [(9, 13), (5, 9), (10, 11)], [False, False, True, False], 0, False, [False, False, False, False], 2630, 'Stop', (6, 13))
Element 51: #0#
