Element 1: (1, (2, 10), ['F', '%', '%', '.'], [(10, 6), (12, 9), (16, 13)], [False, True, True, False], 98, False, [False, False, False, True], 9, 'West', (1, 10))
Element 2: (1, (1, 10), ['%', '%', '%', ''], [(11, 6), (13, 9), (17, 13)], [True, True, True, False], 96, False, [False, False, False, False], 1038, 'East', (2, 10))
Element 3: (1, (2, 10), ['', '%', '%', '.'], [(11, 5), (14, 9), (18, 13)], [False, True, True, False], 94, False, [False, False, False, True], 2057, 'East', (3, 10))
Element 4: (1, (3, 10), ['', '.', '.', '.'], [(12, 5), (15, 9), (17, 13)], [False, False, False, False], 92, False, [False, True, True, True], 2086, 'East', (4, 10))
Element 5: (1, (4, 10), ['', '.', '.', '.'], [(13, 5), (16, 9), (17, 12)], [False, False, False, False], 90, False, [False, True, True, True], 3115, 'East', (5, 10))
Element 6: (1, (5, 10), ['', '.', '.', '.'], [(14, 5), (16, 10), (16, 12)], [False, False, False, False], 88, False, [False, True, True, True], 3154, 'East', (6, 10))
Element 7: (1, (6, 10), ['', '.', '.', '.'], [(15, 5), (16, 11), (15, 12)], [False, False, False, False], 86, False, [False, True, True, True], 3193, 'East', (7, 10))
Element 8: (1, (7, 10), ['', '.', '.', '.'], [(15, 6), (15, 11), (15, 13)], [False, False, False, False], 84, False, [False, True, True, True], 3232, 'East', (8, 10))
Element 9: (1, (8, 10), ['', 'F', '.', '.'], [(16, 6), (15, 10), (14, 13)], [False, False, False, False], 82, False, [False, False, True, True], 3271, 'South', (8, 9))
Element 10: (1, (8, 9), ['.', '.', '', '.'], [(17, 6), (14, 10), (14, 12)], [False, False, False, False], 80, False, [True, True, False, True], 4300, 'East', (9, 9))
Element 11: (1, (9, 9), ['', '%', '.', '.'], [(18, 6), (14, 11), (13, 12)], [False, True, False, False], 78, False, [False, False, True, True], 4339, 'East', (10, 9))
Element 12: (1, (10, 9), ['', '%', '.', '.'], [(18, 7), (13, 11), (13, 13)], [False, True, False, False], 76, False, [False, False, True, True], 4378, 'East', (11, 9))
Element 13: (1, (11, 9), ['', '%', '.', ''], [(18, 8), (13, 10), (12, 13)], [False, True, False, False], 74, False, [False, False, True, False], 4417, 'North', (11, 10))
Element 14: (1, (11, 10), ['.', '', '.', 'G'], [(17, 8), (12, 10), (11, 13)], [False, False, False, False], 72, False, [True, False, True, False], 4456, 'North', (11, 11))
Element 15: (1, (11, 11), ['.', '', '%', 'G'], [(17, 7), (12, 11), (10, 13)], [False, False, True, False], 70, False, [True, False, False, False], 4495, 'West', (10, 11))
Element 16: (1, (10, 11), ['.', '.', 'G', 'G'], [(16, 7), (11, 11), (10, 12)], [False, False, False, False], 68, False, [True, True, False, False], 4524, 'South', (10, 10))
Element 17: (1, (10, 10), ['.', '', '', 'G'], [(16, 8), (11, 10), (9, 12)], [False, False, False, False], 66, False, [True, False, False, False], 4553, 'West', (9, 10))
Element 18: (1, (9, 10), ['', '', '.', ''], [(15, 8), (11, 9), (9, 13)], [False, False, False, False], 64, False, [False, False, True, False], 4582, 'North', (9, 11))
