Element 39: (2, (15, 9), ['', '', 'G', ''], [(14, 10), (15, 10), (11, 13)], [False, False, False, False], 22, False, [False, False, False, False], 3731, 'South', (15, 8))
Element 40: (2, (15, 8), ['', '%', 'G', ''], [(14, 9), (15, 9), (10, 13)], [False, True, False, False], 20, False, [False, False, False, False], 3740, 'West', (14, 8))
Element 41: (2, (14, 8), ['.', '', '', 'G'], [(13, 9), (15, 8), (10, 12)], [False, False, False, False], 18, False, [True, False, False, False], 3749, 'West', (13, 8))
Element 42: (2, (13, 8), ['.', '.', '', 'G'], [(12, 9), (14, 8), (10, 11)], [False, False, False, False], 16, False, [True, True, False, False], 3778, 'South', (13, 7))
Element 43: (2, (13, 7), ['.', '%', '', ''], [(12, 10), (14, 9), (11, 11)], [False, True, False, False], 14, False, [True, False, False, False], 3807, 'West', (12, 7))
Element 44: (2, (12, 7), ['.', '.', '.', ''], [(11, 10), (14, 10), (12, 11)], [False, False, False, False], 12, False, [True, True, True, False], 3836, 'North', (12, 8))
Element 45: (2, (12, 8), ['%', '', '', ''], [(11, 9), (14, 11), (12, 10)], [True, False, False, False], 10, False, [False, False, False, False], 3855, 'North', (12, 9))
Element 46: (2, (12, 9), ['', '', '', ''], [(10, 9), (14, 12), (11, 10)], [False, False, False, False], 8, False, [False, False, False, False], 3864, 'East', (13, 9))
Element 47: (2, (13, 9), ['', '', '', ''], [(9, 9), (14, 13), (10, 10)], [False, False, False, False], 6, False, [False, False, False, False], 3883, 'East', (14, 9))
Element 48: (2, (14, 9), ['', '', '', ''], [(8, 9), (13, 13), (9, 10)], [False, False, False, False], 4, False, [False, False, False, False], 4892, 'North', (14, 10))
Element 49: (2, (14, 10), ['', '', '', ''], [(8, 10), (13, 12), (9, 11)], [False, False, False, False], 2, False, [False, False, False, False], 4911, 'North', (14, 11))
Element 50: (2, (14, 11), ['', '', '', ''], [(8, 10), (13, 12), (9, 12)], [False, False, False, False], 0, False, [False, False, False, False], 4920, 'Stop', (14, 11))
Element 51: #0#
