Element 17: (2, (10, 10), ['.', '', '', ''], [(14, 12), (15, 12), (17, 8)], [False, False, False, False], 66, False, [True, False, False, False], 3543, 'West', (9, 10))
Element 18: (2, (9, 10), ['', '', '', ''], [(13, 12), (14, 12), (17, 7)], [False, False, False, False], 64, False, [False, False, False, False], 3572, 'North', (9, 11))
Element 19: (2, (9, 11), ['', '', '', ''], [(13, 11), (14, 13), (16, 7)], [False, False, False, False], 62, False, [False, False, False, False], 3581, 'East', (10, 11))
Element 20: (2, (10, 11), ['', '', '', ''], [(14, 11), (13, 13), (16, 8)], [False, False, False, False], 60, False, [False, False, False, False], 3590, 'East', (11, 11))
Element 21: (2, (11, 11), ['', '', '%', ''], [(15, 11), (13, 12), (15, 8)], [False, False, True, False], 58, False, [False, False, False, False], 3599, 'East', (12, 11))
Element 22: (2, (12, 11), ['', '', '%', ''], [(16, 11), (13, 13), (14, 8)], [False, False, True, False], 56, False, [False, False, False, False], 3608, 'East', (13, 11))
Element 23: (2, (13, 11), ['', '', '', ''], [(16, 10), (12, 13), (14, 7)], [False, False, False, False], 54, False, [False, False, False, False], 3617, 'East', (14, 11))
Element 24: (2, (14, 11), ['', '', '', ''], [(16, 9), (11, 13), (14, 6)], [False, False, False, False], 52, False, [False, False, False, False], 3626, 'East', (15, 11))
Element 25: (2, (15, 11), ['', '', '', ''], [(16, 8), (10, 13), (14, 5)], [False, False, False, False], 50, False, [False, False, False, False], 3635, 'East', (16, 11))
Element 26: (2, (16, 11), ['', '', '', '%'], [(17, 8), (9, 13), (14, 4)], [False, False, False, True], 48, False, [False, False, False, False], 3654, 'North', (16, 12))
Element 27: (2, (16, 12), ['', '', '', ''], [(18, 8), (8, 13), (13, 4)], [False, False, False, False], 46, False, [False, False, False, False], 3673, 'East', (17, 12))
Element 28: (2, (17, 12), ['', '%', '', '%'], [(18, 7), (7, 13), (13, 5)], [False, True, False, True], 44, False, [False, False, False, False], 3692, 'North', (17, 13))
Element 29: (2, (17, 13), ['', '', '%', ''], [(18, 6), (6, 13), (12, 5)], [False, False, True, False], 42, False, [False, False, False, False], 3711, 'East', (18, 13))
Element 30: (2, (18, 13), ['', '%', '%', '%'], [(17, 6), (5, 13), (11, 5)], [False, True, True, True], 40, False, [False, False, False, False], 4720, 'West', (17, 13))
Element 31: (2, (17, 13), ['', '', '%', ''], [(17, 7), (4, 13), (11, 6)], [False, False, True, False], 38, False, [False, False, False, False], 4739, 'West', (16, 13))
Element 32: (2, (16, 13), ['', '', '%', ''], [(16, 7), (3, 13), (12, 6)], [False, False, True, False], 36, False, [False, False, False, False], 4758, 'West', (15, 13))
Element 33: (2, (15, 13), ['', '', '%', ''], [(16, 6), (2, 13), (12, 7)], [False, False, True, False], 34, False, [False, False, False, False], 4777, 'South', (15, 12))
Element 34: (2, (15, 12), ['', '', '', ''], [(15, 6), (2, 12), (13, 7)], [False, False, False, False], 32, False, [False, False, False, False], 4796, 'West', (14, 12))
Element 35: (2, (14, 12), ['', '', '', ''], [(15, 5), (1, 12), (13, 8)], [False, False, False, False], 30, False, [False, False, False, False], 4815, 'North', (14, 13))
Element 36: (2, (14, 13), ['', '', '%', ''], [(15, 4), (1, 13), (12, 8)], [False, False, True, False], 28, False, [False, False, False, False], 4834, 'West', (13, 13))
Element 37: (2, (13, 13), ['', '', '%', ''], [(15, 3), (1, 12), (12, 9)], [False, False, True, False], 26, False, [False, False, False, False], 4833, 'South', (13, 12))
Element 38: (2, (13, 12), ['%', '', '', ''], [(16, 3), (2, 12), (13, 9)], [True, False, False, False], 24, False, [False, False, False, False], 4832, 'North', (13, 13))
Element 39: (2, (13, 13), ['', '', '%', ''], [(17, 3), (3, 12), (14, 9)], [False, False, True, False], 22, False, [False, False, False, False], 4831, 'West', (12, 13))
Element 40: (2, (12, 13), ['', '%', '%', ''], [(18, 3), (3, 11), (15, 9)], [False, True, True, False], 20, False, [False, False, False, False], 4840, 'West', (11, 13))
Element 41: (2, (11, 13), ['', '%', '%', ''], [(17, 3), (4, 11), (16, 9)], [False, True, True, False], 18, False, [False, False, False, False], 4849, 'West', (10, 13))
Element 42: (2, (10, 13), ['', '', '%', ''], [(16, 3), (5, 11), (16, 10)], [False, False, True, False], 16, False, [False, False, False, False], 4858, 'South', (10, 12))
Element 43: (2, (10, 12), ['', '', '', '%'], [(16, 2), (6, 11), (16, 11)], [False, False, False, True], 14, False, [False, False, False, False], 4867, 'West', (9, 12))
Element 44: (2, (9, 12), ['', '', '', ''], [(16, 1), (6, 10), (16, 12)], [False, False, False, False], 12, False, [False, False, False, False], 4876, 'North', (9, 13))
Element 45: (2, (9, 13), ['', '', '%', ''], [(17, 1), (7, 10), (17, 12)], [False, False, True, False], 10, False, [False, False, False, False], 4895, 'West', (8, 13))
Element 46: (2, (8, 13), ['', '', '%', ''], [(16, 1), (7, 9), (17, 13)], [False, False, True, False], 8, False, [False, False, False, False], 4904, 'South', (8, 12))
Element 47: (2, (8, 12), ['', '', '', ''], [(15, 1), (7, 8), (18, 13)], [False, False, False, False], 6, False, [False, False, False, False], 4923, 'South', (8, 11))
Element 48: (2, (8, 11), ['', '', '', ''], [(14, 1), (8, 8), (17, 13)], [False, False, False, False], 4, False, [False, False, False, False], 4942, 'West', (7, 11))
Element 49: (2, (7, 11), ['', '', '', ''], [(13, 1), (8, 9), (16, 13)], [False, False, False, False], 2, False, [False, False, False, False], 4951, 'North', (7, 12))
Element 50: (2, (7, 12), ['', '', '', ''], [(13, 1), (8, 9), (15, 13)], [False, False, False, False], 0, False, [False, False, False, False], 4950, 'Stop', (7, 12))
Element 51: #0#
