Element 1: (1, (8, 8), ['.', '%', 'F', '%'], [(18, 13), (17, 6), (17, 8)], [False, True, False, True], 98, False, [True, False, False, False], 9, 'North', (8, 9))
Element 2: (1, (8, 9), ['.', '', '.', '.'], [(17, 13), (18, 6), (18, 8)], [False, False, False, False], 96, False, [True, False, True, True], 1028, 'East', (9, 9))
Element 3: (1, (9, 9), ['', '%', '.', '.'], [(17, 12), (18, 7), (17, 8)], [False, True, False, False], 94, False, [False, False, True, True], 1057, 'East', (10, 9))
Element 4: (1, (10, 9), ['', '%', '.', '.'], [(16, 12), (17, 7), (18, 8)], [False, True, False, False], 92, False, [False, False, True, True], 1086, 'East', (11, 9))
Element 5: (1, (11, 9), ['', '%', '.', '.'], [(16, 13), (16, 7), (17, 8)], [False, True, False, False], 90, False, [False, False, True, True], 1115, 'East', (12, 9))
Element 6: (1, (12, 9), ['', '.', '.', '.'], [(15, 13), (16, 8), (17, 7)], [False, False, False, False], 88, False, [False, True, True, True], 1144, 'East', (13, 9))
Element 7: (1, (13, 9), ['', '.', '.', '.'], [(15, 12), (16, 9), (18, 7)], [False, False, False, False], 86, False, [False, True, True, True], 2163, 'East', (14, 9))
Element 8: (1, (14, 9), ['', '.', '.', '.'], [(15, 11), (16, 10), (18, 6)], [False, False, False, False], 84, False, [False, True, True, True], 2192, 'East', (15, 9))
Element 9: (1, (15, 9), ['', '.', 'G', ''], [(15, 10), (16, 11), (17, 6)], [False, False, False, False], 82, False, [False, True, False, False], 2221, 'South', (15, 8))
Element 10: (1, (15, 8), ['.', '%', '', ''], [(14, 10), (16, 12), (16, 6)], [False, True, False, False], 80, False, [True, False, False, False], 2250, 'West', (14, 8))
Element 11: (1, (14, 8), ['.', '.', '', ''], [(14, 11), (17, 12), (15, 6)], [False, False, False, False], 78, False, [True, True, False, False], 2279, 'South', (14, 7))
Element 12: (1, (14, 7), ['.', '.', '', '%'], [(14, 12), (17, 13), (15, 5)], [False, False, False, True], 76, False, [True, True, False, False], 2308, 'South', (14, 6))
Element 13: (1, (14, 6), ['%', '.', '', ''], [(14, 13), (18, 13), (15, 4)], [True, False, False, False], 74, False, [False, True, False, False], 2337, 'South', (14, 5))
Element 14: (1, (14, 5), ['.', '.', '', ''], [(13, 13), (17, 13), (15, 3)], [False, False, False, False], 72, False, [True, True, False, False], 2366, 'South', (14, 4))
Element 15: (1, (14, 4), ['.', '%', '', ''], [(13, 12), (16, 13), (16, 3)], [False, True, False, False], 70, False, [True, False, False, False], 2395, 'West', (13, 4))
Element 16: (1, (13, 4), ['.', '.', '.', ''], [(13, 11), (15, 13), (16, 2)], [False, False, False, False], 68, False, [True, True, True, False], 3414, 'North', (13, 5))
Element 17: (1, (13, 5), ['.', '', '%', ''], [(13, 10), (15, 12), (16, 1)], [False, False, True, False], 66, False, [True, False, False, False], 3443, 'West', (12, 5))
Element 18: (1, (12, 5), ['F', '.', '.', ''], [(12, 10), (15, 11), (17, 1)], [False, False, False, False], 64, False, [False, True, True, False], 3472, 'West', (11, 5))
Element 19: (1, (11, 5), ['.', '.', '.', ''], [(12, 11), (15, 10), (16, 1)], [False, False, False, False], 62, False, [True, True, True, False], 4481, 'North', (11, 6))
Element 20: (1, (11, 6), ['.', '', '.', '.'], [(11, 11), (15, 9), (15, 1)], [False, False, False, False], 60, False, [True, False, True, True], 4510, 'East', (12, 6))
Element 21: (1, (12, 6), ['', '', '.', '%'], [(11, 10), (15, 8), (14, 1)], [False, False, False, True], 58, False, [False, False, True, False], 4539, 'North', (12, 7))
Element 22: (1, (12, 7), ['.', '', '.', '.'], [(10, 10), (14, 8), (13, 1)], [False, False, False, False], 56, False, [True, False, True, True], 4568, 'East', (13, 7))
Element 23: (1, (13, 7), ['', '%', 'G', ''], [(10, 11), (13, 8), (12, 1)], [False, True, False, False], 54, False, [False, False, False, False], 4607, 'West', (12, 7))
Element 24: (1, (12, 7), ['.', '', 'G', ''], [(10, 12), (12, 8), (11, 1)], [False, False, False, False], 52, False, [True, False, False, False], 4636, 'South', (12, 6))
Element 25: (1, (12, 6), ['', '', '', '%'], [(10, 13), (12, 9), (10, 1)], [False, False, False, True], 50, False, [False, False, False, False], 4655, 'North', (12, 7))
Element 26: (1, (12, 7), ['.', '', '', ''], [(11, 13), (13, 9), (9, 1)], [False, False, False, False], 48, False, [True, False, False, False], 4674, 'West', (11, 7))
Element 27: (1, (11, 7), ['%', '', '%', ''], [(12, 13), (14, 9), (8, 1)], [True, False, True, False], 46, False, [False, False, False, False], 4703, 'East', (12, 7))
Element 28: (1, (12, 7), ['', '', '', ''], [(11, 13), (14, 10), (8, 2)], [False, False, False, False], 44, False, [False, False, False, False], 4712, 'South', (12, 6))
Element 29: (1, (12, 6), ['', '', '', '%'], [(10, 13), (14, 11), (8, 3)], [False, False, False, True], 42, False, [False, False, False, False], 4721, 'West', (11, 6))
Element 30: (1, (11, 6), ['.', '', '', ''], [(9, 13), (14, 12), (9, 3)], [False, False, False, False], 40, False, [True, False, False, False], 4740, 'North', (11, 7))
Element 31: (1, (11, 7), ['%', '', '%', ''], [(9, 12), (14, 13), (10, 3)], [True, False, True, False], 38, False, [False, False, False, False], 4759, 'South', (11, 6))
Element 32: (1, (11, 6), ['.', '', '', ''], [(9, 11), (13, 13), (11, 3)], [False, False, False, False], 36, False, [True, False, False, False], 4778, 'West', (10, 6))
Element 33: (1, (10, 6), ['.', '.', '%', ''], [(9, 10), (13, 12), (12, 3)], [False, False, True, False], 34, False, [True, True, False, False], 4807, 'South', (10, 5))
Element 34: (1, (10, 5), ['.', '%', '', ''], [(8, 10), (13, 11), (13, 3)], [False, True, False, False], 32, False, [True, False, False, False], 4836, 'West', (9, 5))
Element 35: (1, (9, 5), ['.', '.', '.', ''], [(8, 11), (13, 10), (13, 4)], [False, False, False, False], 30, False, [True, True, True, False], 4855, 'North', (9, 6))
Element 36: (1, (9, 6), ['.', '', '%', ''], [(8, 12), (12, 10), (12, 4)], [False, False, True, False], 28, False, [True, False, False, False], 4884, 'West', (8, 6))
Element 37: (1, (8, 6), ['.', '.', '%', ''], [(8, 13), (12, 11), (11, 4)], [False, False, True, False], 26, False, [True, True, False, False], 4913, 'South', (8, 5))
Element 38: (1, (8, 5), ['.', '.', '', ''], [(7, 13), (11, 11), (11, 5)], [False, False, False, False], 24, False, [True, True, False, False], 4932, 'South', (8, 4))
Element 39: (1, (8, 4), ['.', '', '', '.'], [(7, 12), (11, 10), (12, 5)], [False, False, False, False], 22, False, [True, False, False, True], 4951, 'East', (9, 4))
Element 40: (1, (9, 4), ['', '', '', '%'], [(7, 11), (11, 9), (13, 5)], [False, False, False, True], 20, False, [False, False, False, False], 4970, 'South', (9, 3))
Element 41: (1, (9, 3), ['', '%', '', ''], [(7, 10), (10, 9), (14, 5)], [False, True, False, False], 18, False, [False, False, False, False], 4979, 'East', (10, 3))
Element 42: (1, (10, 3), ['', '%', '%', ''], [(7, 9), (10, 10), (14, 6)], [False, True, True, False], 16, False, [False, False, False, False], 4988, 'East', (11, 3))
Element 43: (1, (11, 3), ['', '%', '', ''], [(7, 8), (10, 11), (14, 7)], [False, True, False, False], 14, False, [False, False, False, False], 4997, 'East', (12, 3))
Element 44: (1, (12, 3), ['', '%', '', ''], [(6, 8), (10, 12), (14, 8)], [False, True, False, False], 12, False, [False, False, False, False], 5006, 'East', (13, 3))
Element 45: (1, (13, 3), ['', '%', '', '%'], [(6, 9), (10, 13), (15, 8)], [False, True, False, True], 10, False, [False, False, False, False], 5015, 'West', (12, 3))
Element 46: (1, (12, 3), ['', '%', '', ''], [(6, 10), (11, 13), (16, 8)], [False, True, False, False], 8, False, [False, False, False, False], 5024, 'North', (12, 4))
Element 47: (1, (12, 4), ['', '', '', ''], [(6, 11), (12, 13), (16, 9)], [False, False, False, False], 6, False, [False, False, False, False], 5033, 'West', (11, 4))
Element 48: (1, (11, 4), ['%', '', '', ''], [(6, 12), (11, 13), (16, 10)], [True, False, False, False], 4, False, [False, False, False, False], 5042, 'East', (12, 4))
Element 49: (1, (12, 4), ['', '', '', ''], [(6, 13), (10, 13), (16, 11)], [False, False, False, False], 2, False, [False, False, False, False], 5051, 'South', (12, 3))
Element 50: (1, (12, 3), ['', '%', '', ''], [(6, 13), (9, 13), (16, 12)], [False, True, False, False], 0, False, [False, False, False, False], 5050, 'Stop', (12, 3))
Element 51: #0#
