Element 38: (3, (8, 11), ['.', '.', '.', ''], [(5, 2), (17, 7), (11, 9)], [False, False, False, False], 24, False, [True, True, True, False], 4152, 'North', (8, 12))
Element 39: (3, (8, 12), ['.', '', '.', ''], [(6, 2), (18, 7), (11, 10)], [False, False, False, False], 22, False, [True, False, True, False], 4171, 'North', (8, 13))
Element 40: (3, (8, 13), ['.', '', '%', ''], [(7, 2), (18, 8), (10, 10)], [False, False, True, False], 20, False, [True, False, False, False], 4190, 'West', (7, 13))
Element 41: (3, (7, 13), ['.', '.', '%', ''], [(8, 2), (17, 8), (10, 9)], [False, False, True, False], 18, False, [True, True, False, False], 4209, 'South', (7, 12))
Element 42: (3, (7, 12), ['.', '.', '', ''], [(8, 3), (18, 8), (9, 9)], [False, False, False, False], 16, False, [True, True, False, False], 4228, 'South', (7, 11))
Element 43: (3, (7, 11), ['.', '.', '', ''], [(7, 3), (18, 7), (8, 9)], [False, False, False, False], 14, False, [True, True, False, False], 5237, 'West', (6, 11))
Element 44: (3, (6, 11), ['.', '.', '.', ''], [(6, 3), (18, 6), (7, 9)], [False, False, False, False], 12, False, [True, True, True, False], 5256, 'North', (6, 12))
Element 45: (3, (6, 12), ['.', '', '.', ''], [(5, 3), (17, 6), (7, 10)], [False, False, False, False], 10, False, [True, False, True, False], 5275, 'North', (6, 13))
Element 46: (3, (6, 13), ['.', '', '%', ''], [(5, 4), (16, 6), (8, 10)], [False, False, True, False], 8, False, [True, False, False, False], 5294, 'West', (5, 13))
Element 47: (3, (5, 13), ['.', '.', '%', ''], [(5, 3), (15, 6), (9, 10)], [False, False, True, False], 6, False, [True, True, False, False], 5313, 'South', (5, 12))
Element 48: (3, (5, 12), ['.', '.', '', ''], [(6, 3), (15, 5), (9, 11)], [False, False, False, False], 4, False, [True, True, False, False], 5322, 'South', (5, 11))
Element 49: (3, (5, 11), ['.', '.', '', ''], [(7, 3), (15, 4), (10, 11)], [False, False, False, False], 2, False, [True, True, False, False], 5331, 'South', (5, 10))
Element 50: (3, (5, 10), ['.', '.', '', '.'], [(7, 3), (15, 4), (10, 11)], [False, False, False, False], 0, False, [True, True, False, True], 5340, 'Stop', (5, 10))
Element 51: #0#
