Element 1: (3, (14, 1), ['', '%', '%', '.'], [(16, 9), (9, 5), (12, 1)], [False, True, True, False], 98, False, [False, False, False, True], 1019, 'East', (15, 1))
Element 2: (3, (15, 1), ['', '%', '%', '.'], [(16, 10), (10, 5), (11, 1)], [False, True, True, False], 96, False, [False, False, False, True], 1058, 'East', (16, 1))
Element 3: (3, (16, 1), ['', '%', 'F', '.'], [(16, 11), (11, 5), (10, 1)], [False, True, False, False], 94, False, [False, False, False, True], 2087, 'North', (16, 2))
Element 4: (3, (16, 2), ['%', '', '.', '%'], [(16, 12), (12, 5), (9, 1)], [True, False, False, True], 92, False, [False, False, True, False], 3116, 'North', (16, 3))
Element 5: (3, (16, 3), ['.', '', '%', '.'], [(17, 12), (13, 5), (8, 1)], [False, False, True, False], 90, False, [True, False, False, True], 3155, 'East', (17, 3))
Element 6: (3, (17, 3), ['', '%', '%', '.'], [(17, 13), (14, 5), (8, 2)], [False, True, True, False], 88, False, [False, False, False, True], 3194, 'East', (18, 3))
Element 7: (3, (18, 3), ['', '%', '%', '%'], [(18, 13), (15, 5), (8, 3)], [False, True, True, True], 86, False, [False, False, False, False], 3233, 'West', (17, 3))
Element 8: (3, (17, 3), ['', '%', '%', ''], [(17, 13), (15, 6), (9, 3)], [False, True, True, False], 84, False, [False, False, False, False], 3252, 'West', (16, 3))
Element 9: (3, (16, 3), ['.', '', '%', ''], [(16, 13), (16, 6), (10, 3)], [False, False, True, False], 82, False, [True, False, False, False], 3281, 'West', (15, 3))
Element 10: (3, (15, 3), ['%', '%', '.', ''], [(15, 13), (17, 6), (11, 3)], [True, True, False, False], 80, False, [False, False, True, False], 3320, 'North', (15, 4))
Element 11: (3, (15, 4), ['.', '', '', '%'], [(15, 12), (18, 6), (12, 3)], [False, False, False, True], 78, False, [True, False, False, False], 3359, 'West', (14, 4))
Element 12: (3, (14, 4), ['.', '%', '', ''], [(15, 11), (18, 7), (13, 3)], [False, True, False, False], 76, False, [True, False, False, False], 3398, 'West', (13, 4))
Element 13: (3, (13, 4), ['.', '', '', ''], [(15, 10), (18, 8), (12, 3)], [False, False, False, False], 74, False, [True, False, False, False], 3427, 'West', (12, 4))
Element 14: (3, (12, 4), ['.', '', '', ''], [(15, 9), (17, 8), (11, 3)], [False, False, False, False], 72, False, [True, False, False, False], 3456, 'West', (11, 4))
Element 15: (3, (11, 4), ['%', '', '', ''], [(15, 8), (17, 7), (12, 3)], [True, False, False, False], 70, False, [False, False, False, False], 3485, 'North', (11, 5))
Element 16: (3, (11, 5), ['', '', '.', ''], [(14, 8), (16, 7), (11, 3)], [False, False, False, False], 68, False, [False, False, True, False], 3504, 'North', (11, 6))
Element 17: (3, (11, 6), ['.', '', '.', '.'], [(14, 9), (16, 8), (11, 4)], [False, False, False, False], 66, False, [True, False, True, True], 3523, 'East', (12, 6))
Element 18: (3, (12, 6), ['', '', '.', '%'], [(14, 10), (16, 9), (12, 4)], [False, False, False, True], 64, False, [False, False, True, False], 3542, 'North', (12, 7))
Element 19: (3, (12, 7), ['.', '', '.', '.'], [(14, 11), (16, 10), (13, 4)], [False, False, False, False], 62, False, [True, False, True, True], 3561, 'East', (13, 7))
Element 20: (3, (13, 7), ['', '%', '.', '.'], [(14, 12), (16, 11), (14, 4)], [False, True, False, False], 60, False, [False, False, True, True], 3580, 'East', (14, 7))
Element 21: (3, (14, 7), ['', '.', '', '%'], [(14, 13), (16, 12), (15, 4)], [False, False, False, True], 58, False, [False, True, False, False], 3599, 'South', (14, 6))
Element 22: (3, (14, 6), ['%', '', '', ''], [(13, 13), (17, 12), (15, 5)], [True, False, False, False], 56, False, [False, False, False, False], 3618, 'East', (15, 6))
Element 23: (3, (15, 6), ['', '', '%', ''], [(13, 12), (17, 13), (14, 5)], [False, False, True, False], 54, False, [False, False, False, False], 3627, 'East', (16, 6))
Element 24: (3, (16, 6), ['', '%', '', ''], [(13, 11), (18, 13), (14, 6)], [False, True, False, False], 52, False, [False, False, False, False], 3636, 'East', (17, 6))
Element 25: (3, (17, 6), ['', '%', '', ''], [(13, 10), (17, 13), (15, 6)], [False, True, False, False], 50, False, [False, False, False, False], 3645, 'East', (18, 6))
Element 26: (3, (18, 6), ['', '%', '', '%'], [(13, 9), (16, 13), (16, 6)], [False, True, False, True], 48, False, [False, False, False, False], 3654, 'North', (18, 7))
Element 27: (3, (18, 7), ['', '', '', '%'], [(13, 8), (15, 13), (17, 6)], [False, False, False, True], 46, False, [False, False, False, False], 3663, 'North', (18, 8))
Element 28: (3, (18, 8), ['', '', '%', '%'], [(12, 8), (15, 12), (18, 6)], [False, False, True, True], 44, False, [False, False, False, False], 3672, 'West', (17, 8))
Element 29: (3, (17, 8), ['', '', '%', ''], [(12, 9), (15, 11), (18, 7)], [False, False, True, False], 42, False, [False, False, False, False], 3681, 'South', (17, 7))
Element 30: (3, (17, 7), ['', '', '', ''], [(12, 10), (15, 10), (18, 8)], [False, False, False, False], 40, False, [False, False, False, False], 3690, 'West', (16, 7))
Element 31: (3, (16, 7), ['%', '', '', ''], [(12, 11), (15, 9), (17, 8)], [True, False, False, False], 38, False, [False, False, False, False], 3699, 'North', (16, 8))
Element 32: (3, (16, 8), ['G', '', '', ''], [(11, 11), (15, 8), (17, 7)], [False, False, False, False], 36, False, [False, False, False, False], 3708, 'North', (16, 9))
Element 33: (3, (16, 9), ['', '', '', '%'], [(11, 10), (14, 8), (16, 7)], [False, False, False, True], 34, False, [False, False, False, False], 3717, 'North', (16, 10))
Element 34: (3, (16, 10), ['', '', '', '%'], [(11, 9), (14, 9), (16, 8)], [False, False, False, True], 32, False, [False, False, False, False], 3726, 'North', (16, 11))
Element 35: (3, (16, 11), ['', '', '', '%'], [(10, 9), (14, 10), (16, 9)], [False, False, False, True], 30, False, [False, False, False, False], 3735, 'North', (16, 12))
Element 36: (3, (16, 12), ['', '', '', ''], [(10, 10), (14, 11), (16, 10)], [False, False, False, False], 28, False, [False, False, False, False], 3744, 'East', (17, 12))
Element 37: (3, (17, 12), ['', '%', '', '%'], [(10, 11), (14, 12), (16, 11)], [False, True, False, True], 26, False, [False, False, False, False], 3753, 'North', (17, 13))
Element 38: (3, (17, 13), ['', '', '%', ''], [(10, 12), (14, 13), (16, 12)], [False, False, True, False], 24, False, [False, False, False, False], 3762, 'East', (18, 13))
Element 39: (3, (18, 13), ['', '%', '%', '%'], [(10, 13), (13, 13), (17, 12)], [False, True, True, True], 22, False, [False, False, False, False], 3771, 'West', (17, 13))
Element 40: (3, (17, 13), ['', '', '%', ''], [(11, 13), (12, 13), (16, 12)], [False, False, True, False], 20, False, [False, False, False, False], 3790, 'West', (16, 13))
Element 41: (3, (16, 13), ['', '', '%', ''], [(10, 13), (11, 13), (15, 12)], [False, False, True, False], 18, False, [False, False, False, False], 3789, 'West', (15, 13))
Element 42: (3, (15, 13), ['', '', '%', ''], [(9, 13), (10, 13), (15, 11)], [False, False, True, False], 16, False, [False, False, False, False], 3798, 'South', (15, 12))
Element 43: (3, (15, 12), ['', '', '', ''], [(9, 12), (10, 12), (15, 10)], [False, False, False, False], 14, False, [False, False, False, False], 3807, 'South', (15, 11))
Element 44: (3, (15, 11), ['', '', '', ''], [(9, 11), (10, 11), (15, 9)], [False, False, False, False], 12, False, [False, False, False, False], 3816, 'South', (15, 10))
Element 45: (3, (15, 10), ['', '', '', ''], [(9, 10), (11, 11), (15, 8)], [False, False, False, False], 10, False, [False, False, False, False], 3825, 'South', (15, 9))
Element 46: (3, (15, 9), ['', '', '', ''], [(9, 9), (12, 11), (14, 8)], [False, False, False, False], 8, False, [False, False, False, False], 3834, 'South', (15, 8))
