Element 39: (1, (16, 6), ['', '%', '', ''], [(18, 8), (12, 11), (15, 13)], [False, True, False, False], 22, False, [False, False, False, False], 4861, 'West', (15, 6))
Element 40: (1, (15, 6), ['.', '', '%', ''], [(18, 7), (11, 11), (15, 12)], [False, False, True, False], 20, False, [True, False, False, False], 4860, 'West', (14, 6))
Element 41: (1, (14, 6), ['%', '.', '', ''], [(18, 8), (10, 11), (14, 12)], [True, False, False, False], 18, False, [False, True, False, False], 4869, 'South', (14, 5))
Element 42: (1, (14, 5), ['', '.', '', ''], [(17, 8), (9, 11), (14, 13)], [False, False, False, False], 16, False, [False, True, False, False], 4878, 'South', (14, 4))
Element 43: (1, (14, 4), ['.', '%', '', ''], [(16, 8), (10, 11), (13, 13)], [False, True, False, False], 14, False, [True, False, False, False], 4887, 'West', (13, 4))
Element 44: (1, (13, 4), ['.', '.', '', ''], [(16, 9), (10, 12), (13, 12)], [False, False, False, False], 12, False, [True, True, False, False], 4896, 'South', (13, 3))
Element 45: (1, (13, 3), ['.', '%', '', '%'], [(16, 10), (9, 12), (13, 13)], [False, True, False, True], 10, False, [True, False, False, False], 4905, 'West', (12, 3))
Element 46: (1, (12, 3), ['.', '%', '.', ''], [(16, 11), (9, 13), (12, 13)], [False, True, False, False], 8, False, [True, False, True, False], 4924, 'North', (12, 4))
Element 47: (1, (12, 4), ['.', '', '', ''], [(16, 12), (8, 13), (11, 13)], [False, False, False, False], 6, False, [True, False, False, False], 4943, 'West', (11, 4))
Element 48: (1, (11, 4), ['%', '.', '', ''], [(17, 12), (7, 13), (10, 13)], [True, False, False, False], 4, False, [False, True, False, False], 4962, 'South', (11, 3))
Element 49: (1, (11, 3), ['.', '%', '', ''], [(17, 13), (7, 12), (10, 12)], [False, True, False, False], 2, False, [True, False, False, False], 4981, 'West', (10, 3))
Element 50: (1, (10, 3), ['.', '%', '%', ''], [(17, 13), (6, 12), (10, 11)], [False, True, True, False], 0, False, [True, False, False, False], 5000, 'Stop', (10, 3))
Element 51: #0#
