Element 1: (2, (8, 12), ['.', '', '.', '.'], [(4, 12), (8, 10), (9, 11)], [False, False, False, False], 98, False, [True, False, True, True], 19, 'East', (9, 12))
Element 2: (2, (9, 12), ['', '', '.', '.'], [(5, 12), (8, 9), (10, 11)], [False, False, False, False], 96, False, [False, False, True, True], 1048, 'East', (10, 12))
Element 3: (2, (10, 12), ['', '', '.', '%'], [(6, 12), (9, 9), (11, 11)], [False, False, False, True], 94, False, [False, False, True, False], 1087, 'North', (10, 13))
Element 4: (2, (10, 13), ['.', '', '%', '.'], [(7, 12), (10, 9), (12, 11)], [False, False, True, False], 92, False, [True, False, False, True], 1126, 'East', (11, 13))
Element 5: (2, (11, 13), ['', '%', '%', '.'], [(7, 13), (11, 9), (13, 11)], [False, True, True, False], 90, False, [False, False, False, True], 1165, 'East', (12, 13))
Element 6: (2, (12, 13), ['', '%', '%', '.'], [(8, 13), (12, 9), (14, 11)], [False, True, True, False], 88, False, [False, False, False, True], 1204, 'East', (13, 13))
Element 7: (2, (13, 13), ['', '.', '%', '.'], [(9, 13), (13, 9), (15, 11)], [False, False, True, False], 86, False, [False, True, False, True], 1243, 'East', (14, 13))
Element 8: (2, (14, 13), ['', '.', '%', '.'], [(10, 13), (14, 9), (16, 11)], [False, False, True, False], 84, False, [False, True, False, True], 1272, 'East', (15, 13))
Element 9: (2, (15, 13), ['', '.', '%', '.'], [(11, 13), (15, 9), (16, 12)], [False, False, True, False], 82, False, [False, True, False, True], 1301, 'East', (16, 13))
Element 10: (2, (16, 13), ['', '', '%', '.'], [(12, 13), (16, 9), (17, 12)], [False, False, True, False], 80, False, [False, False, False, True], 2320, 'East', (17, 13))
Element 11: (2, (17, 13), ['', '', '%', '.'], [(13, 13), (16, 10), (16, 12)], [False, False, True, False], 78, False, [False, False, False, True], 2339, 'East', (18, 13))
Element 12: (2, (18, 13), ['', '%', '%', '%'], [(13, 12), (15, 10), (15, 12)], [False, True, True, True], 76, False, [False, False, False, False], 2378, 'West', (17, 13))
Element 13: (2, (17, 13), ['', '', '%', ''], [(13, 11), (14, 10), (14, 12)], [False, False, True, False], 74, False, [False, False, False, False], 2397, 'South', (17, 12))
Element 14: (2, (17, 12), ['', '%', '', '%'], [(13, 10), (14, 11), (14, 13)], [False, True, False, True], 72, False, [False, False, False, False], 2406, 'West', (16, 12))
Element 15: (2, (16, 12), ['', '', '', ''], [(12, 10), (15, 11), (15, 13)], [False, False, False, False], 70, False, [False, False, False, False], 2415, 'South', (16, 11))
