Element 1: (0, (10, 11), ['.', '.', 'G', '.'], [(4, 10), (10, 12), (17, 13)], [False, False, False, False], 98, False, [True, True, False, True], 0, 'East', (11, 11))
Element 2: (0, (11, 11), ['', '.', '%', '.'], [(5, 10), (10, 13), (18, 13)], [False, False, True, False], 96, False, [False, True, False, True], 39, 'East', (12, 11))
Element 3: (0, (12, 11), ['', '.', '%', '.'], [(6, 10), (11, 13), (17, 13)], [False, False, True, False], 94, False, [False, True, False, True], 68, 'East', (13, 11))
Element 4: (0, (13, 11), ['', '.', '.', '.'], [(7, 10), (12, 13), (17, 12)], [False, False, False, False], 92, False, [False, True, True, True], 107, 'East', (14, 11))
Element 5: (0, (14, 11), ['', '.', '.', '.'], [(8, 10), (13, 13), (16, 12)], [False, False, False, False], 90, False, [False, True, True, True], 146, 'East', (15, 11))
Element 6: (0, (15, 11), ['', '.', '.', '.'], [(8, 9), (14, 13), (16, 13)], [False, False, False, False], 88, False, [False, True, True, True], 1175, 'East', (16, 11))
Element 7: (0, (16, 11), ['', '.', 'G', '%'], [(9, 9), (15, 13), (16, 12)], [False, False, False, True], 86, False, [False, True, False, False], 1204, 'South', (16, 10))
Element 8: (0, (16, 10), ['.', 'F', 'G', '%'], [(10, 9), (15, 12), (16, 11)], [False, False, False, True], 84, False, [True, False, False, False], 1233, 'South', (16, 9))
Element 9: (0, (16, 9), ['.', '.', 'G', '%'], [(11, 9), (14, 12), (16, 10)], [False, False, False, True], 82, False, [True, True, False, False], 2252, 'South', (16, 8))
Element 10: (0, (16, 8), ['.', '.', '', '.'], [(12, 9), (13, 12), (15, 10)], [False, False, False, False], 80, False, [True, True, False, True], 2291, 'East', (17, 8))
Element 11: (0, (17, 8), ['', '.', '%', '.'], [(13, 9), (13, 11), (15, 9)], [False, False, True, False], 78, False, [False, True, False, True], 2320, 'East', (18, 8))
Element 12: (0, (18, 8), ['', '.', '%', '%'], [(14, 9), (13, 10), (15, 8)], [False, False, True, True], 76, False, [False, True, False, False], 2359, 'South', (18, 7))
Element 13: (0, (18, 7), ['.', '.', '', '%'], [(14, 10), (12, 10), (14, 8)], [False, False, False, True], 74, False, [True, True, False, False], 2398, 'South', (18, 6))
Element 14: (0, (18, 6), ['.', '%', '', '%'], [(15, 10), (11, 10), (14, 7)], [False, True, False, True], 72, False, [True, False, False, False], 2427, 'West', (17, 6))
Element 15: (0, (17, 6), ['.', '%', '.', ''], [(16, 10), (10, 10), (14, 6)], [False, True, False, False], 70, False, [True, False, True, False], 2456, 'North', (17, 7))
Element 16: (0, (17, 7), ['.', '', '', ''], [(16, 11), (9, 10), (15, 6)], [False, False, False, False], 68, False, [True, False, False, False], 2485, 'West', (16, 7))
Element 17: (0, (16, 7), ['%', 'G', '', ''], [(16, 12), (9, 11), (16, 6)], [True, False, False, False], 66, False, [False, False, False, False], 2514, 'East', (17, 7))
Element 18: (0, (17, 7), ['', 'G', '', ''], [(17, 12), (9, 12), (17, 6)], [False, False, False, False], 64, False, [False, False, False, False], 2523, 'West', (16, 7))
Element 19: (0, (16, 7), ['%', '', '', ''], [(17, 13), (9, 13), (18, 6)], [True, False, False, False], 62, False, [False, False, False, False], 2532, 'South', (16, 6))
Element 20: (0, (16, 6), ['', '%', '', ''], [(18, 13), (8, 13), (18, 7)], [False, True, False, False], 60, False, [False, False, False, False], 2541, 'West', (15, 6))
Element 21: (0, (15, 6), ['', '.', '%', ''], [(17, 13), (8, 12), (18, 8)], [False, False, True, False], 58, False, [False, True, False, False], 2550, 'South', (15, 5))
Element 22: (0, (15, 5), ['.', '.', '', '%'], [(16, 13), (8, 11), (17, 8)], [False, False, False, True], 56, False, [True, True, False, False], 2569, 'South', (15, 4))
Element 23: (0, (15, 4), ['.', '.', '', '%'], [(15, 13), (7, 11), (17, 7)], [False, False, False, True], 54, False, [True, True, False, False], 2588, 'South', (15, 3))
Element 24: (0, (15, 3), ['%', '%', '', '.'], [(15, 12), (7, 12), (16, 7)], [True, True, False, False], 52, False, [False, False, False, True], 2607, 'East', (16, 3))
Element 25: (0, (16, 3), ['', 'F', '%', '.'], [(15, 11), (7, 13), (16, 8)], [False, False, True, False], 50, False, [False, False, False, True], 2626, 'South', (16, 2))
Element 26: (0, (16, 2), ['%', '.', '', '%'], [(14, 11), (6, 13), (16, 9)], [True, False, False, True], 48, False, [False, True, False, False], 3635, 'South', (16, 1))
Element 27: (0, (16, 1), ['.', '%', '', '.'], [(14, 12), (6, 12), (16, 8)], [False, True, False, False], 46, False, [True, False, False, True], 3654, 'East', (17, 1))
Element 28: (0, (17, 1), ['', '%', '%', '%'], [(14, 13), (6, 11), (16, 7)], [False, True, True, True], 44, False, [False, False, False, False], 3673, 'West', (16, 1))
Element 29: (0, (16, 1), ['.', '%', '', ''], [(13, 13), (5, 11), (17, 7)], [False, True, False, False], 42, False, [True, False, False, False], 3682, 'West', (15, 1))
Element 30: (0, (15, 1), ['.', '%', '%', ''], [(13, 12), (5, 12), (17, 8)], [False, True, True, False], 40, False, [True, False, False, False], 3701, 'West', (14, 1))
Element 31: (0, (14, 1), ['.', '%', '%', ''], [(13, 11), (5, 13), (16, 8)], [False, True, True, False], 38, False, [True, False, False, False], 3720, 'West', (13, 1))
Element 32: (0, (13, 1), ['.', '%', '%', ''], [(13, 10), (4, 13), (17, 8)], [False, True, True, False], 36, False, [True, False, False, False], 3739, 'West', (12, 1))
Element 33: (0, (12, 1), ['.', '%', '%', ''], [(12, 10), (4, 12), (18, 8)], [False, True, True, False], 34, False, [True, False, False, False], 3758, 'West', (11, 1))
Element 34: (0, (11, 1), ['.', '%', '%', ''], [(12, 11), (4, 11), (18, 7)], [False, True, True, False], 32, False, [True, False, False, False], 3777, 'West', (10, 1))
Element 35: (0, (10, 1), ['.', '%', '%', ''], [(11, 11), (3, 11), (17, 7)], [False, True, True, False], 30, False, [True, False, False, False], 3796, 'West', (9, 1))
Element 36: (0, (9, 1), ['.', '%', '%', ''], [(11, 10), (3, 12), (18, 7)], [False, True, True, False], 28, False, [True, False, False, False], 3815, 'West', (8, 1))
Element 37: (0, (8, 1), ['.', '%', '.', ''], [(10, 10), (3, 13), (18, 6)], [False, True, False, False], 26, False, [True, False, True, False], 3834, 'North', (8, 2))
Element 38: (0, (8, 2), ['.', '', '.', '%'], [(10, 11), (2, 13), (17, 6)], [False, False, False, True], 24, False, [True, False, True, False], 3853, 'North', (8, 3))
Element 39: (0, (8, 3), ['.', '', '.', '.'], [(10, 12), (2, 12), (17, 7)], [False, False, False, False], 22, False, [True, False, True, True], 3872, 'East', (9, 3))
Element 40: (0, (9, 3), ['', '%', '.', '.'], [(10, 13), (1, 12), (17, 6)], [False, True, False, False], 20, False, [False, False, True, True], 3891, 'East', (10, 3))
Element 41: (0, (10, 3), ['', '%', '%', '.'], [(11, 13), (1, 13), (16, 6)], [False, True, True, False], 18, False, [False, False, False, True], 3910, 'East', (11, 3))
Element 42: (0, (11, 3), ['', '%', '.', '.'], [(12, 13), (1, 12), (16, 7)], [False, True, False, False], 16, False, [False, False, True, True], 3919, 'East', (12, 3))
Element 43: (0, (12, 3), ['', '%', '.', '.'], [(11, 13), (2, 12), (16, 6)], [False, True, False, False], 14, False, [False, False, True, True], 3928, 'East', (13, 3))
Element 44: (0, (13, 3), ['', '%', '.', '%'], [(10, 13), (2, 13), (15, 6)], [False, True, False, True], 12, False, [False, False, True, False], 3937, 'North', (13, 4))
Element 45: (0, (13, 4), ['.', '', '.', '.'], [(9, 13), (1, 13), (15, 5)], [False, False, False, False], 10, False, [True, False, True, True], 3946, 'East', (14, 4))
Element 46: (0, (14, 4), ['', '%', 'G', ''], [(9, 12), (2, 13), (14, 5)], [False, True, False, False], 8, False, [False, False, False, False], 3965, 'West', (13, 4))
Element 47: (0, (13, 4), ['.', '', 'G', ''], [(9, 11), (3, 13), (13, 5)], [False, False, False, False], 6, False, [True, False, False, False], 3974, 'South', (13, 3))
Element 48: (0, (13, 3), ['', '%', '', '%'], [(9, 10), (3, 12), (12, 5)], [False, True, False, True], 4, False, [False, False, False, False], 3983, 'North', (13, 4))
Element 49: (0, (13, 4), ['.', '', '', ''], [(9, 11), (2, 12), (11, 5)], [False, False, False, False], 2, False, [True, False, False, False], 4982, 'West', (12, 4))
Element 50: (0, (12, 4), ['.', '', '', ''], [(8, 11), (3, 12), (11, 6)], [False, False, False, False], 0, False, [True, False, False, False], 5001, 'Stop', (12, 4))
Element 51: #0#
