Element 1: (2, (10, 13), ['.', '', '%', '.'], [(15, 10), (10, 11), (12, 7)], [False, False, True, False], 98, False, [True, False, False, True], 19, 'East', (11, 13))
Element 2: (2, (11, 13), ['', '%', '%', '.'], [(16, 10), (11, 11), (13, 7)], [False, True, True, False], 96, False, [False, False, False, True], 58, 'East', (12, 13))
Element 3: (2, (12, 13), ['', '%', '%', '.'], [(16, 9), (12, 11), (14, 7)], [False, True, True, False], 94, False, [False, False, False, True], 1087, 'East', (13, 13))
Element 4: (2, (13, 13), ['', '.', '%', '.'], [(16, 8), (13, 11), (14, 8)], [False, False, True, False], 92, False, [False, True, False, True], 1126, 'East', (14, 13))
Element 5: (2, (14, 13), ['', '.', '%', '.'], [(17, 8), (14, 11), (15, 8)], [False, False, True, False], 90, False, [False, True, False, True], 1165, 'East', (15, 13))
Element 6: (2, (15, 13), ['', '.', '%', '.'], [(18, 8), (15, 11), (15, 9)], [False, False, True, False], 88, False, [False, True, False, True], 1204, 'East', (16, 13))
Element 7: (2, (16, 13), ['', '.', '%', '.'], [(18, 7), (16, 11), (14, 9)], [False, False, True, False], 86, False, [False, True, False, True], 1243, 'East', (17, 13))
Element 8: (2, (17, 13), ['', '.', '%', '.'], [(18, 6), (16, 12), (13, 9)], [False, False, True, False], 84, False, [False, True, False, True], 1282, 'East', (18, 13))
Element 9: (2, (18, 13), ['', '%', '%', '%'], [(17, 6), (17, 12), (13, 10)], [False, True, True, True], 82, False, [False, False, False, False], 1321, 'West', (17, 13))
Element 10: (2, (17, 13), ['', '', '%', ''], [(17, 7), (16, 12), (12, 10)], [False, False, True, False], 80, False, [False, False, False, False], 1340, 'South', (17, 12))
Element 11: (2, (17, 12), ['', '%', '', '%'], [(16, 7), (15, 12), (12, 9)], [False, True, False, True], 78, False, [False, False, False, False], 1369, 'West', (16, 12))
Element 12: (2, (16, 12), ['', '', '', ''], [(16, 6), (14, 12), (12, 8)], [False, False, False, False], 76, False, [False, False, False, False], 1398, 'South', (16, 11))
Element 13: (2, (16, 11), ['', '', '', '%'], [(15, 6), (13, 12), (13, 8)], [False, False, False, True], 74, False, [False, False, False, False], 1427, 'South', (16, 10))
Element 14: (2, (16, 10), ['', '', '', '%'], [(15, 5), (13, 13), (12, 8)], [False, False, False, True], 72, False, [False, False, False, False], 1436, 'South', (16, 9))
Element 15: (2, (16, 9), ['', '', '', '%'], [(15, 4), (14, 13), (12, 9)], [False, False, False, True], 70, False, [False, False, False, False], 1445, 'South', (16, 8))
Element 16: (2, (16, 8), ['', '', '', ''], [(15, 3), (15, 13), (11, 9)], [False, False, False, False], 68, False, [False, False, False, False], 1464, 'East', (17, 8))
Element 17: (2, (17, 8), ['', '', '%', ''], [(16, 3), (16, 13), (11, 10)], [False, False, True, False], 66, False, [False, False, False, False], 1483, 'East', (18, 8))
Element 18: (2, (18, 8), ['', '', '%', '%'], [(16, 2), (17, 13), (10, 10)], [False, False, True, True], 64, False, [False, False, False, False], 2492, 'South', (18, 7))
Element 19: (2, (18, 7), ['', '', '', '%'], [(16, 1), (18, 13), (10, 9)], [False, False, False, True], 62, False, [False, False, False, False], 2511, 'South', (18, 6))
Element 20: (2, (18, 6), ['', '%', '', '%'], [(17, 1), (17, 13), (9, 9)], [False, True, False, True], 60, False, [False, False, False, False], 2530, 'West', (17, 6))
Element 21: (2, (17, 6), ['', '%', '', ''], [(16, 1), (16, 13), (8, 9)], [False, True, False, False], 58, False, [False, False, False, False], 3529, 'North', (17, 7))
Element 22: (2, (17, 7), ['', '', '', ''], [(15, 1), (15, 13), (8, 10)], [False, False, False, False], 56, False, [False, False, False, False], 3548, 'West', (16, 7))
Element 23: (2, (16, 7), ['%', '', '', ''], [(14, 1), (14, 13), (9, 10)], [True, False, False, False], 54, False, [False, False, False, False], 3567, 'South', (16, 6))
Element 24: (2, (16, 6), ['', '%', '', ''], [(13, 1), (13, 13), (9, 11)], [False, True, False, False], 52, False, [False, False, False, False], 3586, 'West', (15, 6))
Element 25: (2, (15, 6), ['.', '', '%', ''], [(12, 1), (12, 13), (9, 12)], [False, False, True, False], 50, False, [True, False, False, False], 3605, 'West', (14, 6))
Element 26: (2, (14, 6), ['%', '.', '', ''], [(11, 1), (11, 13), (9, 13)], [True, False, False, False], 48, False, [False, True, False, False], 3634, 'South', (14, 5))
Element 27: (2, (14, 5), ['.', '.', '', ''], [(10, 1), (10, 13), (8, 13)], [False, False, False, False], 46, False, [True, True, False, False], 3663, 'South', (14, 4))
Element 28: (2, (14, 4), ['.', '%', '', ''], [(9, 1), (9, 13), (8, 12)], [False, True, False, False], 44, False, [True, False, False, False], 3692, 'West', (13, 4))
Element 29: (2, (13, 4), ['.', '.', '.', ''], [(8, 1), (9, 12), (8, 11)], [False, False, False, False], 42, False, [True, True, True, False], 3721, 'North', (13, 5))
Element 30: (2, (13, 5), ['.', '', '%', ''], [(8, 2), (9, 11), (7, 11)], [False, False, True, False], 40, False, [True, False, False, False], 3750, 'West', (12, 5))
Element 31: (2, (12, 5), ['F', '.', '.', ''], [(8, 3), (9, 10), (7, 12)], [False, False, False, False], 38, False, [False, True, True, False], 3779, 'West', (11, 5))
Element 32: (2, (11, 5), ['.', '.', '.', ''], [(9, 3), (10, 10), (7, 13)], [False, False, False, False], 36, False, [True, True, True, False], 4798, 'North', (11, 6))
Element 33: (2, (11, 6), ['.', '', '.', '.'], [(10, 3), (11, 10), (6, 13)], [False, False, False, False], 34, False, [True, False, True, True], 4827, 'East', (12, 6))
Element 34: (2, (12, 6), ['', '', '', '%'], [(11, 3), (12, 10), (6, 12)], [False, False, False, True], 32, False, [False, False, False, False], 4856, 'North', (12, 7))
Element 35: (2, (12, 7), ['.', '', '', ''], [(12, 3), (13, 10), (6, 11)], [False, False, False, False], 30, False, [True, False, False, False], 4875, 'West', (11, 7))
Element 36: (2, (11, 7), ['%', '', '%', ''], [(13, 3), (14, 10), (6, 10)], [True, False, True, False], 28, False, [False, False, False, False], 4904, 'East', (12, 7))
Element 37: (2, (12, 7), ['', '', '', ''], [(13, 4), (15, 10), (7, 10)], [False, False, False, False], 26, False, [False, False, False, False], 4913, 'East', (13, 7))
Element 38: (2, (13, 7), ['', '%', '', ''], [(12, 4), (16, 10), (7, 9)], [False, True, False, False], 24, False, [False, False, False, False], 4932, 'East', (14, 7))
Element 39: (2, (14, 7), ['', '', '', '%'], [(11, 4), (16, 9), (7, 8)], [False, False, False, True], 22, False, [False, False, False, False], 4951, 'North', (14, 8))
Element 40: (2, (14, 8), ['', '', '', ''], [(11, 5), (16, 8), (8, 8)], [False, False, False, False], 20, False, [False, False, False, False], 4960, 'East', (15, 8))
Element 41: (2, (15, 8), ['', '%', '', ''], [(10, 5), (17, 8), (7, 8)], [False, True, False, False], 18, False, [False, False, False, False], 4969, 'North', (15, 9))
Element 42: (2, (15, 9), ['', '', '', ''], [(10, 6), (18, 8), (6, 8)], [False, False, False, False], 16, False, [False, False, False, False], 4988, 'North', (15, 10))
Element 43: (2, (15, 10), ['', '', '', ''], [(9, 6), (18, 7), (6, 9)], [False, False, False, False], 14, False, [False, False, False, False], 5007, 'North', (15, 11))
Element 44: (2, (15, 11), ['', '', '', ''], [(9, 5), (18, 6), (5, 9)], [False, False, False, False], 12, False, [False, False, False, False], 5026, 'North', (15, 12))
Element 45: (2, (15, 12), ['', '', '', ''], [(9, 4), (17, 6), (5, 10)], [False, False, False, False], 10, False, [False, False, False, False], 5045, 'West', (14, 12))
Element 46: (2, (14, 12), ['', '', '', ''], [(8, 4), (17, 7), (5, 11)], [False, False, False, False], 8, False, [False, False, False, False], 5064, 'South', (14, 11))
Element 47: (2, (14, 11), ['', '', '', ''], [(8, 5), (16, 7), (5, 12)], [False, False, False, False], 6, False, [False, False, False, False], 5083, 'South', (14, 10))
Element 48: (2, (14, 10), ['', '', '', ''], [(8, 6), (16, 6), (5, 13)], [False, False, False, False], 4, False, [False, False, False, False], 5102, 'South', (14, 9))
Element 49: (2, (14, 9), ['', '', '', ''], [(7, 6), (15, 6), (4, 13)], [False, False, False, False], 2, False, [False, False, False, False], 5121, 'West', (13, 9))
Element 50: (2, (13, 9), ['', '', '', ''], [(7, 6), (15, 6), (4, 12)], [False, False, False, False], 0, False, [False, False, False, False], 5130, 'Stop', (13, 9))
Element 51: #0#
