Element 1: (3, (13, 11), ['', '.', '.', '.'], [(10, 6), (10, 11), (12, 10)], [False, False, False, False], 98, False, [False, True, True, True], 29, 'East', (14, 11))
Element 2: (3, (14, 11), ['', '.', '.', '.'], [(11, 6), (11, 11), (13, 10)], [False, False, False, False], 96, False, [False, True, True, True], 68, 'East', (15, 11))
Element 3: (3, (15, 11), ['', '.', '.', '.'], [(11, 5), (11, 10), (14, 10)], [False, False, False, False], 94, False, [False, True, True, True], 1097, 'East', (16, 11))
Element 4: (3, (16, 11), ['', '.', '.', '%'], [(12, 5), (11, 9), (15, 10)], [False, False, False, True], 92, False, [False, True, True, False], 1136, 'North', (16, 12))
Element 5: (3, (16, 12), ['.', '', '.', '.'], [(13, 5), (12, 9), (16, 10)], [False, False, False, False], 90, False, [True, False, True, True], 1175, 'East', (17, 12))
Element 6: (3, (17, 12), ['', '%', '.', '%'], [(14, 5), (13, 9), (16, 9)], [False, True, False, True], 88, False, [False, False, True, False], 2204, 'North', (17, 13))
Element 7: (3, (17, 13), ['.', '', '%', '.'], [(15, 5), (14, 9), (16, 8)], [False, False, True, False], 86, False, [True, False, False, True], 2243, 'East', (18, 13))
Element 8: (3, (18, 13), ['', '%', '%', '%'], [(15, 6), (15, 9), (17, 8)], [False, True, True, True], 84, False, [False, False, False, False], 2282, 'West', (17, 13))
Element 9: (3, (17, 13), ['.', '', '%', ''], [(16, 6), (15, 8), (18, 8)], [False, False, True, False], 82, False, [True, False, False, False], 2311, 'West', (16, 13))
Element 10: (3, (16, 13), ['.', '', '%', ''], [(17, 6), (14, 8), (18, 7)], [False, False, True, False], 80, False, [True, False, False, False], 2350, 'West', (15, 13))
Element 11: (3, (15, 13), ['.', '.', '%', ''], [(18, 6), (14, 7), (17, 7)], [False, False, True, False], 78, False, [True, True, False, False], 2389, 'South', (15, 12))
Element 12: (3, (15, 12), ['.', '', '', ''], [(18, 7), (14, 6), (16, 7)], [False, False, False, False], 76, False, [True, False, False, False], 2418, 'West', (14, 12))
Element 13: (3, (14, 12), ['.', '', '.', ''], [(18, 8), (15, 6), (16, 6)], [False, False, False, False], 74, False, [True, False, True, False], 2427, 'North', (14, 13))
Element 14: (3, (14, 13), ['.', '', '%', ''], [(17, 8), (15, 5), (17, 6)], [False, False, True, False], 72, False, [True, False, False, False], 2436, 'West', (13, 13))
Element 15: (3, (13, 13), ['.', '.', '%', ''], [(17, 7), (15, 4), (18, 6)], [False, False, True, False], 70, False, [True, True, False, False], 2455, 'South', (13, 12))
Element 16: (3, (13, 12), ['%', '', '', ''], [(16, 7), (15, 3), (17, 6)], [True, False, False, False], 68, False, [False, False, False, False], 2474, 'North', (13, 13))
Element 17: (3, (13, 13), ['.', '', '%', ''], [(16, 8), (16, 3), (16, 6)], [False, False, True, False], 66, False, [True, False, False, False], 2483, 'West', (12, 13))
Element 18: (3, (12, 13), ['.', '%', '%', ''], [(16, 9), (16, 2), (15, 6)], [False, True, True, False], 64, False, [True, False, False, False], 3492, 'West', (11, 13))
Element 19: (3, (11, 13), ['.', '%', '%', ''], [(16, 10), (16, 1), (15, 5)], [False, True, True, False], 62, False, [True, False, False, False], 3511, 'West', (10, 13))
Element 20: (3, (10, 13), ['.', '.', '%', ''], [(16, 11), (17, 1), (15, 4)], [False, False, True, False], 60, False, [True, True, False, False], 3530, 'South', (10, 12))
Element 21: (3, (10, 12), ['.', '', '', '%'], [(16, 12), (16, 1), (14, 4)], [False, False, False, True], 58, False, [True, False, False, False], 3549, 'West', (9, 12))
Element 22: (3, (9, 12), ['.', '', '.', ''], [(17, 12), (15, 1), (13, 4)], [False, False, False, False], 56, False, [True, False, True, False], 3578, 'North', (9, 13))
Element 23: (3, (9, 13), ['.', '', '%', ''], [(17, 13), (14, 1), (13, 3)], [False, False, True, False], 54, False, [True, False, False, False], 3607, 'West', (8, 13))
Element 24: (3, (8, 13), ['.', '.', '%', ''], [(18, 13), (13, 1), (12, 3)], [False, False, True, False], 52, False, [True, True, False, False], 3636, 'South', (8, 12))
Element 25: (3, (8, 12), ['.', '.', '', ''], [(17, 13), (12, 1), (12, 4)], [False, False, False, False], 50, False, [True, True, False, False], 3665, 'South', (8, 11))
Element 26: (3, (8, 11), ['.', '.', '', ''], [(16, 13), (11, 1), (11, 4)], [False, False, False, False], 48, False, [True, True, False, False], 3694, 'South', (8, 10))
Element 27: (3, (8, 10), ['.', 'F', '', '.'], [(15, 13), (10, 1), (11, 3)], [False, False, False, False], 46, False, [True, False, False, True], 3723, 'South', (8, 9))
Element 28: (3, (8, 9), ['.', '.', '', '.'], [(15, 12), (9, 1), (10, 3)], [False, False, False, False], 44, False, [True, True, False, True], 4742, 'East', (9, 9))
Element 29: (3, (9, 9), ['', '%', '.', '.'], [(15, 11), (8, 1), (9, 3)], [False, True, False, False], 42, False, [False, False, True, True], 4771, 'East', (10, 9))
Element 30: (3, (10, 9), ['', '%', '.', ''], [(15, 10), (8, 2), (9, 4)], [False, True, False, False], 40, False, [False, False, True, False], 4800, 'North', (10, 10))
Element 31: (3, (10, 10), ['.', '', '', ''], [(15, 9), (8, 3), (9, 5)], [False, False, False, False], 38, False, [True, False, False, False], 4829, 'West', (9, 10))
Element 32: (3, (9, 10), ['', '', '', ''], [(15, 8), (8, 4), (10, 5)], [False, False, False, False], 36, False, [False, False, False, False], 4858, 'North', (9, 11))
Element 33: (3, (9, 11), ['', '', '', ''], [(14, 8), (8, 5), (11, 5)], [False, False, False, False], 34, False, [False, False, False, False], 4867, 'East', (10, 11))
Element 34: (3, (10, 11), ['', '', '', ''], [(13, 8), (8, 6), (12, 5)], [False, False, False, False], 32, False, [False, False, False, False], 4886, 'East', (11, 11))
Element 35: (3, (11, 11), ['', '', '%', ''], [(13, 7), (7, 6), (12, 6)], [False, False, True, False], 30, False, [False, False, False, False], 4915, 'East', (12, 11))
Element 36: (3, (12, 11), ['', '', '%', ''], [(12, 7), (7, 5), (11, 6)], [False, False, True, False], 28, False, [False, False, False, False], 4934, 'South', (12, 10))
Element 37: (3, (12, 10), ['', '', '', ''], [(12, 8), (7, 4), (11, 7)], [False, False, False, False], 26, False, [False, False, False, False], 4963, 'East', (13, 10))
Element 38: (3, (13, 10), ['', '', '', ''], [(12, 9), (7, 3), (12, 7)], [False, False, False, False], 24, False, [False, False, False, False], 4972, 'East', (14, 10))
Element 39: (3, (14, 10), ['', '', '', ''], [(13, 9), (7, 2), (13, 7)], [False, False, False, False], 22, False, [False, False, False, False], 4981, 'East', (15, 10))
Element 40: (3, (15, 10), ['', '', '', ''], [(14, 9), (7, 1), (14, 7)], [False, False, False, False], 20, False, [False, False, False, False], 4990, 'East', (16, 10))
Element 41: (3, (16, 10), ['', '', '', '%'], [(14, 10), (6, 1), (14, 8)], [False, False, False, True], 18, False, [False, False, False, False], 4999, 'South', (16, 9))
Element 42: (3, (16, 9), ['', '', '', '%'], [(14, 11), (6, 2), (15, 8)], [False, False, False, True], 16, False, [False, False, False, False], 5008, 'South', (16, 8))
Element 43: (3, (16, 8), ['', '', '', ''], [(14, 12), (6, 3), (15, 9)], [False, False, False, False], 14, False, [False, False, False, False], 5017, 'East', (17, 8))
Element 44: (3, (17, 8), ['', '', '%', ''], [(14, 13), (6, 4), (14, 9)], [False, False, True, False], 12, False, [False, False, False, False], 5026, 'East', (18, 8))
Element 45: (3, (18, 8), ['', '', '%', '%'], [(13, 13), (6, 5), (13, 9)], [False, False, True, True], 10, False, [False, False, False, False], 5035, 'South', (18, 7))
Element 46: (3, (18, 7), ['', '', '', '%'], [(13, 12), (6, 6), (13, 8)], [False, False, False, True], 8, False, [False, False, False, False], 5044, 'South', (18, 6))
Element 47: (3, (18, 6), ['', '%', '', '%'], [(13, 11), (6, 5), (12, 8)], [False, True, False, True], 6, False, [False, False, False, False], 5043, 'West', (17, 6))
Element 48: (3, (17, 6), ['', '%', '', ''], [(13, 10), (5, 5), (12, 9)], [False, True, False, False], 4, False, [False, False, False, False], 5052, 'North', (17, 7))
Element 49: (3, (17, 7), ['', '', '', ''], [(12, 10), (5, 4), (11, 9)], [False, False, False, False], 2, False, [False, False, False, False], 5061, 'West', (16, 7))
Element 50: (3, (16, 7), ['%', '', '', ''], [(12, 10), (5, 4), (11, 9)], [True, False, False, False], 0, False, [False, False, False, False], 5060, 'Stop', (16, 7))
Element 51: #0#
