Element 38: (1, (12, 1), ['.', '%', '%', ''], [(9, 13), (12, 6), (13, 8)], [False, True, True, False], 24, False, [True, False, False, False], 4812, 'West', (11, 1))
Element 39: (1, (11, 1), ['.', '%', '%', ''], [(8, 13), (11, 6), (14, 8)], [False, True, True, False], 22, False, [True, False, False, False], 4841, 'West', (10, 1))
Element 40: (1, (10, 1), ['.', '%', '%', ''], [(8, 12), (11, 7), (15, 8)], [False, True, True, False], 20, False, [True, False, False, False], 4870, 'West', (9, 1))
Element 41: (1, (9, 1), ['.', '%', '%', ''], [(8, 11), (11, 6), (15, 9)], [False, True, True, False], 18, False, [True, False, False, False], 4889, 'West', (8, 1))
Element 42: (1, (8, 1), ['.', '%', '.', ''], [(7, 11), (10, 6), (15, 10)], [False, True, False, False], 16, False, [True, False, True, False], 4918, 'North', (8, 2))
Element 43: (1, (8, 2), ['.', '', '', '%'], [(7, 12), (9, 6), (15, 11)], [False, False, False, True], 14, False, [True, False, False, False], 4947, 'West', (7, 2))
Element 44: (1, (7, 2), ['.', '.', '', ''], [(7, 13), (8, 6), (15, 12)], [False, False, False, False], 12, False, [True, True, False, False], 4976, 'South', (7, 1))
Element 45: (1, (7, 1), ['.', '%', '', ''], [(6, 13), (8, 5), (15, 11)], [False, True, False, False], 10, False, [True, False, False, False], 5005, 'West', (6, 1))
Element 46: (1, (6, 1), ['.', '%', '.', ''], [(6, 12), (7, 5), (15, 10)], [False, True, False, False], 8, False, [True, False, True, False], 5034, 'North', (6, 2))
Element 47: (1, (6, 2), ['.', '', '.', ''], [(6, 11), (7, 6), (15, 9)], [False, False, False, False], 6, False, [True, False, True, False], 5063, 'North', (6, 3))
Element 48: (1, (6, 3), ['.', '', '.', ''], [(5, 11), (6, 6), (14, 9)], [False, False, False, False], 4, False, [True, False, True, False], 5092, 'North', (6, 4))
Element 49: (1, (6, 4), ['.', '', 'G', ''], [(5, 12), (6, 5), (13, 9)], [False, False, False, False], 2, False, [True, False, False, False], 5121, 'West', (5, 4))
Element 50: (1, (5, 4), ['.', '.', 'G', ''], [(5, 12), (5, 5), (14, 9)], [False, False, False, False], 0, False, [True, True, False, False], 5140, 'Stop', (5, 4))
Element 51: #0#
