Element 38: (0, (11, 4), ['%', '', '', ''], [(12, 3), (13, 13), (8, 8)], [True, False, False, False], 24, False, [False, False, False, False], 4943, 'North', (11, 5))
Element 39: (0, (11, 5), ['', '', '', ''], [(13, 3), (12, 13), (7, 8)], [False, False, False, False], 22, False, [False, False, False, False], 4952, 'East', (12, 5))
Element 40: (0, (12, 5), ['', '', '', ''], [(13, 4), (11, 13), (7, 9)], [False, False, False, False], 20, False, [False, False, False, False], 4961, 'East', (13, 5))
Element 41: (0, (13, 5), ['', '', '%', ''], [(14, 4), (10, 13), (7, 10)], [False, False, True, False], 18, False, [False, False, False, False], 4970, 'East', (14, 5))
Element 42: (0, (14, 5), ['', '', '', ''], [(15, 4), (10, 12), (7, 11)], [False, False, False, False], 16, False, [False, False, False, False], 4979, 'North', (14, 6))
Element 43: (0, (14, 6), ['%', '', '', ''], [(15, 5), (10, 11), (7, 12)], [True, False, False, False], 14, False, [False, False, False, False], 4988, 'North', (14, 7))
Element 44: (0, (14, 7), ['', '', '', '%'], [(15, 6), (11, 11), (7, 13)], [False, False, False, True], 12, False, [False, False, False, False], 4997, 'North', (14, 8))
Element 45: (0, (14, 8), ['', '', '', ''], [(16, 6), (12, 11), (6, 13)], [False, False, False, False], 10, False, [False, False, False, False], 5006, 'East', (15, 8))
Element 46: (0, (15, 8), ['', '%', '', ''], [(17, 6), (12, 10), (6, 12)], [False, True, False, False], 8, False, [False, False, False, False], 5015, 'North', (15, 9))
Element 47: (0, (15, 9), ['', '', '', ''], [(18, 6), (13, 10), (6, 11)], [False, False, False, False], 6, False, [False, False, False, False], 5024, 'North', (15, 10))
Element 48: (0, (15, 10), ['', '', '', ''], [(18, 7), (12, 10), (6, 10)], [False, False, False, False], 4, False, [False, False, False, False], 5033, 'North', (15, 11))
Element 49: (0, (15, 11), ['', '', '', ''], [(18, 8), (12, 9), (6, 9)], [False, False, False, False], 2, False, [False, False, False, False], 5042, 'East', (16, 11))
Element 50: (0, (16, 11), ['', '', '', '%'], [(17, 8), (12, 8), (6, 8)], [False, False, False, True], 0, False, [False, False, False, False], 5051, 'Stop', (16, 11))
Element 51: #0#
