Element 1: (2, (4, 5), ['', '.', '%', '.'], [(6, 1), (3, 4), (13, 1)], [False, False, True, False], 98, False, [False, True, False, True], 19, 'East', (5, 5))
Element 2: (2, (5, 5), ['', '.', '%', '.'], [(7, 1), (4, 4), (14, 1)], [False, False, True, False], 96, False, [False, True, False, True], 58, 'East', (6, 5))
Element 3: (2, (6, 5), ['', '.', '.', '.'], [(8, 1), (5, 4), (15, 1)], [False, False, False, False], 94, False, [False, True, True, True], 97, 'East', (7, 5))
Element 4: (2, (7, 5), ['', '.', '.', '.'], [(9, 1), (6, 4), (16, 1)], [False, False, False, False], 92, False, [False, True, True, True], 136, 'East', (8, 5))
Element 5: (2, (8, 5), ['', '.', '.', '.'], [(10, 1), (7, 4), (16, 2)], [False, False, False, False], 90, False, [False, True, True, True], 1165, 'East', (9, 5))
Element 6: (2, (9, 5), ['', '.', '.', '.'], [(11, 1), (8, 4), (16, 3)], [False, False, False, False], 88, False, [False, True, True, True], 1204, 'East', (10, 5))
Element 7: (2, (10, 5), ['', '%', '.', 'F'], [(12, 1), (9, 4), (17, 3)], [False, True, False, False], 86, False, [False, False, True, False], 1243, 'East', (11, 5))
Element 8: (2, (11, 5), ['', '.', '.', '.'], [(13, 1), (9, 3), (18, 3)], [False, False, False, False], 84, False, [False, True, True, True], 2262, 'East', (12, 5))
Element 9: (2, (12, 5), ['', '.', '.', '.'], [(14, 1), (10, 3), (17, 3)], [False, False, False, False], 82, False, [False, True, True, True], 2281, 'East', (13, 5))
Element 10: (2, (13, 5), ['', '.', '%', '.'], [(15, 1), (11, 3), (16, 3)], [False, False, True, False], 80, False, [False, True, False, True], 2300, 'East', (14, 5))
Element 11: (2, (14, 5), ['', '.', '.', '.'], [(16, 1), (12, 3), (15, 3)], [False, False, False, False], 78, False, [False, True, True, True], 2329, 'East', (15, 5))
Element 12: (2, (15, 5), ['', 'G', '.', '%'], [(17, 1), (13, 3), (15, 4)], [False, False, False, True], 76, False, [False, False, True, False], 2368, 'North', (15, 6))
Element 13: (2, (15, 6), ['.', '', '%', '.'], [(16, 1), (13, 4), (14, 4)], [False, False, True, False], 74, False, [True, False, False, True], 2397, 'East', (16, 6))
Element 14: (2, (16, 6), ['', '%', '.', '.'], [(16, 2), (12, 4), (14, 5)], [False, True, False, False], 72, False, [False, False, True, True], 2416, 'East', (17, 6))
Element 15: (2, (17, 6), ['', '%', '.', '.'], [(16, 3), (11, 4), (14, 6)], [False, True, False, False], 70, False, [False, False, True, True], 2445, 'East', (18, 6))
Element 16: (2, (18, 6), ['', '%', '.', '%'], [(17, 3), (11, 5), (14, 7)], [False, True, False, True], 68, False, [False, False, True, False], 2464, 'North', (18, 7))
Element 17: (2, (18, 7), ['.', '', '.', '%'], [(18, 3), (11, 6), (14, 8)], [False, False, False, True], 66, False, [True, False, True, False], 2493, 'North', (18, 8))
