Element 1: (3, (16, 3), ['.', 'F', '%', '.'], [(2, 12), (2, 4), (6, 8)], [False, False, True, False], 98, False, [True, False, False, True], 29, 'South', (16, 2))
Element 2: (3, (16, 2), ['%', '.', '', '%'], [(3, 12), (3, 4), (7, 8)], [True, False, False, True], 96, False, [False, True, False, False], 1058, 'South', (16, 1))
Element 3: (3, (16, 1), ['.', '%', '', '.'], [(4, 12), (4, 4), (8, 8)], [False, True, False, False], 94, False, [True, False, False, True], 1097, 'East', (17, 1))
Element 4: (3, (17, 1), ['', '%', '%', '%'], [(5, 12), (5, 4), (8, 9)], [False, True, True, True], 92, False, [False, False, False, False], 2126, 'West', (16, 1))
Element 5: (3, (16, 1), ['.', '%', '', ''], [(6, 12), (6, 4), (9, 9)], [False, True, False, False], 90, False, [True, False, False, False], 2155, 'West', (15, 1))
Element 6: (3, (15, 1), ['.', '%', '%', ''], [(7, 12), (7, 4), (10, 9)], [False, True, True, False], 88, False, [True, False, False, False], 2194, 'West', (14, 1))
Element 7: (3, (14, 1), ['.', '%', '%', ''], [(8, 12), (8, 4), (11, 9)], [False, True, True, False], 86, False, [True, False, False, False], 2233, 'West', (13, 1))
Element 8: (3, (13, 1), ['.', '%', '%', ''], [(9, 12), (9, 4), (12, 9)], [False, True, True, False], 84, False, [True, False, False, False], 2272, 'West', (12, 1))
Element 9: (3, (12, 1), ['.', '%', '%', ''], [(10, 12), (9, 5), (13, 9)], [False, True, True, False], 82, False, [True, False, False, False], 2311, 'West', (11, 1))
Element 10: (3, (11, 1), ['.', '%', '%', ''], [(10, 13), (10, 5), (14, 9)], [False, True, True, False], 80, False, [True, False, False, False], 2350, 'West', (10, 1))
Element 11: (3, (10, 1), ['.', '%', '%', ''], [(11, 13), (11, 5), (15, 9)], [False, True, True, False], 78, False, [True, False, False, False], 3379, 'West', (9, 1))
Element 12: (3, (9, 1), ['.', '%', '%', ''], [(12, 13), (12, 5), (16, 9)], [False, True, True, False], 76, False, [True, False, False, False], 4408, 'West', (8, 1))
Element 13: (3, (8, 1), ['.', '%', '.', ''], [(13, 13), (13, 5), (16, 10)], [False, True, False, False], 74, False, [True, False, True, False], 4447, 'North', (8, 2))
Element 14: (3, (8, 2), ['.', '', '.', '%'], [(14, 13), (14, 5), (16, 11)], [False, False, False, True], 72, False, [True, False, True, False], 4486, 'North', (8, 3))
Element 15: (3, (8, 3), ['.', '', '', '.'], [(15, 13), (15, 5), (16, 12)], [False, False, False, False], 70, False, [True, False, False, True], 4525, 'East', (9, 3))
Element 16: (3, (9, 3), ['', '%', '', '.'], [(16, 13), (15, 6), (17, 12)], [False, True, False, False], 68, False, [False, False, False, True], 4564, 'East', (10, 3))
Element 17: (3, (10, 3), ['', '%', '%', '.'], [(17, 13), (16, 6), (16, 12)], [False, True, True, False], 66, False, [False, False, False, True], 4593, 'East', (11, 3))
Element 18: (3, (11, 3), ['', '%', '.', '.'], [(18, 13), (17, 6), (15, 12)], [False, True, False, False], 64, False, [False, False, True, True], 4632, 'East', (12, 3))
Element 19: (3, (12, 3), ['', '%', '.', '.'], [(17, 13), (18, 6), (15, 11)], [False, True, False, False], 62, False, [False, False, True, True], 4661, 'East', (13, 3))
Element 20: (3, (13, 3), ['', '%', '.', '%'], [(17, 12), (18, 7), (15, 10)], [False, True, False, True], 60, False, [False, False, True, False], 4690, 'North', (13, 4))
Element 21: (3, (13, 4), ['.', '', '', '.'], [(16, 12), (18, 8), (14, 10)], [False, False, False, False], 58, False, [True, False, False, True], 4719, 'East', (14, 4))
Element 22: (3, (14, 4), ['', '%', '', '.'], [(16, 11), (17, 8), (14, 11)], [False, True, False, False], 56, False, [False, False, False, True], 4748, 'East', (15, 4))
Element 23: (3, (15, 4), ['', '.', '', '%'], [(16, 10), (17, 7), (14, 12)], [False, False, False, True], 54, False, [False, True, False, False], 4777, 'South', (15, 3))
Element 24: (3, (15, 3), ['%', '%', '', ''], [(16, 9), (16, 7), (13, 12)], [True, True, False, False], 52, False, [False, False, False, False], 4806, 'North', (15, 4))
Element 25: (3, (15, 4), ['', '', '', '%'], [(16, 8), (17, 7), (13, 11)], [False, False, False, True], 50, False, [False, False, False, False], 4825, 'North', (15, 5))
Element 26: (3, (15, 5), ['', '', '', '%'], [(15, 8), (17, 8), (13, 10)], [False, False, False, True], 48, False, [False, False, False, False], 4844, 'North', (15, 6))
Element 27: (3, (15, 6), ['.', '', '%', ''], [(14, 8), (16, 8), (12, 10)], [False, False, True, False], 46, False, [True, False, False, False], 4863, 'West', (14, 6))
Element 28: (3, (14, 6), ['%', '', 'G', ''], [(14, 7), (16, 9), (12, 11)], [True, False, False, False], 44, False, [False, False, False, False], 4892, 'South', (14, 5))
Element 29: (3, (14, 5), ['', '', '', ''], [(13, 7), (16, 10), (11, 11)], [False, False, False, False], 42, False, [False, False, False, False], 4911, 'West', (13, 5))
Element 30: (3, (13, 5), ['', '', '%', ''], [(13, 8), (16, 11), (11, 10)], [False, False, True, False], 40, False, [False, False, False, False], 4930, 'West', (12, 5))
Element 31: (3, (12, 5), ['', '.', '.', ''], [(12, 8), (16, 12), (10, 10)], [False, False, False, False], 38, False, [False, True, True, False], 4949, 'North', (12, 6))
Element 32: (3, (12, 6), ['.', '', 'G', '%'], [(12, 7), (17, 12), (10, 11)], [False, False, False, True], 36, False, [True, False, False, False], 4978, 'West', (11, 6))
Element 33: (3, (11, 6), ['.', '', 'G', ''], [(11, 7), (17, 13), (9, 11)], [False, False, False, False], 34, False, [True, False, False, False], 5007, 'West', (10, 6))
Element 34: (3, (10, 6), ['.', '', '%', 'G'], [(11, 6), (18, 13), (9, 10)], [False, False, True, False], 32, False, [True, False, False, False], 5026, 'West', (9, 6))
