Element 1: (0, (8, 3), ['.', '.', '.', 'G'], [(6, 9), (9, 3), (17, 6)], [False, False, False, False], 98, False, [True, True, True, False], 0, 'North', (8, 4))
Element 2: (0, (8, 4), ['.', '', '.', '.'], [(7, 9), (10, 3), (18, 6)], [False, False, False, False], 96, False, [True, False, True, True], 39, 'East', (9, 4))
Element 3: (0, (9, 4), ['', '', '.', '%'], [(8, 9), (11, 3), (18, 7)], [False, False, False, True], 94, False, [False, False, True, False], 1068, 'North', (9, 5))
Element 4: (0, (9, 5), ['.', '', '.', '.'], [(9, 9), (12, 3), (18, 8)], [False, False, False, False], 92, False, [True, False, True, True], 1107, 'East', (10, 5))
Element 5: (0, (10, 5), ['', '%', '.', 'F'], [(10, 9), (13, 3), (17, 8)], [False, True, False, False], 90, False, [False, False, True, False], 1146, 'East', (11, 5))
Element 6: (0, (11, 5), ['', '.', '.', '.'], [(11, 9), (13, 4), (17, 7)], [False, False, False, False], 88, False, [False, True, True, True], 2175, 'East', (12, 5))
Element 7: (0, (12, 5), ['', '.', '.', '.'], [(12, 9), (14, 4), (16, 7)], [False, False, False, False], 86, False, [False, True, True, True], 2214, 'East', (13, 5))
Element 8: (0, (13, 5), ['', '', '%', '.'], [(13, 9), (15, 4), (16, 8)], [False, False, True, False], 84, False, [False, False, False, True], 2253, 'East', (14, 5))
Element 9: (0, (14, 5), ['', '', '.', 'G'], [(14, 9), (15, 5), (16, 9)], [False, False, False, False], 82, False, [False, False, True, False], 3282, 'North', (14, 6))
Element 10: (0, (14, 6), ['%', '', '.', 'G'], [(15, 9), (15, 6), (16, 10)], [True, False, False, False], 80, False, [False, False, True, False], 3321, 'North', (14, 7))
Element 11: (0, (14, 7), ['.', '', '.', '%'], [(15, 10), (16, 6), (16, 11)], [False, False, False, True], 78, False, [True, False, True, False], 3360, 'North', (14, 8))
Element 12: (0, (14, 8), ['.', '', '', '.'], [(15, 11), (17, 6), (16, 12)], [False, False, False, False], 76, False, [True, False, False, True], 3389, 'East', (15, 8))
Element 13: (0, (15, 8), ['', '%', '', ''], [(15, 12), (18, 6), (17, 12)], [False, True, False, False], 74, False, [False, False, False, False], 3418, 'East', (16, 8))
Element 14: (0, (16, 8), ['', '', '', ''], [(15, 13), (18, 7), (17, 13)], [False, False, False, False], 72, False, [False, False, False, False], 3437, 'East', (17, 8))
Element 15: (0, (17, 8), ['', '', '%', 'G'], [(16, 13), (18, 8), (18, 13)], [False, False, True, False], 70, False, [False, False, False, False], 3456, 'South', (17, 7))
Element 16: (0, (17, 7), ['', '', 'G', ''], [(17, 13), (17, 8), (18, 13)], [False, False, False, False], 68, False, [False, False, False, False], 3455, 'East', (18, 7))
Element 17: (0, (18, 7), ['G', '', '', '%'], [(17, 12), (17, 7), (17, 13)], [False, False, False, True], 66, False, [False, False, False, False], 3454, 'North', (18, 8))
Element 18: (0, (18, 8), ['', '', '%', '%'], [(16, 12), (16, 7), (16, 13)], [False, False, True, True], 64, False, [False, False, False, False], 3453, 'South', (18, 7))
Element 19: (0, (18, 7), ['', '', '', '%'], [(16, 11), (16, 8), (15, 13)], [False, False, False, True], 62, False, [False, False, False, False], 3452, 'South', (18, 6))
Element 20: (0, (18, 6), ['', '%', '', '%'], [(16, 10), (16, 9), (14, 13)], [False, True, False, True], 60, False, [False, False, False, False], 3461, 'West', (17, 6))
Element 21: (0, (17, 6), ['', '%', '', ''], [(16, 11), (16, 10), (14, 12)], [False, True, False, False], 58, False, [False, False, False, False], 3470, 'West', (16, 6))
Element 22: (0, (16, 6), ['', '%', '', ''], [(16, 12), (16, 11), (14, 11)], [False, True, False, False], 56, False, [False, False, False, False], 3479, 'North', (16, 7))
Element 23: (0, (16, 7), ['%', '', '', ''], [(17, 12), (16, 12), (14, 10)], [True, False, False, False], 54, False, [False, False, False, False], 3488, 'South', (16, 6))
Element 24: (0, (16, 6), ['', '%', '', ''], [(17, 13), (17, 12), (13, 10)], [False, True, False, False], 52, False, [False, False, False, False], 3497, 'West', (15, 6))
Element 25: (0, (15, 6), ['', '', '%', ''], [(16, 13), (17, 13), (13, 11)], [False, False, True, False], 50, False, [False, False, False, False], 3506, 'South', (15, 5))
Element 26: (0, (15, 5), ['', '', '', '%'], [(16, 12), (18, 13), (13, 12)], [False, False, False, True], 48, False, [False, False, False, False], 3515, 'South', (15, 4))
Element 27: (0, (15, 4), ['', '.', '', '%'], [(16, 13), (17, 13), (13, 13)], [False, False, False, True], 46, False, [False, True, False, False], 3524, 'South', (15, 3))
Element 28: (0, (15, 3), ['%', '%', '', '.'], [(15, 13), (16, 13), (12, 13)], [True, True, False, False], 44, False, [False, False, False, True], 3543, 'East', (16, 3))
Element 29: (0, (16, 3), ['', 'F', '%', '.'], [(14, 13), (15, 13), (11, 13)], [False, False, True, False], 42, False, [False, False, False, True], 3562, 'South', (16, 2))
Element 30: (0, (16, 2), ['%', '.', '', '%'], [(14, 12), (15, 12), (10, 13)], [True, False, False, True], 40, False, [False, True, False, False], 4571, 'South', (16, 1))
Element 31: (0, (16, 1), ['.', '%', '', '.'], [(14, 11), (15, 11), (10, 12)], [False, True, False, False], 38, False, [True, False, False, True], 4590, 'East', (17, 1))
Element 32: (0, (17, 1), ['', '%', '%', '%'], [(14, 10), (15, 10), (10, 11)], [False, True, True, True], 36, False, [False, False, False, False], 4609, 'West', (16, 1))
Element 33: (0, (16, 1), ['.', '%', '', ''], [(13, 10), (15, 9), (11, 11)], [False, True, False, False], 34, False, [True, False, False, False], 4618, 'West', (15, 1))
Element 34: (0, (15, 1), ['.', '%', '%', ''], [(12, 10), (15, 8), (12, 11)], [False, True, True, False], 32, False, [True, False, False, False], 4647, 'West', (14, 1))
Element 35: (0, (14, 1), ['.', '%', '%', ''], [(11, 10), (14, 8), (12, 10)], [False, True, True, False], 30, False, [True, False, False, False], 4666, 'West', (13, 1))
Element 36: (0, (13, 1), ['.', '%', '%', ''], [(10, 10), (13, 8), (12, 9)], [False, True, True, False], 28, False, [True, False, False, False], 4695, 'West', (12, 1))
Element 37: (0, (12, 1), ['.', '%', '%', ''], [(9, 10), (13, 7), (12, 8)], [False, True, True, False], 26, False, [True, False, False, False], 4734, 'West', (11, 1))
Element 38: (0, (11, 1), ['.', '%', '%', ''], [(9, 11), (12, 7), (13, 8)], [False, True, True, False], 24, False, [True, False, False, False], 4763, 'West', (10, 1))
Element 39: (0, (10, 1), ['.', '%', '%', ''], [(9, 12), (12, 6), (14, 8)], [False, True, True, False], 22, False, [True, False, False, False], 4792, 'West', (9, 1))
Element 40: (0, (9, 1), ['.', '%', '%', ''], [(9, 13), (11, 6), (15, 8)], [False, True, True, False], 20, False, [True, False, False, False], 4821, 'West', (8, 1))
Element 41: (0, (8, 1), ['.', '%', '.', ''], [(8, 13), (11, 7), (15, 9)], [False, True, False, False], 18, False, [True, False, True, False], 4850, 'North', (8, 2))
Element 42: (0, (8, 2), ['.', '', '', '%'], [(8, 12), (11, 6), (15, 10)], [False, False, False, True], 16, False, [True, False, False, False], 4869, 'West', (7, 2))
Element 43: (0, (7, 2), ['.', '.', '.', ''], [(8, 11), (10, 6), (15, 11)], [False, False, False, False], 14, False, [True, True, True, False], 4898, 'North', (7, 3))
Element 44: (0, (7, 3), ['.', '', '.', ''], [(8, 10), (9, 6), (15, 12)], [False, False, False, False], 12, False, [True, False, True, False], 4927, 'North', (7, 4))
Element 45: (0, (7, 4), ['.', '', '.', ''], [(7, 10), (8, 6), (15, 11)], [False, False, False, False], 10, False, [True, False, True, False], 4956, 'North', (7, 5))
Element 46: (0, (7, 5), ['.', '', '.', 'G'], [(7, 11), (8, 5), (15, 10)], [False, False, False, False], 8, False, [True, False, True, False], 4985, 'North', (7, 6))
Element 47: (0, (7, 6), ['.', '', '%', ''], [(7, 12), (9, 5), (15, 9)], [False, False, True, False], 6, False, [True, False, False, False], 5004, 'West', (6, 6))
Element 48: (0, (6, 6), ['%', '.', '%', ''], [(7, 13), (10, 5), (14, 9)], [True, False, True, False], 4, False, [False, True, False, False], 5023, 'South', (6, 5))
Element 49: (0, (6, 5), ['.', '.', '', ''], [(6, 13), (11, 5), (13, 9)], [False, False, False, False], 2, False, [True, True, False, False], 5042, 'South', (6, 4))
Element 50: (0, (6, 4), ['.', '.', '', ''], [(6, 12), (11, 4), (14, 9)], [False, False, False, False], 0, False, [True, True, False, False], 5071, 'Stop', (6, 4))
Element 51: #0#
