Element 1: (1, (11, 9), ['.', '%', '.', '.'], [(5, 5), (16, 1), (17, 3)], [False, True, False, False], 98, False, [True, False, True, True], 9, 'East', (12, 9))
Element 2: (1, (12, 9), ['', '.', '.', '.'], [(6, 5), (16, 2), (18, 3)], [False, False, False, False], 96, False, [False, True, True, True], 1038, 'East', (13, 9))
Element 3: (1, (13, 9), ['', '.', '.', '.'], [(7, 5), (16, 3), (17, 3)], [False, False, False, False], 94, False, [False, True, True, True], 1067, 'East', (14, 9))
Element 4: (1, (14, 9), ['', '.', '.', '.'], [(8, 5), (15, 3), (16, 3)], [False, False, False, False], 92, False, [False, True, True, True], 1096, 'East', (15, 9))
Element 5: (1, (15, 9), ['', '.', '.', 'F'], [(9, 5), (15, 4), (16, 2)], [False, False, False, False], 90, False, [False, True, True, False], 1125, 'East', (16, 9))
Element 6: (1, (16, 9), ['', '.', '.', '%'], [(10, 5), (15, 5), (16, 1)], [False, False, False, True], 88, False, [False, True, True, False], 2144, 'North', (16, 10))
Element 7: (1, (16, 10), ['.', '', '.', '%'], [(11, 5), (15, 6), (17, 1)], [False, False, False, True], 86, False, [True, False, True, False], 3173, 'North', (16, 11))
Element 8: (1, (16, 11), ['.', '', '.', '%'], [(12, 5), (16, 6), (16, 1)], [False, False, False, True], 84, False, [True, False, True, False], 3202, 'North', (16, 12))
Element 9: (1, (16, 12), ['.', '', '.', '.'], [(13, 5), (17, 6), (15, 1)], [False, False, False, False], 82, False, [True, False, True, True], 3241, 'East', (17, 12))
Element 10: (1, (17, 12), ['', '%', '.', '%'], [(14, 5), (18, 6), (14, 1)], [False, True, False, True], 80, False, [False, False, True, False], 3280, 'North', (17, 13))
Element 11: (1, (17, 13), ['.', '', '%', '.'], [(14, 6), (18, 7), (13, 1)], [False, False, True, False], 78, False, [True, False, False, True], 3319, 'East', (18, 13))
Element 12: (1, (18, 13), ['', '%', '%', '%'], [(14, 7), (18, 8), (12, 1)], [False, True, True, True], 76, False, [False, False, False, False], 3358, 'West', (17, 13))
Element 13: (1, (17, 13), ['.', '', '%', ''], [(14, 8), (17, 8), (11, 1)], [False, False, True, False], 74, False, [True, False, False, False], 3387, 'West', (16, 13))
Element 14: (1, (16, 13), ['.', '', '%', ''], [(15, 8), (17, 7), (10, 1)], [False, False, True, False], 72, False, [True, False, False, False], 3426, 'West', (15, 13))
Element 15: (1, (15, 13), ['.', '.', '%', ''], [(16, 8), (16, 7), (9, 1)], [False, False, True, False], 70, False, [True, True, False, False], 3465, 'South', (15, 12))
Element 16: (1, (15, 12), ['.', '.', '', ''], [(17, 8), (17, 7), (8, 1)], [False, False, False, False], 68, False, [True, True, False, False], 3484, 'South', (15, 11))
Element 17: (1, (15, 11), ['.', '.', '', ''], [(18, 8), (16, 7), (8, 2)], [False, False, False, False], 66, False, [True, True, False, False], 3503, 'South', (15, 10))
Element 18: (1, (15, 10), ['.', '', '', ''], [(18, 7), (16, 8), (8, 3)], [False, False, False, False], 64, False, [True, False, False, False], 3522, 'West', (14, 10))
Element 19: (1, (14, 10), ['.', '', '.', ''], [(18, 6), (16, 9), (9, 3)], [False, False, False, False], 62, False, [True, False, True, False], 3541, 'North', (14, 11))
Element 20: (1, (14, 11), ['.', '', '.', ''], [(17, 6), (16, 10), (10, 3)], [False, False, False, False], 60, False, [True, False, True, False], 3560, 'North', (14, 12))
Element 21: (1, (14, 12), ['.', '', '.', ''], [(17, 7), (16, 11), (11, 3)], [False, False, False, False], 58, False, [True, False, True, False], 3579, 'North', (14, 13))
Element 22: (1, (14, 13), ['.', '', '%', ''], [(16, 7), (16, 12), (12, 3)], [False, False, True, False], 56, False, [True, False, False, False], 3598, 'West', (13, 13))
Element 23: (1, (13, 13), ['.', '.', '%', ''], [(16, 6), (17, 12), (13, 3)], [False, False, True, False], 54, False, [True, True, False, False], 3617, 'South', (13, 12))
Element 24: (1, (13, 12), ['%', '.', '', ''], [(15, 6), (17, 13), (13, 4)], [True, False, False, False], 52, False, [False, True, False, False], 3636, 'South', (13, 11))
Element 25: (1, (13, 11), ['.', '.', '', ''], [(15, 5), (18, 13), (14, 4)], [False, False, False, False], 50, False, [True, True, False, False], 3655, 'South', (13, 10))
Element 26: (1, (13, 10), ['.', '', '', ''], [(15, 6), (17, 13), (15, 4)], [False, False, False, False], 48, False, [True, False, False, False], 3664, 'West', (12, 10))
Element 27: (1, (12, 10), ['.', '', '.', ''], [(16, 6), (16, 13), (15, 5)], [False, False, False, False], 46, False, [True, False, True, False], 3673, 'North', (12, 11))
Element 28: (1, (12, 11), ['.', '', '%', ''], [(16, 7), (15, 13), (15, 6)], [False, False, True, False], 44, False, [True, False, False, False], 3682, 'West', (11, 11))
Element 29: (1, (11, 11), ['.', '.', '%', ''], [(17, 7), (15, 12), (16, 6)], [False, False, True, False], 42, False, [True, True, False, False], 3691, 'South', (11, 10))
Element 30: (1, (11, 10), ['.', '', '', ''], [(16, 7), (15, 11), (17, 6)], [False, False, False, False], 40, False, [True, False, False, False], 3700, 'West', (10, 10))
Element 31: (1, (10, 10), ['.', '.', '.', ''], [(16, 6), (15, 10), (18, 6)], [False, False, False, False], 38, False, [True, True, True, False], 3709, 'North', (10, 11))
Element 32: (1, (10, 11), ['.', '', '.', ''], [(17, 6), (15, 9), (18, 7)], [False, False, False, False], 36, False, [True, False, True, False], 3718, 'North', (10, 12))
Element 33: (1, (10, 12), ['.', '', '.', '%'], [(18, 6), (15, 8), (18, 8)], [False, False, False, True], 34, False, [True, False, True, False], 3727, 'North', (10, 13))
Element 34: (1, (10, 13), ['.', '', '%', '.'], [(18, 7), (14, 8), (17, 8)], [False, False, True, False], 32, False, [True, False, False, True], 3736, 'East', (11, 13))
Element 35: (1, (11, 13), ['', '%', '%', '.'], [(18, 6), (13, 8), (17, 7)], [False, True, True, False], 30, False, [False, False, False, True], 3755, 'East', (12, 13))
Element 36: (1, (12, 13), ['', '%', '%', ''], [(18, 7), (13, 7), (16, 7)], [False, True, True, False], 28, False, [False, False, False, False], 3774, 'West', (11, 13))
Element 37: (1, (11, 13), ['', '%', '%', ''], [(18, 8), (12, 7), (16, 8)], [False, True, True, False], 26, False, [False, False, False, False], 3783, 'West', (10, 13))
Element 38: (1, (10, 13), ['.', '', '%', ''], [(17, 8), (12, 8), (16, 9)], [False, False, True, False], 24, False, [True, False, False, False], 3792, 'West', (9, 13))
Element 39: (1, (9, 13), ['.', '.', '%', ''], [(17, 7), (12, 9), (16, 10)], [False, False, True, False], 22, False, [True, True, False, False], 3801, 'South', (9, 12))
Element 40: (1, (9, 12), ['.', '.', '', ''], [(17, 8), (13, 9), (16, 11)], [False, False, False, False], 20, False, [True, True, False, False], 3810, 'South', (9, 11))
Element 41: (1, (9, 11), ['.', '.', '', ''], [(16, 8), (14, 9), (16, 12)], [False, False, False, False], 18, False, [True, True, False, False], 3819, 'South', (9, 10))
Element 42: (1, (9, 10), ['.', '.', '', ''], [(16, 9), (14, 10), (17, 12)], [False, False, False, False], 16, False, [True, True, False, False], 3828, 'South', (9, 9))
Element 43: (1, (9, 9), ['F', '%', '', '.'], [(16, 10), (14, 11), (17, 13)], [False, True, False, False], 14, False, [False, False, False, True], 3837, 'West', (8, 9))
Element 44: (1, (8, 9), ['.', '.', '.', ''], [(16, 11), (14, 12), (18, 13)], [False, False, False, False], 12, False, [True, True, True, False], 4836, 'North', (8, 10))
Element 45: (1, (8, 10), ['.', '', '.', ''], [(16, 12), (14, 13), (17, 13)], [False, False, False, False], 10, False, [True, False, True, False], 4845, 'North', (8, 11))
Element 46: (1, (8, 11), ['.', '', '.', ''], [(17, 12), (13, 13), (16, 13)], [False, False, False, False], 8, False, [True, False, True, False], 4854, 'North', (8, 12))
Element 47: (1, (8, 12), ['.', '', '.', ''], [(17, 13), (13, 12), (15, 13)], [False, False, False, False], 6, False, [True, False, True, False], 4863, 'North', (8, 13))
Element 48: (1, (8, 13), ['.', '', '%', ''], [(18, 13), (13, 11), (15, 12)], [False, False, True, False], 4, False, [True, False, False, False], 4872, 'West', (7, 13))
Element 49: (1, (7, 13), ['.', '.', '%', ''], [(17, 13), (13, 10), (15, 11)], [False, False, True, False], 2, False, [True, True, False, False], 4881, 'South', (7, 12))
Element 50: (1, (7, 12), ['.', '.', '', ''], [(17, 13), (12, 10), (15, 10)], [False, False, False, False], 0, False, [True, True, False, False], 4890, 'Stop', (7, 12))
Element 51: #0#
