Element 1: (2, (8, 12), ['.', '.', '.', '.'], [(6, 10), (3, 4), (10, 9)], [False, False, False, False], 98, False, [True, True, True, True], 19, 'East', (9, 12))
Element 2: (2, (9, 12), ['', '.', '.', '.'], [(7, 10), (4, 4), (11, 9)], [False, False, False, False], 96, False, [False, True, True, True], 58, 'East', (10, 12))
Element 3: (2, (10, 12), ['', '.', '.', '%'], [(8, 10), (5, 4), (12, 9)], [False, False, False, True], 94, False, [False, True, True, False], 97, 'North', (10, 13))
Element 4: (2, (10, 13), ['.', '', '%', '.'], [(8, 9), (6, 4), (13, 9)], [False, False, True, False], 92, False, [True, False, False, True], 1126, 'East', (11, 13))
Element 5: (2, (11, 13), ['', '%', '%', '.'], [(9, 9), (7, 4), (14, 9)], [False, True, True, False], 90, False, [False, False, False, True], 1165, 'East', (12, 13))
Element 6: (2, (12, 13), ['', '%', '%', '.'], [(9, 10), (8, 4), (15, 9)], [False, True, True, False], 88, False, [False, False, False, True], 1204, 'East', (13, 13))
Element 7: (2, (13, 13), ['', '.', '%', '.'], [(10, 10), (9, 4), (16, 9)], [False, False, True, False], 86, False, [False, True, False, True], 2233, 'East', (14, 13))
Element 8: (2, (14, 13), ['', '.', '%', '.'], [(11, 10), (9, 5), (16, 10)], [False, False, True, False], 84, False, [False, True, False, True], 2272, 'East', (15, 13))
Element 9: (2, (15, 13), ['', '.', '%', '.'], [(12, 10), (10, 5), (16, 11)], [False, False, True, False], 82, False, [False, True, False, True], 2311, 'East', (16, 13))
Element 10: (2, (16, 13), ['', 'G', '%', '.'], [(13, 10), (11, 5), (16, 12)], [False, False, True, False], 80, False, [False, False, False, True], 3340, 'East', (17, 13))
Element 11: (2, (17, 13), ['', 'G', '%', '.'], [(14, 10), (12, 5), (17, 12)], [False, False, True, False], 78, False, [False, False, False, True], 3379, 'East', (18, 13))
Element 12: (2, (18, 13), ['G', '%', '%', '%'], [(15, 10), (13, 5), (17, 13)], [False, True, True, True], 76, False, [False, False, False, False], 3408, 'Stop', (18, 13))
Element 13: (2, (18, 13), ['', '%', '%', '%'], [(15, 11), (14, 5), (16, 13)], [False, True, True, True], 74, False, [False, False, False, False], 3427, 'West', (17, 13))
Element 14: (2, (17, 13), ['', '', '%', ''], [(15, 12), (15, 5), (15, 13)], [False, False, True, False], 72, False, [False, False, False, False], 3446, 'West', (16, 13))
Element 15: (2, (16, 13), ['', '', '%', ''], [(14, 12), (15, 6), (14, 13)], [False, False, True, False], 70, False, [False, False, False, False], 3465, 'South', (16, 12))
Element 16: (2, (16, 12), ['', '', '', ''], [(14, 11), (16, 6), (13, 13)], [False, False, False, False], 68, False, [False, False, False, False], 3484, 'East', (17, 12))
Element 17: (2, (17, 12), ['', '%', '', '%'], [(13, 11), (17, 6), (13, 12)], [False, True, False, True], 66, False, [False, False, False, False], 3513, 'West', (16, 12))
Element 18: (2, (16, 12), ['', '', '', ''], [(12, 11), (18, 6), (14, 12)], [False, False, False, False], 64, False, [False, False, False, False], 3532, 'South', (16, 11))
Element 19: (2, (16, 11), ['', '', '', '%'], [(11, 11), (18, 7), (15, 12)], [False, False, False, True], 62, False, [False, False, False, False], 3551, 'South', (16, 10))
Element 20: (2, (16, 10), ['', '', '', '%'], [(10, 11), (18, 8), (15, 11)], [False, False, False, True], 60, False, [False, False, False, False], 3570, 'South', (16, 9))
