Element 1: (2, (11, 4), ['%', '.', 'F', '.'], [(14, 11), (11, 6), (15, 12)], [True, False, False, False], 98, False, [False, True, False, True], 19, 'North', (11, 5))
Element 2: (2, (11, 5), ['.', '', '', '.'], [(15, 11), (12, 6), (16, 12)], [False, False, False, False], 96, False, [True, False, False, True], 1048, 'East', (12, 5))
Element 3: (2, (12, 5), ['', '.', '', '.'], [(16, 11), (12, 7), (17, 12)], [False, False, False, False], 94, False, [False, True, False, True], 1087, 'East', (13, 5))
Element 4: (2, (13, 5), ['', '.', '%', '.'], [(16, 10), (13, 7), (17, 13)], [False, False, True, False], 92, False, [False, True, False, True], 1126, 'East', (14, 5))
Element 5: (2, (14, 5), ['', '.', '.', '.'], [(16, 9), (14, 7), (18, 13)], [False, False, False, False], 90, False, [False, True, True, True], 2155, 'East', (15, 5))
Element 6: (2, (15, 5), ['', '.', '.', '%'], [(16, 8), (14, 8), (17, 13)], [False, False, False, True], 88, False, [False, True, True, False], 2184, 'North', (15, 6))
Element 7: (2, (15, 6), ['.', '', '%', '.'], [(17, 8), (15, 8), (16, 13)], [False, False, True, False], 86, False, [True, False, False, True], 2223, 'East', (16, 6))
Element 8: (2, (16, 6), ['', '%', '.', '.'], [(18, 8), (15, 9), (15, 13)], [False, True, False, False], 84, False, [False, False, True, True], 2262, 'East', (17, 6))
Element 9: (2, (17, 6), ['', '%', '.', '.'], [(18, 7), (15, 10), (14, 13)], [False, True, False, False], 82, False, [False, False, True, True], 2301, 'East', (18, 6))
Element 10: (2, (18, 6), ['', '%', '', '%'], [(17, 7), (14, 10), (14, 12)], [False, True, False, True], 80, False, [False, False, False, False], 2340, 'North', (18, 7))
Element 11: (2, (18, 7), ['', '', '', '%'], [(16, 7), (14, 9), (13, 12)], [False, False, False, True], 78, False, [False, False, False, False], 2369, 'North', (18, 8))
Element 12: (2, (18, 8), ['', '', '%', '%'], [(16, 6), (13, 9), (13, 13)], [False, False, True, True], 76, False, [False, False, False, False], 2388, 'West', (17, 8))
Element 13: (2, (17, 8), ['', '', '%', ''], [(17, 6), (13, 10), (12, 13)], [False, False, True, False], 74, False, [False, False, False, False], 2407, 'South', (17, 7))
Element 14: (2, (17, 7), ['', '', '', ''], [(18, 6), (12, 10), (11, 13)], [False, False, False, False], 72, False, [False, False, False, False], 2426, 'West', (16, 7))
Element 15: (2, (16, 7), ['%', '', '', ''], [(17, 6), (12, 11), (10, 13)], [True, False, False, False], 70, False, [False, False, False, False], 2445, 'North', (16, 8))
Element 16: (2, (16, 8), ['', '', '', ''], [(16, 6), (11, 11), (10, 12)], [False, False, False, False], 68, False, [False, False, False, False], 2464, 'North', (16, 9))
Element 17: (2, (16, 9), ['', '', '', '%'], [(15, 6), (11, 10), (10, 11)], [False, False, False, True], 66, False, [False, False, False, False], 2483, 'North', (16, 10))
Element 18: (2, (16, 10), ['', '', '', '%'], [(14, 6), (11, 9), (10, 10)], [False, False, False, True], 64, False, [False, False, False, False], 2512, 'North', (16, 11))
Element 19: (2, (16, 11), ['', '', '', '%'], [(14, 7), (12, 9), (10, 9)], [False, False, False, True], 62, False, [False, False, False, False], 2531, 'North', (16, 12))
Element 20: (2, (16, 12), ['', '', '', ''], [(14, 8), (12, 8), (9, 9)], [False, False, False, False], 60, False, [False, False, False, False], 2550, 'East', (17, 12))
Element 21: (2, (17, 12), ['', '%', '', '%'], [(13, 8), (12, 9), (8, 9)], [False, True, False, True], 58, False, [False, False, False, False], 3559, 'North', (17, 13))
Element 22: (2, (17, 13), ['', '', '%', ''], [(13, 9), (11, 9), (8, 10)], [False, False, True, False], 56, False, [False, False, False, False], 3568, 'East', (18, 13))
Element 23: (2, (18, 13), ['', '%', '%', '%'], [(14, 9), (11, 10), (9, 10)], [False, True, True, True], 54, False, [False, False, False, False], 3577, 'West', (17, 13))
Element 24: (2, (17, 13), ['', '', '%', ''], [(15, 9), (11, 11), (9, 11)], [False, False, True, False], 52, False, [False, False, False, False], 3586, 'West', (16, 13))
Element 25: (2, (16, 13), ['', '', '%', ''], [(15, 10), (12, 11), (9, 12)], [False, False, True, False], 50, False, [False, False, False, False], 3595, 'West', (15, 13))
Element 26: (2, (15, 13), ['', '', '%', ''], [(14, 10), (13, 11), (9, 13)], [False, False, True, False], 48, False, [False, False, False, False], 3604, 'South', (15, 12))
Element 27: (2, (15, 12), ['', '', '', ''], [(13, 10), (14, 11), (8, 13)], [False, False, False, False], 46, False, [False, False, False, False], 3613, 'South', (15, 11))
Element 28: (2, (15, 11), ['', '', '', ''], [(12, 10), (14, 12), (8, 12)], [False, False, False, False], 44, False, [False, False, False, False], 3622, 'South', (15, 10))
Element 29: (2, (15, 10), ['', '', '', ''], [(12, 11), (15, 12), (8, 11)], [False, False, False, False], 42, False, [False, False, False, False], 3631, 'South', (15, 9))
Element 30: (2, (15, 9), ['', '', '', ''], [(11, 11), (16, 12), (7, 11)], [False, False, False, False], 40, False, [False, False, False, False], 3640, 'South', (15, 8))
Element 31: (2, (15, 8), ['', '%', '', ''], [(11, 10), (17, 12), (7, 12)], [False, True, False, False], 38, False, [False, False, False, False], 3649, 'West', (14, 8))
Element 32: (2, (14, 8), ['', '', '', ''], [(11, 9), (17, 13), (7, 13)], [False, False, False, False], 36, False, [False, False, False, False], 3658, 'North', (14, 9))
Element 33: (2, (14, 9), ['', '', '', ''], [(12, 9), (18, 13), (6, 13)], [False, False, False, False], 34, False, [False, False, False, False], 3667, 'North', (14, 10))
Element 34: (2, (14, 10), ['', '', '', ''], [(12, 8), (17, 13), (6, 12)], [False, False, False, False], 32, False, [False, False, False, False], 3676, 'North', (14, 11))
Element 35: (2, (14, 11), ['', '', '', ''], [(12, 7), (16, 13), (6, 11)], [False, False, False, False], 30, False, [False, False, False, False], 3685, 'North', (14, 12))
Element 36: (2, (14, 12), ['', '', '', ''], [(11, 7), (15, 13), (6, 10)], [False, False, False, False], 28, False, [False, False, False, False], 3704, 'North', (14, 13))
Element 37: (2, (14, 13), ['', '', '%', ''], [(11, 6), (16, 13), (7, 10)], [False, False, True, False], 26, False, [False, False, False, False], 3713, 'West', (13, 13))
Element 38: (2, (13, 13), ['', '', '%', ''], [(12, 6), (17, 13), (7, 9)], [False, False, True, False], 24, False, [False, False, False, False], 3722, 'South', (13, 12))
Element 39: (2, (13, 12), ['%', '', '', ''], [(12, 5), (17, 12), (7, 8)], [True, False, False, False], 22, False, [False, False, False, False], 3731, 'South', (13, 11))
Element 40: (2, (13, 11), ['', '', '', ''], [(12, 4), (16, 12), (8, 8)], [False, False, False, False], 20, False, [False, False, False, False], 3750, 'South', (13, 10))
Element 41: (2, (13, 10), ['', '', '', ''], [(13, 4), (16, 13), (7, 8)], [False, False, False, False], 18, False, [False, False, False, False], 3759, 'South', (13, 9))
Element 42: (2, (13, 9), ['', '', '', ''], [(14, 4), (16, 12), (6, 8)], [False, False, False, False], 16, False, [False, False, False, False], 3778, 'South', (13, 8))
Element 43: (2, (13, 8), ['', '', '', ''], [(15, 4), (16, 11), (6, 9)], [False, False, False, False], 14, False, [False, False, False, False], 3797, 'South', (13, 7))
Element 44: (2, (13, 7), ['', '%', '', ''], [(15, 3), (16, 10), (5, 9)], [False, True, False, False], 12, False, [False, False, False, False], 3816, 'East', (14, 7))
Element 45: (2, (14, 7), ['', '', '', '%'], [(16, 3), (16, 9), (5, 10)], [False, False, False, True], 10, False, [False, False, False, False], 3835, 'South', (14, 6))
Element 46: (2, (14, 6), ['%', '', '', ''], [(16, 2), (16, 8), (5, 11)], [True, False, False, False], 8, False, [False, False, False, False], 4844, 'North', (14, 7))
Element 47: (2, (14, 7), ['', '', '', '%'], [(16, 1), (17, 8), (5, 12)], [False, False, False, True], 6, False, [False, False, False, False], 4863, 'West', (13, 7))
Element 48: (2, (13, 7), ['', '%', '', ''], [(17, 1), (18, 8), (5, 13)], [False, True, False, False], 4, False, [False, False, False, False], 4882, 'West', (12, 7))
Element 49: (2, (12, 7), ['', '', '', ''], [(16, 1), (18, 7), (4, 13)], [False, False, False, False], 2, False, [False, False, False, False], 4891, 'North', (12, 8))
Element 50: (2, (12, 8), ['%', '', '', ''], [(16, 1), (18, 7), (4, 12)], [True, False, False, False], 0, False, [False, False, False, False], 4900, 'Stop', (12, 8))
Element 51: #0#
