Element 1: (3, (13, 9), ['.', '', '.', '.'], [(11, 11), (6, 2), (14, 8)], [False, False, False, False], 98, False, [True, False, True, True], 29, 'East', (14, 9))
Element 2: (3, (14, 9), ['', '', '.', '.'], [(12, 11), (7, 2), (15, 8)], [False, False, False, False], 96, False, [False, False, True, True], 68, 'East', (15, 9))
Element 3: (3, (15, 9), ['', '', '.', 'F'], [(13, 11), (8, 2), (16, 8)], [False, False, False, False], 94, False, [False, False, True, False], 107, 'East', (16, 9))
Element 4: (3, (16, 9), ['', '', '.', '%'], [(14, 11), (8, 3), (17, 8)], [False, False, False, True], 92, False, [False, False, True, False], 1136, 'North', (16, 10))
Element 5: (3, (16, 10), ['.', '', '.', '%'], [(15, 11), (9, 3), (18, 8)], [False, False, False, True], 90, False, [True, False, True, False], 1175, 'North', (16, 11))
Element 6: (3, (16, 11), ['', '', '.', '%'], [(15, 12), (10, 3), (18, 7)], [False, False, False, True], 88, False, [False, False, True, False], 1214, 'North', (16, 12))
Element 7: (3, (16, 12), ['', '', '.', '.'], [(15, 13), (11, 3), (18, 6)], [False, False, False, False], 86, False, [False, False, True, True], 1253, 'East', (17, 12))
Element 8: (3, (17, 12), ['', '%', '.', '%'], [(16, 13), (12, 3), (17, 6)], [False, True, False, True], 84, False, [False, False, True, False], 1292, 'North', (17, 13))
Element 9: (3, (17, 13), ['', '', '%', '.'], [(16, 12), (13, 3), (17, 7)], [False, False, True, False], 82, False, [False, False, False, True], 1321, 'East', (18, 13))
Element 10: (3, (18, 13), ['', '%', '%', '%'], [(17, 12), (13, 4), (16, 7)], [False, True, True, True], 80, False, [False, False, False, False], 1350, 'West', (17, 13))
Element 11: (3, (17, 13), ['', '', '%', ''], [(16, 12), (14, 4), (16, 6)], [False, False, True, False], 78, False, [False, False, False, False], 1369, 'West', (16, 13))
Element 12: (3, (16, 13), ['', '', '%', ''], [(16, 11), (15, 4), (15, 6)], [False, False, True, False], 76, False, [False, False, False, False], 1388, 'West', (15, 13))
Element 13: (3, (15, 13), ['.', '', '%', ''], [(16, 10), (15, 5), (14, 6)], [False, False, True, False], 74, False, [True, False, False, False], 1407, 'West', (14, 13))
Element 14: (3, (14, 13), ['.', '.', '%', ''], [(15, 10), (14, 5), (14, 7)], [False, False, True, False], 72, False, [True, True, False, False], 1446, 'South', (14, 12))
Element 15: (3, (14, 12), ['.', '', '', ''], [(14, 10), (13, 5), (13, 7)], [False, False, False, False], 70, False, [True, False, False, False], 1485, 'West', (13, 12))
Element 16: (3, (13, 12), ['%', '', '.', ''], [(13, 10), (12, 5), (12, 7)], [True, False, False, False], 68, False, [False, False, True, False], 1524, 'North', (13, 13))
Element 17: (3, (13, 13), ['.', '', '%', ''], [(12, 10), (11, 5), (12, 8)], [False, False, True, False], 66, False, [True, False, False, False], 2553, 'West', (12, 13))
Element 18: (3, (12, 13), ['.', '%', '%', ''], [(12, 9), (11, 6), (12, 7)], [False, True, True, False], 64, False, [True, False, False, False], 2582, 'West', (11, 13))
Element 19: (3, (11, 13), ['.', '%', '%', ''], [(11, 9), (12, 6), (12, 8)], [False, True, True, False], 62, False, [True, False, False, False], 2611, 'West', (10, 13))
Element 20: (3, (10, 13), ['.', '.', '%', ''], [(11, 10), (12, 7), (12, 9)], [False, False, True, False], 60, False, [True, True, False, False], 2630, 'South', (10, 12))
Element 21: (3, (10, 12), ['.', '', '', '%'], [(10, 10), (11, 7), (13, 9)], [False, False, False, True], 58, False, [True, False, False, False], 2659, 'West', (9, 12))
Element 22: (3, (9, 12), ['.', '.', '.', ''], [(10, 9), (12, 7), (14, 9)], [False, False, False, False], 56, False, [True, True, True, False], 2678, 'North', (9, 13))
Element 23: (3, (9, 13), ['.', '', '%', ''], [(9, 9), (13, 7), (15, 9)], [False, False, True, False], 54, False, [True, False, False, False], 2697, 'West', (8, 13))
Element 24: (3, (8, 13), ['.', '.', '%', ''], [(8, 9), (14, 7), (16, 9)], [False, False, True, False], 52, False, [True, True, False, False], 3706, 'South', (8, 12))
Element 25: (3, (8, 12), ['.', '.', '', ''], [(8, 10), (14, 8), (16, 10)], [False, False, False, False], 50, False, [True, True, False, False], 3725, 'South', (8, 11))
Element 26: (3, (8, 11), ['.', '', '', '.'], [(9, 10), (15, 8), (16, 11)], [False, False, False, False], 48, False, [True, False, False, True], 3744, 'East', (9, 11))
Element 27: (3, (9, 11), ['', '', '', ''], [(8, 10), (16, 8), (16, 12)], [False, False, False, False], 46, False, [False, False, False, False], 3753, 'East', (10, 11))
Element 28: (3, (10, 11), ['', '', '', ''], [(7, 10), (17, 8), (17, 12)], [False, False, False, False], 44, False, [False, False, False, False], 3762, 'East', (11, 11))
Element 29: (3, (11, 11), ['', '', '%', ''], [(7, 11), (18, 8), (17, 13)], [False, False, True, False], 42, False, [False, False, False, False], 3771, 'East', (12, 11))
Element 30: (3, (12, 11), ['', '', '%', ''], [(7, 12), (18, 7), (18, 13)], [False, False, True, False], 40, False, [False, False, False, False], 3780, 'East', (13, 11))
Element 31: (3, (13, 11), ['', '', '', ''], [(7, 13), (18, 6), (17, 13)], [False, False, False, False], 38, False, [False, False, False, False], 3789, 'East', (14, 11))
Element 32: (3, (14, 11), ['', '', '', ''], [(6, 13), (17, 6), (16, 13)], [False, False, False, False], 36, False, [False, False, False, False], 3798, 'East', (15, 11))
Element 33: (3, (15, 11), ['', '', '', ''], [(6, 12), (17, 7), (15, 13)], [False, False, False, False], 34, False, [False, False, False, False], 3807, 'North', (15, 12))
Element 34: (3, (15, 12), ['', '', '', ''], [(6, 11), (16, 7), (14, 13)], [False, False, False, False], 32, False, [False, False, False, False], 3816, 'South', (15, 11))
Element 35: (3, (15, 11), ['', '', '', ''], [(6, 10), (16, 6), (14, 12)], [False, False, False, False], 30, False, [False, False, False, False], 3825, 'South', (15, 10))
Element 36: (3, (15, 10), ['', '', '', ''], [(6, 9), (15, 6), (15, 12)], [False, False, False, False], 28, False, [False, False, False, False], 3834, 'West', (14, 10))
Element 37: (3, (14, 10), ['', '', '', ''], [(7, 9), (14, 6), (15, 11)], [False, False, False, False], 26, False, [False, False, False, False], 3843, 'West', (13, 10))
Element 38: (3, (13, 10), ['', '', '', ''], [(7, 8), (15, 6), (15, 10)], [False, False, False, False], 24, False, [False, False, False, False], 3852, 'West', (12, 10))
Element 39: (3, (12, 10), ['', '', '', ''], [(8, 8), (16, 6), (14, 10)], [False, False, False, False], 22, False, [False, False, False, False], 3861, 'South', (12, 9))
Element 40: (3, (12, 9), ['', '', '', ''], [(7, 8), (16, 7), (14, 11)], [False, False, False, False], 20, False, [False, False, False, False], 3860, 'South', (12, 8))
Element 41: (3, (12, 8), ['%', '', '', ''], [(6, 8), (17, 7), (13, 11)], [True, False, False, False], 18, False, [False, False, False, False], 3869, 'East', (13, 8))
Element 42: (3, (13, 8), ['', '', '', ''], [(5, 8), (17, 6), (13, 12)], [False, False, False, False], 16, False, [False, False, False, False], 3878, 'East', (14, 8))
Element 43: (3, (14, 8), ['', '', '', ''], [(5, 9), (16, 6), (13, 13)], [False, False, False, False], 14, False, [False, False, False, False], 3887, 'East', (15, 8))
Element 44: (3, (15, 8), ['', '%', '', ''], [(5, 10), (17, 6), (12, 13)], [False, True, False, False], 12, False, [False, False, False, False], 3896, 'East', (16, 8))
Element 45: (3, (16, 8), ['', '', '', ''], [(5, 11), (18, 6), (11, 13)], [False, False, False, False], 10, False, [False, False, False, False], 3905, 'East', (17, 8))
Element 46: (3, (17, 8), ['', '', '%', ''], [(5, 12), (18, 7), (10, 13)], [False, False, True, False], 8, False, [False, False, False, False], 3914, 'East', (18, 8))
Element 47: (3, (18, 8), ['', '', '%', '%'], [(5, 13), (17, 7), (10, 12)], [False, False, True, True], 6, False, [False, False, False, False], 3923, 'South', (18, 7))
Element 48: (3, (18, 7), ['', '', '', '%'], [(4, 13), (16, 7), (10, 11)], [False, False, False, True], 4, False, [False, False, False, False], 3932, 'South', (18, 6))
Element 49: (3, (18, 6), ['', '%', '', '%'], [(4, 12), (16, 8), (11, 11)], [False, True, False, True], 2, False, [False, False, False, False], 3941, 'West', (17, 6))
Element 50: (3, (17, 6), ['', '%', '', ''], [(4, 12), (16, 8), (11, 11)], [False, True, False, False], 0, False, [False, False, False, False], 3940, 'Stop', (17, 6))
Element 51: #0#
