Element 1: (2, (13, 8), ['', '.', '.', '.'], [(11, 9), (12, 9), (14, 6)], [False, False, False, False], 98, False, [False, True, True, True], 19, 'East', (14, 8))
Element 2: (2, (14, 8), ['', '.', '.', '.'], [(11, 10), (13, 9), (15, 6)], [False, False, False, False], 96, False, [False, True, True, True], 58, 'East', (15, 8))
Element 3: (2, (15, 8), ['', '%', '.', '.'], [(12, 10), (14, 9), (16, 6)], [False, True, False, False], 94, False, [False, False, True, True], 97, 'East', (16, 8))
Element 4: (2, (16, 8), ['', '.', 'F', '.'], [(13, 10), (15, 9), (17, 6)], [False, False, False, False], 92, False, [False, True, False, True], 136, 'North', (16, 9))
Element 5: (2, (16, 9), ['', '', '.', '%'], [(14, 10), (15, 10), (18, 6)], [False, False, False, True], 90, False, [False, False, True, False], 1165, 'North', (16, 10))
Element 6: (2, (16, 10), ['', '', '.', '%'], [(14, 11), (15, 11), (18, 7)], [False, False, False, True], 88, False, [False, False, True, False], 1204, 'North', (16, 11))
Element 7: (2, (16, 11), ['', '', '.', '%'], [(14, 12), (15, 12), (18, 8)], [False, False, False, True], 86, False, [False, False, True, False], 1243, 'North', (16, 12))
Element 8: (2, (16, 12), ['', '', '.', '.'], [(14, 13), (15, 13), (17, 8)], [False, False, False, False], 84, False, [False, False, True, True], 1282, 'East', (17, 12))
Element 9: (2, (17, 12), ['', '%', '.', '%'], [(13, 13), (16, 13), (17, 7)], [False, True, False, True], 82, False, [False, False, True, False], 1321, 'North', (17, 13))
Element 10: (2, (17, 13), ['', '', '%', '.'], [(13, 12), (16, 12), (16, 7)], [False, False, True, False], 80, False, [False, False, False, True], 1350, 'East', (18, 13))
Element 11: (2, (18, 13), ['', '%', '%', '%'], [(13, 11), (17, 12), (16, 8)], [False, True, True, True], 78, False, [False, False, False, False], 1369, 'West', (17, 13))
Element 12: (2, (17, 13), ['', '', '%', ''], [(12, 11), (16, 12), (16, 9)], [False, False, True, False], 76, False, [False, False, False, False], 1378, 'West', (16, 13))
Element 13: (2, (16, 13), ['', '', '%', ''], [(11, 11), (16, 11), (16, 10)], [False, False, True, False], 74, False, [False, False, False, False], 1387, 'West', (15, 13))
Element 14: (2, (15, 13), ['', '', '%', ''], [(10, 11), (16, 10), (15, 10)], [False, False, True, False], 72, False, [False, False, False, False], 1396, 'South', (15, 12))
Element 15: (2, (15, 12), ['', 'G', '', ''], [(10, 12), (16, 9), (15, 11)], [False, False, False, False], 70, False, [False, False, False, False], 1405, 'West', (14, 12))
Element 16: (2, (14, 12), ['', '', '', ''], [(10, 13), (16, 8), (16, 11)], [False, False, False, False], 68, False, [False, False, False, False], 1414, 'North', (14, 13))
Element 17: (2, (14, 13), ['', '', '%', ''], [(11, 13), (17, 8), (16, 12)], [False, False, True, False], 66, False, [False, False, False, False], 1423, 'West', (13, 13))
Element 18: (2, (13, 13), ['G', '', '%', ''], [(12, 13), (18, 8), (17, 12)], [False, False, True, False], 64, False, [False, False, False, False], 1432, 'South', (13, 12))
Element 19: (2, (13, 12), ['%', '', '', ''], [(11, 13), (18, 7), (17, 13)], [True, False, False, False], 62, False, [False, False, False, False], 1431, 'South', (13, 11))
Element 20: (2, (13, 11), ['', '', '', ''], [(10, 13), (18, 6), (18, 13)], [False, False, False, False], 60, False, [False, False, False, False], 1430, 'East', (14, 11))
Element 21: (2, (14, 11), ['', '', '', ''], [(9, 13), (17, 6), (17, 13)], [False, False, False, False], 58, False, [False, False, False, False], 1439, 'East', (15, 11))
Element 22: (2, (15, 11), ['', '', '', ''], [(9, 12), (17, 7), (16, 13)], [False, False, False, False], 56, False, [False, False, False, False], 1448, 'South', (15, 10))
Element 23: (2, (15, 10), ['', '', '', ''], [(9, 11), (16, 7), (15, 13)], [False, False, False, False], 54, False, [False, False, False, False], 1457, 'South', (15, 9))
Element 24: (2, (15, 9), ['', '', '', ''], [(9, 10), (16, 6), (15, 12)], [False, False, False, False], 52, False, [False, False, False, False], 1466, 'West', (14, 9))
Element 25: (2, (14, 9), ['', '', '', ''], [(10, 10), (15, 6), (14, 12)], [False, False, False, False], 50, False, [False, False, False, False], 1475, 'North', (14, 10))
Element 26: (2, (14, 10), ['', '', '', ''], [(9, 10), (15, 5), (14, 13)], [False, False, False, False], 48, False, [False, False, False, False], 1484, 'West', (13, 10))
Element 27: (2, (13, 10), ['', '', '', ''], [(9, 9), (15, 4), (13, 13)], [False, False, False, False], 46, False, [False, False, False, False], 1503, 'South', (13, 9))
Element 28: (2, (13, 9), ['', '', '', ''], [(8, 9), (15, 3), (13, 12)], [False, False, False, False], 44, False, [False, False, False, False], 2512, 'West', (12, 9))
Element 29: (2, (12, 9), ['', '', '', ''], [(8, 10), (16, 3), (13, 11)], [False, False, False, False], 42, False, [False, False, False, False], 2531, 'North', (12, 10))
Element 30: (2, (12, 10), ['', '', '', ''], [(8, 11), (16, 2), (14, 11)], [False, False, False, False], 40, False, [False, False, False, False], 3540, 'North', (12, 11))
Element 31: (2, (12, 11), ['', '', '%', ''], [(8, 12), (16, 1), (14, 10)], [False, False, True, False], 38, False, [False, False, False, False], 3559, 'West', (11, 11))
Element 32: (2, (11, 11), ['', '', '%', ''], [(8, 13), (17, 1), (14, 9)], [False, False, True, False], 36, False, [False, False, False, False], 3578, 'South', (11, 10))
Element 33: (2, (11, 10), ['', '', '', ''], [(7, 13), (16, 1), (15, 9)], [False, False, False, False], 34, False, [False, False, False, False], 3587, 'South', (11, 9))
Element 34: (2, (11, 9), ['', '%', '', ''], [(7, 12), (15, 1), (15, 8)], [False, True, False, False], 32, False, [False, False, False, False], 3606, 'West', (10, 9))
Element 35: (2, (10, 9), ['', '%', '', ''], [(7, 11), (14, 1), (14, 8)], [False, True, False, False], 30, False, [False, False, False, False], 3625, 'North', (10, 10))
Element 36: (2, (10, 10), ['', '', '', ''], [(7, 10), (13, 1), (14, 7)], [False, False, False, False], 28, False, [False, False, False, False], 3654, 'North', (10, 11))
Element 37: (2, (10, 11), ['', '', '', ''], [(7, 9), (12, 1), (13, 7)], [False, False, False, False], 26, False, [False, False, False, False], 3683, 'North', (10, 12))
Element 38: (2, (10, 12), ['', '', '', '%'], [(7, 8), (11, 1), (12, 7)], [False, False, False, True], 24, False, [False, False, False, False], 3712, 'North', (10, 13))
Element 39: (2, (10, 13), ['', '', '%', ''], [(8, 8), (10, 1), (12, 6)], [False, False, True, False], 22, False, [False, False, False, False], 3741, 'East', (11, 13))
Element 40: (2, (11, 13), ['', '%', '%', ''], [(7, 8), (9, 1), (12, 5)], [False, True, True, False], 20, False, [False, False, False, False], 3760, 'East', (12, 13))
Element 41: (2, (12, 13), ['', '%', '%', ''], [(6, 8), (8, 1), (11, 5)], [False, True, True, False], 18, False, [False, False, False, False], 4779, 'West', (11, 13))
Element 42: (2, (11, 13), ['', '%', '%', ''], [(6, 9), (8, 2), (11, 6)], [False, True, True, False], 16, False, [False, False, False, False], 4808, 'West', (10, 13))
Element 43: (2, (10, 13), ['', '', '%', ''], [(6, 10), (8, 3), (11, 7)], [False, False, True, False], 14, False, [False, False, False, False], 4837, 'West', (9, 13))
Element 44: (2, (9, 13), ['', '', '%', ''], [(6, 11), (9, 3), (11, 6)], [False, False, True, False], 12, False, [False, False, False, False], 4856, 'South', (9, 12))
Element 45: (2, (9, 12), ['', '', '', ''], [(6, 12), (10, 3), (10, 6)], [False, False, False, False], 10, False, [False, False, False, False], 4885, 'South', (9, 11))
Element 46: (2, (9, 11), ['', '', '', ''], [(6, 13), (11, 3), (10, 5)], [False, False, False, False], 8, False, [False, False, False, False], 4914, 'South', (9, 10))
Element 47: (2, (9, 10), ['', '', '', ''], [(5, 13), (12, 3), (9, 5)], [False, False, False, False], 6, False, [False, False, False, False], 4943, 'South', (9, 9))
Element 48: (2, (9, 9), ['', '%', '', ''], [(5, 12), (13, 3), (9, 6)], [False, True, False, False], 4, False, [False, False, False, False], 4972, 'West', (8, 9))
