Element 1: (1, (7, 11), ['.', '.', 'G', '.'], [(7, 12), (13, 12), (14, 10)], [False, False, False, False], 98, False, [True, True, False, True], 9, 'East', (8, 11))
Element 2: (1, (8, 11), ['', '.', 'G', '.'], [(8, 12), (14, 12), (15, 10)], [False, False, False, False], 96, False, [False, True, False, True], 48, 'East', (9, 11))
Element 3: (1, (9, 11), ['', '.', 'G', '.'], [(9, 12), (15, 12), (16, 10)], [False, False, False, False], 94, False, [False, True, False, True], 87, 'East', (10, 11))
Element 4: (1, (10, 11), ['', '.', 'G', '.'], [(10, 12), (16, 12), (16, 9)], [False, False, False, False], 92, False, [False, True, False, True], 1116, 'East', (11, 11))
Element 5: (1, (11, 11), ['', '.', '%', '.'], [(10, 13), (17, 12), (16, 8)], [False, False, True, False], 90, False, [False, True, False, True], 1155, 'East', (12, 11))
Element 6: (1, (12, 11), ['', '.', '%', '.'], [(11, 13), (17, 13), (17, 8)], [False, False, True, False], 88, False, [False, True, False, True], 1194, 'East', (13, 11))
Element 7: (1, (13, 11), ['', '.', '', '.'], [(12, 13), (18, 13), (18, 8)], [False, False, False, False], 86, False, [False, True, False, True], 1233, 'East', (14, 11))
Element 8: (1, (14, 11), ['', '', '', '.'], [(13, 13), (17, 13), (18, 7)], [False, False, False, False], 84, False, [False, False, False, True], 1262, 'East', (15, 11))
Element 9: (1, (15, 11), ['', '', '', '.'], [(14, 13), (16, 13), (18, 6)], [False, False, False, False], 82, False, [False, False, False, True], 1301, 'East', (16, 11))
Element 10: (1, (16, 11), ['', '', '', '%'], [(14, 12), (15, 13), (17, 6)], [False, False, False, True], 80, False, [False, False, False, False], 1330, 'North', (16, 12))
Element 11: (1, (16, 12), ['G', '', '', ''], [(15, 12), (14, 13), (17, 7)], [False, False, False, False], 78, False, [False, False, False, False], 1339, 'East', (17, 12))
Element 12: (1, (17, 12), ['G', '%', '', '%'], [(16, 12), (13, 13), (16, 7)], [False, True, False, True], 76, False, [False, False, False, False], 1348, 'North', (17, 13))
Element 13: (1, (17, 13), ['', 'G', '%', ''], [(17, 12), (12, 13), (16, 6)], [False, False, True, False], 74, False, [False, False, False, False], 1357, 'East', (18, 13))
Element 14: (1, (18, 13), ['G', '%', '%', '%'], [(17, 13), (11, 13), (15, 6)], [False, True, True, True], 72, False, [False, False, False, False], 1366, 'Stop', (18, 13))
Element 15: (1, (18, 13), ['', '%', '%', '%'], [(16, 13), (10, 13), (15, 5)], [False, True, True, True], 70, False, [False, False, False, False], 1375, 'West', (17, 13))
Element 16: (1, (17, 13), ['', '', '%', ''], [(15, 13), (9, 13), (15, 4)], [False, False, True, False], 68, False, [False, False, False, False], 1394, 'Stop', (17, 13))
Element 17: (1, (17, 13), ['G', '', '%', ''], [(16, 13), (8, 13), (15, 3)], [False, False, True, False], 66, False, [False, False, False, False], 1413, 'South', (17, 12))
Element 18: (1, (17, 12), ['', '%', 'G', '%'], [(17, 13), (7, 13), (16, 3)], [False, True, False, True], 64, False, [False, False, False, False], 1432, 'West', (16, 12))
Element 19: (1, (16, 12), ['', '', '', 'G'], [(17, 12), (6, 13), (16, 2)], [False, False, False, False], 62, False, [False, False, False, False], 2441, 'North', (16, 13))
Element 20: (1, (16, 13), ['', 'G', '%', ''], [(16, 12), (5, 13), (16, 1)], [False, False, True, False], 60, False, [False, False, False, False], 2460, 'West', (15, 13))
Element 21: (1, (15, 13), ['', '', '%', 'G'], [(16, 13), (5, 12), (17, 1)], [False, False, True, False], 58, False, [False, False, False, False], 2479, 'South', (15, 12))
Element 22: (1, (15, 12), ['', '', '', 'G'], [(16, 12), (5, 11), (16, 1)], [False, False, False, False], 56, False, [False, False, False, False], 2488, 'West', (14, 12))
