Element 1: (2, (13, 11), ['.', '.', '.', 'G'], [(11, 6), (9, 5), (14, 11)], [False, False, False, False], 98, False, [True, True, True, False], 19, 'North', (13, 12))
Element 2: (2, (13, 12), ['%', '', '.', '.'], [(11, 5), (10, 5), (15, 11)], [True, False, False, False], 96, False, [False, False, True, True], 1048, 'East', (14, 12))
Element 3: (2, (14, 12), ['', '', '.', '.'], [(12, 5), (11, 5), (16, 11)], [False, False, False, False], 94, False, [False, False, True, True], 1077, 'East', (15, 12))
Element 4: (2, (15, 12), ['', '', '.', 'G'], [(13, 5), (11, 4), (16, 12)], [False, False, False, False], 92, False, [False, False, True, False], 1116, 'North', (15, 13))
Element 5: (2, (15, 13), ['.', '', '%', '.'], [(14, 5), (12, 4), (17, 12)], [False, False, True, False], 90, False, [True, False, False, True], 1155, 'East', (16, 13))
Element 6: (2, (16, 13), ['', '', '%', 'G'], [(15, 5), (13, 4), (17, 13)], [False, False, True, False], 88, False, [False, False, False, False], 1194, 'South', (16, 12))
Element 7: (2, (16, 12), ['', '', '', ''], [(15, 6), (14, 4), (18, 13)], [False, False, False, False], 86, False, [False, False, False, False], 1223, 'East', (17, 12))
Element 8: (2, (17, 12), ['', '%', 'G', '%'], [(16, 6), (15, 4), (17, 13)], [False, True, False, True], 84, False, [False, False, False, False], 1242, 'West', (16, 12))
Element 9: (2, (16, 12), ['', '', 'G', ''], [(17, 6), (15, 3), (16, 13)], [False, False, False, False], 82, False, [False, False, False, False], 1261, 'South', (16, 11))
Element 10: (2, (16, 11), ['', '.', '', '%'], [(18, 6), (16, 3), (15, 13)], [False, False, False, True], 80, False, [False, True, False, False], 1280, 'South', (16, 10))
Element 11: (2, (16, 10), ['.', 'F', '', '%'], [(18, 7), (16, 2), (14, 13)], [False, False, False, True], 78, False, [True, False, False, False], 2309, 'South', (16, 9))
Element 12: (2, (16, 9), ['.', '.', '', '%'], [(18, 8), (16, 1), (13, 13)], [False, False, False, True], 76, False, [True, True, False, False], 3338, 'South', (16, 8))
Element 13: (2, (16, 8), ['.', '.', '', 'G'], [(17, 8), (17, 1), (12, 13)], [False, False, False, False], 74, False, [True, True, False, False], 3377, 'South', (16, 7))
Element 14: (2, (16, 7), ['%', '', '', 'G'], [(17, 7), (16, 1), (11, 13)], [True, False, False, False], 72, False, [False, False, False, False], 3406, 'South', (16, 6))
Element 15: (2, (16, 6), ['', '%', 'G', ''], [(16, 7), (15, 1), (10, 13)], [False, True, False, False], 70, False, [False, False, False, False], 3425, 'East', (17, 6))
Element 16: (2, (17, 6), ['', '%', '', ''], [(16, 8), (14, 1), (10, 12)], [False, True, False, False], 68, False, [False, False, False, False], 3444, 'East', (18, 6))
Element 17: (2, (18, 6), ['', '%', '', '%'], [(15, 8), (13, 1), (10, 11)], [False, True, False, True], 66, False, [False, False, False, False], 3473, 'North', (18, 7))
Element 18: (2, (18, 7), ['', '', '', '%'], [(15, 9), (12, 1), (11, 11)], [False, False, False, True], 64, False, [False, False, False, False], 3502, 'North', (18, 8))
Element 19: (2, (18, 8), ['', '', '%', '%'], [(15, 10), (11, 1), (12, 11)], [False, False, True, True], 62, False, [False, False, False, False], 3531, 'West', (17, 8))
Element 20: (2, (17, 8), ['', '', '%', ''], [(14, 10), (10, 1), (12, 10)], [False, False, True, False], 60, False, [False, False, False, False], 3560, 'South', (17, 7))
Element 21: (2, (17, 7), ['', '', '', ''], [(14, 9), (9, 1), (13, 10)], [False, False, False, False], 58, False, [False, False, False, False], 3589, 'North', (17, 8))
Element 22: (2, (17, 8), ['', '', '%', ''], [(14, 8), (8, 1), (13, 9)], [False, False, True, False], 56, False, [False, False, False, False], 3618, 'East', (18, 8))
Element 23: (2, (18, 8), ['', '', '%', '%'], [(14, 7), (8, 2), (13, 8)], [False, False, True, True], 54, False, [False, False, False, False], 3647, 'South', (18, 7))
Element 24: (2, (18, 7), ['', '', '', '%'], [(14, 6), (8, 3), (13, 7)], [False, False, False, True], 52, False, [False, False, False, False], 3676, 'West', (17, 7))
Element 25: (2, (17, 7), ['', '', '', ''], [(14, 7), (9, 3), (12, 7)], [False, False, False, False], 50, False, [False, False, False, False], 3695, 'East', (18, 7))
Element 26: (2, (18, 7), ['', '', '', '%'], [(14, 8), (10, 3), (12, 8)], [False, False, False, True], 48, False, [False, False, False, False], 3714, 'South', (18, 6))
Element 27: (2, (18, 6), ['', '%', '', '%'], [(14, 9), (11, 3), (12, 9)], [False, True, False, True], 46, False, [False, False, False, False], 3733, 'West', (17, 6))
Element 28: (2, (17, 6), ['', '%', '', ''], [(14, 10), (12, 3), (11, 9)], [False, True, False, False], 44, False, [False, False, False, False], 3752, 'North', (17, 7))
Element 29: (2, (17, 7), ['', '', '', ''], [(14, 11), (13, 3), (11, 10)], [False, False, False, False], 42, False, [False, False, False, False], 3771, 'South', (17, 6))
