Element 1: (2, (13, 10), ['G', '.', '.', '.'], [(12, 10), (12, 7), (16, 10)], [False, False, False, False], 98, False, [False, True, True, True], 19, 'East', (14, 10))
Element 2: (2, (14, 10), ['', '.', '.', '.'], [(12, 11), (13, 7), (16, 9)], [False, False, False, False], 96, False, [False, True, True, True], 1048, 'East', (15, 10))
Element 3: (2, (15, 10), ['', '.', '.', ''], [(13, 11), (14, 7), (16, 8)], [False, False, False, False], 94, False, [False, True, True, False], 1087, 'North', (15, 11))
Element 4: (2, (15, 11), ['G', '', '.', '.'], [(14, 11), (14, 8), (17, 8)], [False, False, False, False], 92, False, [False, False, True, True], 1126, 'East', (16, 11))
Element 5: (2, (16, 11), ['', '', '.', '%'], [(14, 12), (15, 8), (18, 8)], [False, False, False, True], 90, False, [False, False, True, False], 1165, 'North', (16, 12))
Element 6: (2, (16, 12), ['G', '', '.', '.'], [(15, 12), (15, 9), (18, 7)], [False, False, False, False], 88, False, [False, False, True, True], 1204, 'East', (17, 12))
Element 7: (2, (17, 12), ['', '%', '.', '%'], [(15, 13), (14, 9), (18, 6)], [False, True, False, True], 86, False, [False, False, True, False], 1243, 'North', (17, 13))
Element 8: (2, (17, 13), ['G', '', '%', '.'], [(16, 13), (13, 9), (17, 6)], [False, False, True, False], 84, False, [False, False, False, True], 1282, 'East', (18, 13))
Element 9: (2, (18, 13), ['G', '%', '%', '%'], [(17, 13), (13, 8), (17, 7)], [False, True, True, True], 82, False, [False, False, False, False], 1311, 'Stop', (18, 13))
Element 10: (2, (18, 13), ['', '%', '%', '%'], [(17, 12), (12, 8), (16, 7)], [False, True, True, True], 80, False, [False, False, False, False], 1330, 'West', (17, 13))
Element 11: (2, (17, 13), ['', '', '%', ''], [(16, 12), (12, 9), (16, 6)], [False, False, True, False], 78, False, [False, False, False, False], 1349, 'West', (16, 13))
Element 12: (2, (16, 13), ['', '', '%', ''], [(16, 11), (11, 9), (15, 6)], [False, False, True, False], 76, False, [False, False, False, False], 1368, 'West', (15, 13))
Element 13: (2, (15, 13), ['.', '', '%', ''], [(16, 10), (10, 9), (15, 5)], [False, False, True, False], 74, False, [True, False, False, False], 1387, 'West', (14, 13))
Element 14: (2, (14, 13), ['.', '', '%', ''], [(16, 9), (10, 10), (15, 4)], [False, False, True, False], 72, False, [True, False, False, False], 1416, 'West', (13, 13))
Element 15: (2, (13, 13), ['.', '.', '%', ''], [(16, 8), (10, 11), (15, 3)], [False, False, True, False], 70, False, [True, True, False, False], 1445, 'South', (13, 12))
Element 16: (2, (13, 12), ['%', '', '', ''], [(17, 8), (11, 11), (16, 3)], [True, False, False, False], 68, False, [False, False, False, False], 1474, 'East', (14, 12))
Element 17: (2, (14, 12), ['', '', '', ''], [(18, 8), (12, 11), (16, 2)], [False, False, False, False], 66, False, [False, False, False, False], 2473, 'East', (15, 12))
Element 18: (2, (15, 12), ['', '', '', ''], [(18, 7), (13, 11), (16, 1)], [False, False, False, False], 64, False, [False, False, False, False], 2482, 'West', (14, 12))
Element 19: (2, (14, 12), ['', 'G', '', ''], [(18, 6), (14, 11), (17, 1)], [False, False, False, False], 62, False, [False, False, False, False], 2491, 'West', (13, 12))
