Element 1: (3, (18, 7), ['.', '.', '.', '%'], [(6, 3), (12, 13), (13, 4)], [False, False, False, True], 98, False, [True, True, True, False], 29, 'North', (18, 8))
Element 2: (3, (18, 8), ['.', '', '%', '%'], [(7, 3), (13, 13), (14, 4)], [False, False, True, True], 96, False, [True, False, False, False], 68, 'West', (17, 8))
Element 3: (3, (17, 8), ['.', '.', '%', ''], [(8, 3), (14, 13), (15, 4)], [False, False, True, False], 94, False, [True, True, False, False], 107, 'South', (17, 7))
Element 4: (3, (17, 7), ['.', '.', '', ''], [(9, 3), (15, 13), (15, 5)], [False, False, False, False], 92, False, [True, True, False, False], 146, 'South', (17, 6))
Element 5: (3, (17, 6), ['.', '%', '', '.'], [(10, 3), (16, 13), (15, 6)], [False, True, False, False], 90, False, [True, False, False, True], 185, 'East', (18, 6))
Element 6: (3, (18, 6), ['', '%', '', '%'], [(11, 3), (17, 13), (16, 6)], [False, True, False, True], 88, False, [False, False, False, False], 224, 'West', (17, 6))
Element 7: (3, (17, 6), ['', '%', '', ''], [(12, 3), (18, 13), (16, 7)], [False, True, False, False], 86, False, [False, False, False, False], 253, 'West', (16, 6))
Element 8: (3, (16, 6), ['', '%', '', ''], [(12, 4), (17, 13), (16, 8)], [False, True, False, False], 84, False, [False, False, False, False], 272, 'North', (16, 7))
Element 9: (3, (16, 7), ['%', '', '', ''], [(12, 5), (17, 12), (16, 9)], [True, False, False, False], 82, False, [False, False, False, False], 1291, 'North', (16, 8))
Element 10: (3, (16, 8), ['.', '', '', ''], [(11, 5), (16, 12), (16, 10)], [False, False, False, False], 80, False, [True, False, False, False], 2310, 'West', (15, 8))
Element 11: (3, (15, 8), ['.', '%', '.', ''], [(11, 6), (16, 11), (15, 10)], [False, True, False, False], 78, False, [True, False, True, False], 2349, 'North', (15, 9))
Element 12: (3, (15, 9), ['.', '', '', ''], [(12, 6), (15, 11), (14, 10)], [False, False, False, False], 76, False, [True, False, False, False], 2388, 'West', (14, 9))
Element 13: (3, (14, 9), ['.', '.', '', ''], [(12, 7), (15, 12), (14, 11)], [False, False, False, False], 74, False, [True, True, False, False], 2427, 'South', (14, 8))
Element 14: (3, (14, 8), ['.', '.', '', ''], [(13, 7), (14, 12), (13, 11)], [False, False, False, False], 72, False, [True, True, False, False], 2466, 'South', (14, 7))
Element 15: (3, (14, 7), ['', '.', '', '%'], [(13, 8), (13, 12), (13, 10)], [False, False, False, True], 70, False, [False, True, False, False], 2505, 'South', (14, 6))
Element 16: (3, (14, 6), ['%', '.', '', ''], [(13, 9), (13, 11), (12, 10)], [True, False, False, False], 68, False, [False, True, False, False], 2534, 'South', (14, 5))
Element 17: (3, (14, 5), ['.', '', '', ''], [(12, 9), (12, 11), (11, 10)], [False, False, False, False], 66, False, [True, False, False, False], 2573, 'West', (13, 5))
Element 18: (3, (13, 5), ['', '', '%', ''], [(12, 8), (11, 11), (11, 9)], [False, False, True, False], 64, False, [False, False, False, False], 2612, 'South', (13, 4))
Element 19: (3, (13, 4), ['', '', '', ''], [(12, 9), (10, 11), (10, 9)], [False, False, False, False], 62, False, [False, False, False, False], 2631, 'East', (14, 4))
Element 20: (3, (14, 4), ['', '%', '', ''], [(11, 9), (10, 12), (10, 10)], [False, True, False, False], 60, False, [False, False, False, False], 2650, 'East', (15, 4))
Element 21: (3, (15, 4), ['', '.', '', '%'], [(11, 10), (10, 13), (9, 10)], [False, False, False, True], 58, False, [False, True, False, False], 2669, 'South', (15, 3))
Element 22: (3, (15, 3), ['%', '%', '', '.'], [(12, 10), (9, 13), (9, 11)], [True, True, False, False], 56, False, [False, False, False, True], 2698, 'East', (16, 3))
Element 23: (3, (16, 3), ['', 'F', '%', '.'], [(13, 10), (9, 12), (8, 11)], [False, False, True, False], 54, False, [False, False, False, True], 2727, 'South', (16, 2))
Element 24: (3, (16, 2), ['%', '.', '', '%'], [(14, 10), (8, 12), (8, 10)], [True, False, False, True], 52, False, [False, True, False, False], 3746, 'South', (16, 1))
Element 25: (3, (16, 1), ['.', '%', '', '.'], [(15, 10), (8, 13), (8, 9)], [False, True, False, False], 50, False, [True, False, False, True], 4765, 'East', (17, 1))
