Element 1: (0, (18, 6), ['.', '%', '.', '%'], [(7, 1), (8, 12), (14, 11)], [False, True, False, True], 98, False, [True, False, True, False], 0, 'North', (18, 7))
Element 2: (0, (18, 7), ['.', '', '.', '%'], [(8, 1), (9, 12), (15, 11)], [False, False, False, True], 96, False, [True, False, True, False], 39, 'North', (18, 8))
Element 3: (0, (18, 8), ['.', '', '%', '%'], [(9, 1), (10, 12), (16, 11)], [False, False, True, True], 94, False, [True, False, False, False], 78, 'West', (17, 8))
Element 4: (0, (17, 8), ['.', '.', '%', ''], [(10, 1), (10, 13), (16, 12)], [False, False, True, False], 92, False, [True, True, False, False], 117, 'South', (17, 7))
Element 5: (0, (17, 7), ['.', '.', '', ''], [(11, 1), (11, 13), (17, 12)], [False, False, False, False], 90, False, [True, True, False, False], 156, 'South', (17, 6))
Element 6: (0, (17, 6), ['.', '%', '', ''], [(12, 1), (12, 13), (17, 13)], [False, True, False, False], 88, False, [True, False, False, False], 195, 'West', (16, 6))
Element 7: (0, (16, 6), ['.', '%', '.', ''], [(13, 1), (13, 13), (18, 13)], [False, True, False, False], 86, False, [True, False, True, False], 234, 'North', (16, 7))
Element 8: (0, (16, 7), ['%', '', '.', ''], [(14, 1), (14, 13), (17, 13)], [True, False, False, False], 84, False, [False, False, True, False], 263, 'North', (16, 8))
Element 9: (0, (16, 8), ['.', '', 'F', ''], [(15, 1), (15, 13), (16, 13)], [False, False, False, False], 82, False, [True, False, False, False], 302, 'North', (16, 9))
Element 10: (0, (16, 9), ['.', '', '.', '%'], [(16, 1), (15, 12), (15, 13)], [False, False, False, True], 80, False, [True, False, True, False], 1321, 'North', (16, 10))
Element 11: (0, (16, 10), ['.', '', '', '%'], [(16, 2), (14, 12), (15, 12)], [False, False, False, True], 78, False, [True, False, False, False], 2340, 'West', (15, 10))
Element 12: (0, (15, 10), ['.', '.', '', ''], [(16, 3), (13, 12), (14, 12)], [False, False, False, False], 76, False, [True, True, False, False], 2369, 'South', (15, 9))
Element 13: (0, (15, 9), ['.', '.', '', ''], [(17, 3), (13, 11), (14, 13)], [False, False, False, False], 74, False, [True, True, False, False], 2398, 'South', (15, 8))
Element 14: (0, (15, 8), ['.', '%', '', ''], [(18, 3), (13, 10), (13, 13)], [False, True, False, False], 72, False, [True, False, False, False], 2427, 'West', (14, 8))
Element 15: (0, (14, 8), ['.', '.', '.', ''], [(17, 3), (14, 10), (13, 12)], [False, False, False, False], 70, False, [True, True, True, False], 2446, 'North', (14, 9))
Element 16: (0, (14, 9), ['.', '', '', ''], [(16, 3), (15, 10), (13, 11)], [False, False, False, False], 68, False, [True, False, False, False], 2455, 'West', (13, 9))
Element 17: (0, (13, 9), ['.', '.', '', ''], [(15, 3), (16, 10), (12, 11)], [False, False, False, False], 66, False, [True, True, False, False], 2484, 'South', (13, 8))
Element 18: (0, (13, 8), ['.', '.', '', ''], [(15, 4), (16, 11), (12, 10)], [False, False, False, False], 64, False, [True, True, False, False], 2513, 'South', (13, 7))
Element 19: (0, (13, 7), ['.', '%', '', '.'], [(15, 5), (16, 12), (12, 9)], [False, True, False, False], 62, False, [True, False, False, True], 2542, 'East', (14, 7))
Element 20: (0, (14, 7), ['', '.', '', '%'], [(15, 6), (17, 12), (12, 8)], [False, False, False, True], 60, False, [False, True, False, False], 2571, 'South', (14, 6))
Element 21: (0, (14, 6), ['%', '.', '', ''], [(16, 6), (17, 13), (12, 7)], [True, False, False, False], 58, False, [False, True, False, False], 2590, 'South', (14, 5))
Element 22: (0, (14, 5), ['.', '.', '', ''], [(17, 6), (18, 13), (12, 6)], [False, False, False, False], 56, False, [True, True, False, False], 2609, 'South', (14, 4))
Element 23: (0, (14, 4), ['.', '%', '', ''], [(18, 6), (17, 13), (12, 5)], [False, True, False, False], 54, False, [True, False, False, False], 2628, 'West', (13, 4))
Element 24: (0, (13, 4), ['.', '.', '.', ''], [(18, 7), (16, 13), (11, 5)], [False, False, False, False], 52, False, [True, True, True, False], 3637, 'North', (13, 5))
Element 25: (0, (13, 5), ['', '', '%', ''], [(18, 8), (17, 13), (11, 6)], [False, False, True, False], 50, False, [False, False, False, False], 3656, 'West', (12, 5))
Element 26: (0, (12, 5), ['', '.', '', ''], [(17, 8), (17, 12), (11, 7)], [False, False, False, False], 48, False, [False, True, False, False], 3665, 'South', (12, 4))
Element 27: (0, (12, 4), ['.', '.', '', ''], [(17, 7), (16, 12), (11, 6)], [False, False, False, False], 46, False, [True, True, False, False], 3674, 'South', (12, 3))
Element 28: (0, (12, 3), ['.', '%', '', '.'], [(16, 7), (16, 13), (10, 6)], [False, True, False, False], 44, False, [True, False, False, True], 3693, 'East', (13, 3))
Element 29: (0, (13, 3), ['', '%', '', '%'], [(16, 8), (16, 12), (10, 5)], [False, True, False, True], 42, False, [False, False, False, False], 3712, 'West', (12, 3))
Element 30: (0, (12, 3), ['.', '%', '', ''], [(16, 9), (16, 11), (9, 5)], [False, True, False, False], 40, False, [True, False, False, False], 3721, 'West', (11, 3))
Element 31: (0, (11, 3), ['.', '%', '.', ''], [(16, 10), (15, 11), (9, 6)], [False, True, False, False], 38, False, [True, False, True, False], 3740, 'North', (11, 4))
Element 32: (0, (11, 4), ['%', '', '', ''], [(16, 11), (14, 11), (8, 6)], [True, False, False, False], 36, False, [False, False, False, False], 3759, 'North', (11, 5))
Element 33: (0, (11, 5), ['', '', '', ''], [(16, 12), (15, 11), (8, 5)], [False, False, False, False], 34, False, [False, False, False, False], 3768, 'North', (11, 6))
Element 34: (0, (11, 6), ['', '', '', ''], [(17, 12), (16, 11), (8, 4)], [False, False, False, False], 32, False, [False, False, False, False], 3777, 'East', (12, 6))
Element 35: (0, (12, 6), ['', '', '', '%'], [(17, 13), (16, 10), (9, 4)], [False, False, False, True], 30, False, [False, False, False, False], 3786, 'North', (12, 7))
Element 36: (0, (12, 7), ['', '', '', ''], [(18, 13), (16, 9), (9, 3)], [False, False, False, False], 28, False, [False, False, False, False], 3795, 'North', (12, 8))
Element 37: (0, (12, 8), ['%', '', '', ''], [(17, 13), (16, 8), (10, 3)], [True, False, False, False], 26, False, [False, False, False, False], 3804, 'North', (12, 9))
Element 38: (0, (12, 9), ['.', '', '', ''], [(16, 13), (17, 8), (11, 3)], [False, False, False, False], 24, False, [True, False, False, False], 3803, 'West', (11, 9))
Element 39: (0, (11, 9), ['.', '%', '.', ''], [(15, 13), (18, 8), (12, 3)], [False, True, False, False], 22, False, [True, False, True, False], 3812, 'North', (11, 10))
Element 40: (0, (11, 10), ['.', '', '.', ''], [(15, 12), (18, 7), (13, 3)], [False, False, False, False], 20, False, [True, False, True, False], 3821, 'North', (11, 11))
Element 41: (0, (11, 11), ['.', '', '%', ''], [(15, 11), (18, 6), (13, 4)], [False, False, True, False], 18, False, [True, False, False, False], 3830, 'West', (10, 11))
Element 42: (0, (10, 11), ['.', '.', '', ''], [(15, 10), (17, 6), (14, 4)], [False, False, False, False], 16, False, [True, True, False, False], 3839, 'South', (10, 10))
Element 43: (0, (10, 10), ['.', '.', '', ''], [(15, 9), (17, 7), (15, 4)], [False, False, False, False], 14, False, [True, True, False, False], 3848, 'South', (10, 9))
Element 44: (0, (10, 9), ['.', '%', '', ''], [(15, 8), (16, 7), (15, 5)], [False, True, False, False], 12, False, [True, False, False, False], 3857, 'West', (9, 9))
Element 45: (0, (9, 9), ['F', '%', '.', ''], [(14, 8), (16, 6), (15, 6)], [False, True, False, False], 10, False, [False, False, True, False], 3866, 'West', (8, 9))
Element 46: (0, (8, 9), ['.', '.', '.', ''], [(14, 9), (16, 7), (16, 6)], [False, False, False, False], 8, False, [True, True, True, False], 4865, 'North', (8, 10))
Element 47: (0, (8, 10), ['.', '', '.', '.'], [(14, 10), (17, 7), (17, 6)], [False, False, False, False], 6, False, [True, False, True, True], 4874, 'East', (9, 10))
Element 48: (0, (9, 10), ['', '', '.', ''], [(14, 11), (16, 7), (18, 6)], [False, False, False, False], 4, False, [False, False, True, False], 4883, 'North', (9, 11))
Element 49: (0, (9, 11), ['.', '', '', ''], [(14, 12), (16, 6), (18, 7)], [False, False, False, False], 2, False, [True, False, False, False], 4892, 'West', (8, 11))
Element 50: (0, (8, 11), ['.', '', '', ''], [(14, 13), (17, 6), (18, 8)], [False, False, False, False], 0, False, [True, False, False, False], 4901, 'Stop', (8, 11))
Element 51: #0#
