Element 39: (3, (18, 6), ['', '%', '', '%'], [(8, 6), (17, 13), (14, 11)], [False, True, False, True], 22, False, [False, False, False, False], 3641, 'North', (18, 7))
Element 40: (3, (18, 7), ['', '', '', '%'], [(8, 5), (16, 13), (14, 12)], [False, False, False, True], 20, False, [False, False, False, False], 3650, 'South', (18, 6))
Element 41: (3, (18, 6), ['', '%', '', '%'], [(8, 4), (15, 13), (14, 13)], [False, True, False, True], 18, False, [False, False, False, False], 3659, 'West', (17, 6))
Element 42: (3, (17, 6), ['', '%', '', ''], [(9, 4), (15, 12), (13, 13)], [False, True, False, False], 16, False, [False, False, False, False], 3668, 'West', (16, 6))
Element 43: (3, (16, 6), ['', '%', '', ''], [(9, 3), (15, 11), (12, 13)], [False, True, False, False], 14, False, [False, False, False, False], 3687, 'West', (15, 6))
Element 44: (3, (15, 6), ['', '', '%', ''], [(10, 3), (15, 10), (11, 13)], [False, False, True, False], 12, False, [False, False, False, False], 3706, 'South', (15, 5))
Element 45: (3, (15, 5), ['', '', '', '%'], [(11, 3), (15, 9), (10, 13)], [False, False, False, True], 10, False, [False, False, False, False], 3725, 'South', (15, 4))
Element 46: (3, (15, 4), ['', '', '', '%'], [(12, 3), (15, 8), (10, 12)], [False, False, False, True], 8, False, [False, False, False, False], 3744, 'South', (15, 3))
Element 47: (3, (15, 3), ['%', '%', '', ''], [(13, 3), (14, 8), (10, 11)], [True, True, False, False], 6, False, [False, False, False, False], 3763, 'East', (16, 3))
Element 48: (3, (16, 3), ['', '', '%', ''], [(13, 4), (14, 9), (11, 11)], [False, False, True, False], 4, False, [False, False, False, False], 3782, 'East', (17, 3))
Element 49: (3, (17, 3), ['', '%', '%', ''], [(13, 5), (14, 10), (11, 10)], [False, True, True, False], 2, False, [False, False, False, False], 3801, 'East', (18, 3))
Element 50: (3, (18, 3), ['', '%', '%', '%'], [(13, 5), (14, 10), (11, 10)], [False, True, True, True], 0, False, [False, False, False, False], 3800, 'Stop', (18, 3))
Element 51: #0#
