Element 1: (2, (17, 6), ['.', '%', 'G', '.'], [(18, 8), (8, 3), (17, 7)], [False, True, False, False], 98, False, [True, False, False, True], 19, 'East', (18, 6))
Element 2: (2, (18, 6), ['', '%', 'G', '%'], [(18, 7), (9, 3), (17, 8)], [False, True, False, True], 96, False, [False, False, False, False], 48, 'West', (17, 6))
Element 3: (2, (17, 6), ['.', '%', '', 'G'], [(18, 6), (10, 3), (16, 8)], [False, True, False, False], 94, False, [True, False, False, False], 67, 'West', (16, 6))
Element 4: (2, (16, 6), ['.', '%', '.', 'G'], [(17, 6), (11, 3), (16, 9)], [False, True, False, False], 92, False, [True, False, True, False], 1086, 'North', (16, 7))
Element 5: (2, (16, 7), ['%', '', '', 'G'], [(17, 7), (12, 3), (16, 10)], [True, False, False, False], 90, False, [False, False, False, False], 1115, 'North', (16, 8))
Element 6: (2, (16, 8), ['.', '', '', 'G'], [(17, 8), (13, 3), (16, 11)], [False, False, False, False], 88, False, [True, False, False, False], 1134, 'West', (15, 8))
Element 7: (2, (15, 8), ['.', '%', '.', 'G'], [(16, 8), (13, 4), (16, 12)], [False, True, False, False], 86, False, [True, False, True, False], 1163, 'North', (15, 9))
Element 8: (2, (15, 9), ['.', '', '.', 'G'], [(16, 9), (14, 4), (17, 12)], [False, False, False, False], 84, False, [True, False, True, False], 1192, 'North', (15, 10))
Element 9: (2, (15, 10), ['.', '', '.', 'G'], [(16, 10), (15, 4), (17, 13)], [False, False, False, False], 82, False, [True, False, True, False], 1221, 'North', (15, 11))
Element 10: (2, (15, 11), ['.', '', '.', 'G'], [(16, 11), (15, 5), (18, 13)], [False, False, False, False], 80, False, [True, False, True, False], 1250, 'North', (15, 12))
Element 11: (2, (15, 12), ['.', '', '.', 'G'], [(16, 12), (15, 6), (17, 13)], [False, False, False, False], 78, False, [True, False, True, False], 1269, 'North', (15, 13))
Element 12: (2, (15, 13), ['.', '', '%', 'G'], [(17, 12), (14, 6), (16, 13)], [False, False, True, False], 76, False, [True, False, False, False], 1298, 'West', (14, 13))
Element 13: (2, (14, 13), ['.', '.', '%', 'G'], [(17, 13), (14, 7), (15, 13)], [False, False, True, False], 74, False, [True, True, False, False], 1317, 'South', (14, 12))
Element 14: (2, (14, 12), ['.', '.', '', 'G'], [(18, 13), (14, 8), (15, 12)], [False, False, False, False], 72, False, [True, True, False, False], 1336, 'South', (14, 11))
Element 15: (2, (14, 11), ['.', '.', '', 'G'], [(17, 13), (14, 9), (15, 11)], [False, False, False, False], 70, False, [True, True, False, False], 1355, 'South', (14, 10))
Element 16: (2, (14, 10), ['.', '', '', 'G'], [(16, 13), (13, 9), (15, 10)], [False, False, False, False], 68, False, [True, False, False, False], 1374, 'West', (13, 10))
Element 17: (2, (13, 10), ['.', '', '.', ''], [(15, 13), (13, 8), (15, 9)], [False, False, False, False], 66, False, [True, False, True, False], 1393, 'North', (13, 11))
Element 18: (2, (13, 11), ['.', '', '.', ''], [(15, 12), (13, 7), (15, 8)], [False, False, False, False], 64, False, [True, False, True, False], 1412, 'North', (13, 12))
Element 19: (2, (13, 12), ['%', '', '.', ''], [(15, 11), (12, 7), (14, 8)], [True, False, False, False], 62, False, [False, False, True, False], 1431, 'North', (13, 13))
Element 20: (2, (13, 13), ['.', '', '%', ''], [(15, 10), (12, 8), (14, 9)], [False, False, True, False], 60, False, [True, False, False, False], 1450, 'West', (12, 13))
