Element 13: (2, (17, 8), ['', '.', '%', ''], [(17, 1), (12, 3), (16, 7)], [False, False, True, False], 74, False, [False, True, False, False], 3437, 'South', (17, 7))
Element 14: (2, (17, 7), ['', '', '', ''], [(16, 1), (13, 3), (16, 6)], [False, False, False, False], 72, False, [False, False, False, False], 3456, 'West', (16, 7))
Element 15: (2, (16, 7), ['%', '', '', ''], [(15, 1), (13, 4), (17, 6)], [True, False, False, False], 70, False, [False, False, False, False], 3465, 'North', (16, 8))
Element 16: (2, (16, 8), ['.', '', '', ''], [(14, 1), (14, 4), (18, 6)], [False, False, False, False], 68, False, [True, False, False, False], 3474, 'West', (15, 8))
Element 17: (2, (15, 8), ['.', '%', '.', ''], [(13, 1), (15, 4), (18, 7)], [False, True, False, False], 66, False, [True, False, True, False], 3493, 'North', (15, 9))
Element 18: (2, (15, 9), ['.', '', '.', ''], [(12, 1), (15, 5), (18, 8)], [False, False, False, False], 64, False, [True, False, True, False], 3512, 'North', (15, 10))
Element 19: (2, (15, 10), ['.', '', '.', ''], [(11, 1), (15, 6), (17, 8)], [False, False, False, False], 62, False, [True, False, True, False], 3531, 'North', (15, 11))
Element 20: (2, (15, 11), ['.', '', '.', ''], [(10, 1), (14, 6), (17, 7)], [False, False, False, False], 60, False, [True, False, True, False], 3560, 'North', (15, 12))
Element 21: (2, (15, 12), ['.', '', '', ''], [(9, 1), (14, 7), (17, 8)], [False, False, False, False], 58, False, [True, False, False, False], 3589, 'West', (14, 12))
Element 22: (2, (14, 12), ['.', '.', '', ''], [(8, 1), (14, 8), (18, 8)], [False, False, False, False], 56, False, [True, True, False, False], 3618, 'South', (14, 11))
Element 23: (2, (14, 11), ['.', '.', '', ''], [(8, 2), (14, 9), (18, 7)], [False, False, False, False], 54, False, [True, True, False, False], 3647, 'South', (14, 10))
Element 24: (2, (14, 10), ['.', '', '', ''], [(7, 2), (13, 9), (17, 7)], [False, False, False, False], 52, False, [True, False, False, False], 3676, 'West', (13, 10))
Element 25: (2, (13, 10), ['.', '', '.', ''], [(7, 1), (13, 8), (18, 7)], [False, False, False, False], 50, False, [True, False, True, False], 3705, 'North', (13, 11))
Element 26: (2, (13, 11), ['.', '', '.', ''], [(6, 1), (13, 7), (18, 6)], [False, False, False, False], 48, False, [True, False, True, False], 3734, 'North', (13, 12))
Element 27: (2, (13, 12), ['%', '', '.', ''], [(6, 2), (12, 7), (17, 6)], [True, False, False, False], 46, False, [False, False, True, False], 3763, 'North', (13, 13))
Element 28: (2, (13, 13), ['.', '', '%', ''], [(6, 3), (12, 8), (17, 7)], [False, False, True, False], 44, False, [True, False, False, False], 3792, 'West', (12, 13))
Element 29: (2, (12, 13), ['.', '%', '%', ''], [(6, 4), (12, 9), (17, 6)], [False, True, True, False], 42, False, [True, False, False, False], 3821, 'West', (11, 13))
Element 30: (2, (11, 13), ['.', '%', '%', ''], [(6, 5), (12, 10), (16, 6)], [False, True, True, False], 40, False, [True, False, False, False], 3850, 'West', (10, 13))
Element 31: (2, (10, 13), ['.', '.', '%', ''], [(6, 6), (12, 11), (15, 6)], [False, False, True, False], 38, False, [True, True, False, False], 3879, 'South', (10, 12))
Element 32: (2, (10, 12), ['.', '.', '', '%'], [(7, 6), (11, 11), (15, 5)], [False, False, False, True], 36, False, [True, True, False, False], 3898, 'South', (10, 11))
Element 33: (2, (10, 11), ['.', '.', '', ''], [(8, 6), (11, 10), (15, 4)], [False, False, False, False], 34, False, [True, True, False, False], 3917, 'South', (10, 10))
Element 34: (2, (10, 10), ['.', '.', '', ''], [(8, 5), (11, 9), (15, 3)], [False, False, False, False], 32, False, [True, True, False, False], 3936, 'South', (10, 9))
Element 35: (2, (10, 9), ['.', '%', '', ''], [(9, 5), (11, 10), (16, 3)], [False, True, False, False], 30, False, [True, False, False, False], 3945, 'West', (9, 9))
Element 36: (2, (9, 9), ['F', '%', '.', ''], [(9, 4), (11, 11), (17, 3)], [False, True, False, False], 28, False, [False, False, True, False], 3964, 'West', (8, 9))
Element 37: (2, (8, 9), ['.', '.', '.', ''], [(9, 3), (12, 11), (18, 3)], [False, False, False, False], 26, False, [True, True, True, False], 4973, 'North', (8, 10))
Element 38: (2, (8, 10), ['.', '', '.', '.'], [(10, 3), (13, 11), (17, 3)], [False, False, False, False], 24, False, [True, False, True, True], 4982, 'East', (9, 10))
Element 39: (2, (9, 10), ['', '', '.', ''], [(11, 3), (14, 11), (16, 3)], [False, False, False, False], 22, False, [False, False, True, False], 4991, 'North', (9, 11))
Element 40: (2, (9, 11), ['.', '', '.', ''], [(12, 3), (15, 11), (16, 2)], [False, False, False, False], 20, False, [True, False, True, False], 5000, 'North', (9, 12))
Element 41: (2, (9, 12), ['.', '', '.', ''], [(13, 3), (16, 11), (16, 1)], [False, False, False, False], 18, False, [True, False, True, False], 5009, 'North', (9, 13))
