Element 1: (2, (10, 10), ['.', '', '.', '.'], [(8, 12), (11, 9), (14, 8)], [False, False, False, False], 98, False, [True, False, True, True], 19, 'East', (11, 10))
Element 2: (2, (11, 10), ['', '', '.', '.'], [(9, 12), (12, 9), (15, 8)], [False, False, False, False], 96, False, [False, False, True, True], 58, 'East', (12, 10))
Element 3: (2, (12, 10), ['', '', '.', '.'], [(10, 12), (13, 9), (16, 8)], [False, False, False, False], 94, False, [False, False, True, True], 97, 'East', (13, 10))
Element 4: (2, (13, 10), ['', '', '.', '.'], [(10, 13), (14, 9), (16, 9)], [False, False, False, False], 92, False, [False, False, True, True], 1126, 'East', (14, 10))
Element 5: (2, (14, 10), ['', '', '.', '.'], [(11, 13), (15, 9), (16, 10)], [False, False, False, False], 90, False, [False, False, True, True], 1165, 'East', (15, 10))
Element 6: (2, (15, 10), ['', '', '.', ''], [(12, 13), (16, 9), (16, 11)], [False, False, False, False], 88, False, [False, False, True, False], 1194, 'North', (15, 11))
Element 7: (2, (15, 11), ['.', '', '.', ''], [(13, 13), (16, 10), (16, 12)], [False, False, False, False], 86, False, [True, False, True, False], 1223, 'North', (15, 12))
Element 8: (2, (15, 12), ['.', '', '.', ''], [(14, 13), (16, 11), (17, 12)], [False, False, False, False], 84, False, [True, False, True, False], 1252, 'North', (15, 13))
Element 9: (2, (15, 13), ['', '', '%', '.'], [(14, 12), (16, 12), (17, 13)], [False, False, True, False], 82, False, [False, False, False, True], 1281, 'East', (16, 13))
Element 10: (2, (16, 13), ['', '', '%', ''], [(14, 11), (17, 12), (18, 13)], [False, False, True, False], 80, False, [False, False, False, False], 1310, 'East', (17, 13))
Element 11: (2, (17, 13), ['', '', '%', 'G'], [(13, 11), (16, 12), (18, 13)], [False, False, True, False], 78, False, [False, False, False, False], 1319, 'South', (17, 12))
Element 12: (2, (17, 12), ['', '%', 'G', '%'], [(13, 12), (15, 12), (17, 13)], [False, True, False, True], 76, False, [False, False, False, False], 1328, 'West', (16, 12))
Element 13: (2, (16, 12), ['', '', 'G', ''], [(13, 11), (15, 13), (16, 13)], [False, False, False, False], 74, False, [False, False, False, False], 1327, 'South', (16, 11))
Element 14: (2, (16, 11), ['', '', '', '%'], [(12, 11), (14, 13), (16, 13)], [False, False, False, True], 72, False, [False, False, False, False], 1336, 'South', (16, 10))
