Element 1: (1, (8, 8), ['.', '%', 'F', '%'], [(15, 4), (9, 12), (17, 7)], [False, True, False, True], 98, False, [True, False, False, False], 9, 'North', (8, 9))
Element 2: (1, (8, 9), ['.', '', '.', '.'], [(15, 5), (10, 12), (18, 7)], [False, False, False, False], 96, False, [True, False, True, True], 1038, 'East', (9, 9))
Element 3: (1, (9, 9), ['', '%', '.', '.'], [(15, 6), (10, 13), (18, 8)], [False, True, False, False], 94, False, [False, False, True, True], 1077, 'East', (10, 9))
Element 4: (1, (10, 9), ['', '%', '.', '.'], [(16, 6), (11, 13), (17, 8)], [False, True, False, False], 92, False, [False, False, True, True], 1116, 'East', (11, 9))
Element 5: (1, (11, 9), ['', '%', '.', '.'], [(17, 6), (12, 13), (16, 8)], [False, True, False, False], 90, False, [False, False, True, True], 1155, 'East', (12, 9))
Element 6: (1, (12, 9), ['', '.', '.', '.'], [(18, 6), (13, 13), (16, 9)], [False, False, False, False], 88, False, [False, True, True, True], 2184, 'East', (13, 9))
Element 7: (1, (13, 9), ['', '.', '.', '.'], [(18, 7), (14, 13), (16, 10)], [False, False, False, False], 86, False, [False, True, True, True], 2213, 'East', (14, 9))
Element 8: (1, (14, 9), ['', '.', '.', '.'], [(18, 8), (15, 13), (16, 11)], [False, False, False, False], 84, False, [False, True, True, True], 2242, 'East', (15, 9))
Element 9: (1, (15, 9), ['', '.', '.', ''], [(17, 8), (16, 13), (16, 12)], [False, False, False, False], 82, False, [False, True, True, False], 2271, 'North', (15, 10))
Element 10: (1, (15, 10), ['.', '', '.', ''], [(17, 7), (17, 13), (17, 12)], [False, False, False, False], 80, False, [True, False, True, False], 2300, 'North', (15, 11))
Element 11: (1, (15, 11), ['.', '', '.', ''], [(16, 7), (18, 13), (17, 13)], [False, False, False, False], 78, False, [True, False, True, False], 2329, 'North', (15, 12))
Element 12: (1, (15, 12), ['.', '', '', ''], [(16, 8), (18, 13), (16, 13)], [False, False, False, False], 76, False, [True, False, False, False], 2338, 'West', (14, 12))
Element 13: (1, (14, 12), ['.', '.', '', ''], [(15, 8), (17, 13), (15, 13)], [False, False, False, False], 74, False, [True, True, False, False], 2357, 'South', (14, 11))
Element 14: (1, (14, 11), ['.', '.', '', ''], [(14, 8), (16, 13), (15, 12)], [False, False, False, False], 72, False, [True, True, False, False], 2376, 'South', (14, 10))
Element 15: (1, (14, 10), ['.', '', '', ''], [(14, 7), (15, 13), (15, 11)], [False, False, False, False], 70, False, [True, False, False, False], 2395, 'West', (13, 10))
Element 16: (1, (13, 10), ['.', '', '.', ''], [(14, 6), (15, 13), (15, 10)], [False, False, False, False], 68, False, [True, False, True, False], 2414, 'North', (13, 11))
Element 17: (1, (13, 11), ['.', '', '.', ''], [(14, 5), (14, 13), (15, 9)], [False, False, False, False], 66, False, [True, False, True, False], 2433, 'North', (13, 12))
Element 18: (1, (13, 12), ['%', '', '', 'G'], [(13, 5), (14, 12), (15, 8)], [True, False, False, False], 64, False, [False, False, False, False], 2452, 'North', (13, 13))
Element 19: (1, (13, 13), ['', '', '%', ''], [(13, 4), (15, 12), (14, 8)], [False, False, True, False], 62, False, [False, False, False, False], 2461, 'East', (14, 13))
Element 20: (1, (14, 13), ['', '', '%', ''], [(13, 3), (16, 12), (13, 8)], [False, False, True, False], 60, False, [False, False, False, False], 2480, 'East', (15, 13))
Element 21: (1, (15, 13), ['', '', '%', ''], [(12, 3), (17, 12), (13, 7)], [False, False, True, False], 58, False, [False, False, False, False], 2499, 'East', (16, 13))
Element 22: (1, (16, 13), ['', 'G', '%', ''], [(12, 4), (16, 12), (12, 7)], [False, False, True, False], 56, False, [False, False, False, False], 2518, 'East', (17, 13))
Element 23: (1, (17, 13), ['', '', '%', ''], [(12, 5), (16, 11), (12, 8)], [False, False, True, False], 54, False, [False, False, False, False], 2537, 'East', (18, 13))
Element 24: (1, (18, 13), ['', '%', '%', '%'], [(11, 5), (16, 10), (12, 9)], [False, True, True, True], 52, False, [False, False, False, False], 3536, 'West', (17, 13))
Element 25: (1, (17, 13), ['', '', '%', ''], [(11, 6), (16, 9), (12, 10)], [False, False, True, False], 50, False, [False, False, False, False], 3555, 'South', (17, 12))
Element 26: (1, (17, 12), ['', '%', '', '%'], [(12, 6), (16, 8), (12, 11)], [False, True, False, True], 48, False, [False, False, False, False], 3574, 'West', (16, 12))
Element 27: (1, (16, 12), ['', '', '', ''], [(12, 7), (17, 8), (11, 11)], [False, False, False, False], 46, False, [False, False, False, False], 3583, 'South', (16, 11))
Element 28: (1, (16, 11), ['', '', '', '%'], [(11, 7), (18, 8), (11, 10)], [False, False, False, True], 44, False, [False, False, False, False], 3602, 'South', (16, 10))
Element 29: (1, (16, 10), ['', '', '', '%'], [(12, 7), (18, 7), (10, 10)], [False, False, False, True], 42, False, [False, False, False, False], 3611, 'South', (16, 9))
Element 30: (1, (16, 9), ['', '', '', '%'], [(13, 7), (18, 6), (10, 11)], [False, False, False, True], 40, False, [False, False, False, False], 3620, 'South', (16, 8))
Element 31: (1, (16, 8), ['', '', '', ''], [(13, 8), (17, 6), (9, 11)], [False, False, False, False], 38, False, [False, False, False, False], 3629, 'East', (17, 8))
Element 32: (1, (17, 8), ['', 'G', '%', ''], [(13, 9), (17, 7), (9, 10)], [False, False, True, False], 36, False, [False, False, False, False], 3638, 'East', (18, 8))
Element 33: (1, (18, 8), ['', '', '%', '%'], [(14, 9), (16, 7), (8, 10)], [False, False, True, True], 34, False, [False, False, False, False], 3647, 'South', (18, 7))
Element 34: (1, (18, 7), ['', '', '', '%'], [(15, 9), (16, 6), (8, 11)], [False, False, False, True], 32, False, [False, False, False, False], 3656, 'South', (18, 6))
Element 35: (1, (18, 6), ['', '%', '', '%'], [(16, 9), (15, 6), (8, 12)], [False, True, False, True], 30, False, [False, False, False, False], 3665, 'West', (17, 6))
Element 36: (1, (17, 6), ['', '%', '', ''], [(16, 10), (15, 5), (8, 13)], [False, True, False, False], 28, False, [False, False, False, False], 3674, 'North', (17, 7))
Element 37: (1, (17, 7), ['', '', '', ''], [(16, 11), (15, 4), (9, 13)], [False, False, False, False], 26, False, [False, False, False, False], 3683, 'West', (16, 7))
Element 38: (1, (16, 7), ['%', '', '', ''], [(16, 12), (15, 3), (10, 13)], [True, False, False, False], 24, False, [False, False, False, False], 3692, 'South', (16, 6))
Element 39: (1, (16, 6), ['', '%', '', ''], [(17, 12), (16, 3), (11, 13)], [False, True, False, False], 22, False, [False, False, False, False], 3701, 'West', (15, 6))
Element 40: (1, (15, 6), ['', '', '%', ''], [(17, 13), (16, 2), (12, 13)], [False, False, True, False], 20, False, [False, False, False, False], 4700, 'South', (15, 5))
Element 41: (1, (15, 5), ['', '', '', '%'], [(18, 13), (16, 1), (13, 13)], [False, False, False, True], 18, False, [False, False, False, False], 4709, 'South', (15, 4))
Element 42: (1, (15, 4), ['', '', '', '%'], [(17, 13), (17, 1), (14, 13)], [False, False, False, True], 16, False, [False, False, False, False], 4718, 'South', (15, 3))
Element 43: (1, (15, 3), ['%', '%', '', ''], [(16, 13), (16, 1), (14, 12)], [True, True, False, False], 14, False, [False, False, False, False], 4717, 'East', (16, 3))
Element 44: (1, (16, 3), ['', '', '%', '.'], [(15, 13), (15, 1), (14, 11)], [False, False, True, False], 12, False, [False, False, False, True], 4726, 'East', (17, 3))
Element 45: (1, (17, 3), ['', '%', '%', '.'], [(15, 12), (14, 1), (14, 10)], [False, True, True, False], 10, False, [False, False, False, True], 4745, 'East', (18, 3))
Element 46: (1, (18, 3), ['', '%', '%', '%'], [(15, 11), (13, 1), (14, 9)], [False, True, True, True], 8, False, [False, False, False, False], 4764, 'West', (17, 3))
Element 47: (1, (17, 3), ['', '%', '%', ''], [(15, 10), (12, 1), (13, 9)], [False, True, True, False], 6, False, [False, False, False, False], 4773, 'West', (16, 3))
Element 48: (1, (16, 3), ['', '', '%', ''], [(14, 10), (11, 1), (13, 10)], [False, False, True, False], 4, False, [False, False, False, False], 4782, 'South', (16, 2))
Element 49: (1, (16, 2), ['%', '', '', '%'], [(14, 11), (10, 1), (13, 11)], [True, False, False, True], 2, False, [False, False, False, False], 4791, 'South', (16, 1))
Element 50: (1, (16, 1), ['', '%', '', ''], [(14, 11), (9, 1), (13, 12)], [False, True, False, False], 0, False, [False, False, False, False], 4800, 'Stop', (16, 1))
Element 51: #0#
