Element 1: (0, (14, 7), ['.', '.', '.', '%'], [(1, 4), (6, 11), (13, 3)], [False, False, False, True], 98, False, [True, True, True, False], 0, 'North', (14, 8))
Element 2: (0, (14, 8), ['.', '', '.', '.'], [(2, 4), (7, 11), (13, 4)], [False, False, False, False], 96, False, [True, False, True, True], 39, 'East', (15, 8))
Element 3: (0, (15, 8), ['', '%', '.', '.'], [(3, 4), (8, 11), (14, 4)], [False, True, False, False], 94, False, [False, False, True, True], 78, 'East', (16, 8))
Element 4: (0, (16, 8), ['', '.', 'F', '.'], [(4, 4), (9, 11), (15, 4)], [False, False, False, False], 92, False, [False, True, False, True], 117, 'North', (16, 9))
Element 5: (0, (16, 9), ['.', '', '.', '%'], [(5, 4), (10, 11), (15, 5)], [False, False, False, True], 90, False, [True, False, True, False], 1146, 'North', (16, 10))
Element 6: (0, (16, 10), ['.', '', '.', '%'], [(6, 4), (11, 11), (15, 6)], [False, False, False, True], 88, False, [True, False, True, False], 1185, 'North', (16, 11))
Element 7: (0, (16, 11), ['.', '', '.', '%'], [(7, 4), (12, 11), (16, 6)], [False, False, False, True], 86, False, [True, False, True, False], 1224, 'North', (16, 12))
Element 8: (0, (16, 12), ['.', '', '.', '.'], [(8, 4), (13, 11), (17, 6)], [False, False, False, False], 84, False, [True, False, True, True], 1263, 'East', (17, 12))
Element 9: (0, (17, 12), ['', '%', '.', '%'], [(9, 4), (14, 11), (18, 6)], [False, True, False, True], 82, False, [False, False, True, False], 1302, 'North', (17, 13))
Element 10: (0, (17, 13), ['.', '', '%', '.'], [(9, 5), (15, 11), (18, 7)], [False, False, True, False], 80, False, [True, False, False, True], 1341, 'East', (18, 13))
Element 11: (0, (18, 13), ['', '%', '%', '%'], [(10, 5), (15, 12), (18, 8)], [False, True, True, True], 78, False, [False, False, False, False], 1380, 'West', (17, 13))
Element 12: (0, (17, 13), ['.', '', '%', ''], [(11, 5), (15, 13), (17, 8)], [False, False, True, False], 76, False, [True, False, False, False], 2399, 'West', (16, 13))
Element 13: (0, (16, 13), ['', '', '%', ''], [(12, 5), (14, 13), (17, 7)], [False, False, True, False], 74, False, [False, False, False, False], 2438, 'West', (15, 13))
Element 14: (0, (15, 13), ['', '', '%', ''], [(13, 5), (14, 12), (16, 7)], [False, False, True, False], 72, False, [False, False, False, False], 2467, 'South', (15, 12))
Element 15: (0, (15, 12), ['', '', '', ''], [(14, 5), (13, 12), (16, 8)], [False, False, False, False], 70, False, [False, False, False, False], 2486, 'South', (15, 11))
Element 16: (0, (15, 11), ['', '.', '', ''], [(14, 6), (13, 13), (16, 9)], [False, False, False, False], 68, False, [False, True, False, False], 2505, 'South', (15, 10))
Element 17: (0, (15, 10), ['.', 'G', '', ''], [(15, 6), (12, 13), (15, 9)], [False, False, False, False], 66, False, [True, False, False, False], 2534, 'West', (14, 10))
Element 18: (0, (14, 10), ['.', 'G', '', ''], [(16, 6), (11, 13), (14, 9)], [False, False, False, False], 64, False, [True, False, False, False], 2563, 'West', (13, 10))
Element 19: (0, (13, 10), ['.', 'G', '', ''], [(17, 6), (10, 13), (13, 9)], [False, False, False, False], 62, False, [True, False, False, False], 2592, 'West', (12, 10))
Element 20: (0, (12, 10), ['.', '.', '', ''], [(18, 6), (10, 12), (13, 8)], [False, False, False, False], 60, False, [True, True, False, False], 2621, 'South', (12, 9))
Element 21: (0, (12, 9), ['.', '.', '', ''], [(18, 7), (9, 12), (13, 7)], [False, False, False, False], 58, False, [True, True, False, False], 2650, 'South', (12, 8))
Element 22: (0, (12, 8), ['%', 'G', '', ''], [(18, 8), (9, 13), (12, 7)], [True, False, False, False], 56, False, [False, False, False, False], 2679, 'East', (13, 8))
Element 23: (0, (13, 8), ['', '', '', ''], [(17, 8), (8, 13), (12, 6)], [False, False, False, False], 54, False, [False, False, False, False], 2698, 'North', (13, 9))
Element 24: (0, (13, 9), ['', '', '', ''], [(17, 7), (8, 12), (11, 6)], [False, False, False, False], 52, False, [False, False, False, False], 2717, 'East', (14, 9))
Element 25: (0, (14, 9), ['', '', '', ''], [(16, 7), (7, 12), (11, 7)], [False, False, False, False], 50, False, [False, False, False, False], 2736, 'East', (15, 9))
Element 26: (0, (15, 9), ['', '', '', ''], [(16, 8), (7, 13), (11, 6)], [False, False, False, False], 48, False, [False, False, False, False], 2745, 'West', (14, 9))
Element 27: (0, (14, 9), ['', '', '', ''], [(16, 9), (6, 13), (10, 6)], [False, False, False, False], 46, False, [False, False, False, False], 2764, 'West', (13, 9))
Element 28: (0, (13, 9), ['', '', '', ''], [(16, 10), (6, 12), (9, 6)], [False, False, False, False], 44, False, [False, False, False, False], 2783, 'South', (13, 8))
Element 29: (0, (13, 8), ['', '', '', ''], [(16, 11), (5, 12), (8, 6)], [False, False, False, False], 42, False, [False, False, False, False], 2802, 'South', (13, 7))
Element 30: (0, (13, 7), ['', '%', '', ''], [(16, 12), (5, 13), (8, 5)], [False, True, False, False], 40, False, [False, False, False, False], 2821, 'West', (12, 7))
Element 31: (0, (12, 7), ['', '', '', ''], [(17, 12), (4, 13), (7, 5)], [False, False, False, False], 38, False, [False, False, False, False], 2840, 'South', (12, 6))
Element 32: (0, (12, 6), ['', '', '', '%'], [(17, 13), (4, 12), (7, 6)], [False, False, False, True], 36, False, [False, False, False, False], 2859, 'South', (12, 5))
