Element 1: (1, (3, 7), ['.', 'G', '.', '.'], [(3, 6), (15, 13), (18, 7)], [False, False, False, False], 98, False, [True, False, True, True], 9, 'East', (4, 7))
Element 2: (1, (4, 7), ['', 'G', '.', '%'], [(4, 6), (16, 13), (17, 7)], [False, False, False, True], 96, False, [False, False, True, False], 48, 'North', (4, 8))
Element 3: (1, (4, 8), ['.', '', '.', '.'], [(5, 6), (16, 12), (17, 6)], [False, False, False, False], 94, False, [True, False, True, True], 87, 'East', (5, 8))
Element 4: (1, (5, 8), ['', '%', '.', 'F'], [(6, 6), (16, 11), (16, 6)], [False, True, False, False], 92, False, [False, False, True, False], 126, 'East', (6, 8))
Element 5: (1, (6, 8), ['', '%', '%', '.'], [(7, 6), (17, 11), (16, 7)], [False, True, True, False], 90, False, [False, False, False, True], 1155, 'East', (7, 8))
Element 6: (1, (7, 8), ['', '%', '%', '.'], [(8, 6), (18, 11), (15, 7)], [False, True, True, False], 88, False, [False, False, False, True], 1194, 'East', (8, 8))
Element 7: (1, (8, 8), ['', '%', '%', '.'], [(9, 6), (17, 11), (15, 6)], [False, True, True, False], 86, False, [False, False, False, True], 1223, 'East', (9, 8))
Element 8: (1, (9, 8), ['', '.', '%', 'F'], [(10, 6), (17, 10), (14, 6)], [False, False, True, False], 84, False, [False, True, False, False], 1262, 'East', (10, 8))
Element 9: (1, (10, 8), ['', '.', '%', '%'], [(11, 6), (17, 9), (14, 7)], [False, False, True, True], 82, False, [False, True, False, False], 2291, 'South', (10, 7))
Element 10: (1, (10, 7), ['.', '', '', '.'], [(12, 6), (18, 9), (14, 8)], [False, False, False, False], 80, False, [True, False, False, True], 2330, 'East', (11, 7))
Element 11: (1, (11, 7), ['', '', '%', '.'], [(13, 6), (17, 9), (14, 9)], [False, False, True, False], 78, False, [False, False, False, True], 2359, 'East', (12, 7))
Element 12: (1, (12, 7), ['', '', '.', 'G'], [(13, 7), (16, 9), (15, 9)], [False, False, False, False], 76, False, [False, False, True, False], 2398, 'North', (12, 8))
Element 13: (1, (12, 8), ['%', '', '.', 'G'], [(13, 8), (17, 9), (15, 10)], [True, False, False, False], 74, False, [False, False, True, False], 2427, 'North', (12, 9))
Element 14: (1, (12, 9), ['.', '', '.', 'G'], [(13, 9), (17, 10), (14, 10)], [False, False, False, False], 72, False, [True, False, True, False], 2456, 'North', (12, 10))
Element 15: (1, (12, 10), ['.', '', '.', 'G'], [(14, 9), (17, 11), (13, 10)], [False, False, False, False], 70, False, [True, False, True, False], 2475, 'North', (12, 11))
Element 16: (1, (12, 11), ['.', '', '.', 'G'], [(15, 9), (16, 11), (13, 11)], [False, False, False, False], 68, False, [True, False, True, False], 2494, 'North', (12, 12))
Element 17: (1, (12, 12), ['.', '', '.', 'G'], [(16, 9), (16, 12), (13, 12)], [False, False, False, False], 66, False, [True, False, True, False], 2513, 'North', (12, 13))
Element 18: (1, (12, 13), ['%', '', '%', '.'], [(17, 9), (15, 12), (14, 12)], [True, False, True, False], 64, False, [False, False, False, True], 2542, 'East', (13, 13))
Element 19: (1, (13, 13), ['', '', '%', 'G'], [(18, 9), (16, 12), (14, 13)], [False, False, True, False], 62, False, [False, False, False, False], 2561, 'South', (13, 12))
Element 20: (1, (13, 12), ['', '', '', ''], [(17, 9), (16, 13), (15, 13)], [False, False, False, False], 60, False, [False, False, False, False], 2560, 'East', (14, 12))
Element 21: (1, (14, 12), ['', '%', '', ''], [(17, 10), (16, 12), (16, 13)], [False, True, False, False], 58, False, [False, False, False, False], 2559, 'East', (15, 12))
Element 22: (1, (15, 12), ['', '%', '', 'G'], [(17, 11), (16, 11), (16, 12)], [False, True, False, False], 56, False, [False, False, False, False], 2558, 'North', (15, 13))
Element 23: (1, (15, 13), ['', 'G', '%', ''], [(18, 11), (16, 11), (15, 12)], [False, False, True, False], 54, False, [False, False, False, False], 2557, 'East', (16, 13))
Element 24: (1, (16, 13), ['', 'G', '%', '%'], [(17, 11), (16, 12), (14, 12)], [False, False, True, True], 52, False, [False, False, False, False], 2556, 'West', (15, 13))
Element 25: (1, (15, 13), ['G', 'G', '%', ''], [(17, 10), (15, 12), (14, 13)], [False, False, True, False], 50, False, [False, False, False, False], 2555, 'East', (16, 13))
Element 26: (1, (16, 13), ['G', '', '%', '%'], [(17, 9), (15, 12), (15, 13)], [False, False, True, True], 48, False, [False, False, False, False], 2554, 'South', (16, 12))
Element 27: (1, (16, 12), ['G', '', '', '%'], [(16, 9), (14, 12), (15, 12)], [False, False, False, True], 46, False, [False, False, False, False], 2553, 'South', (16, 11))
Element 28: (1, (16, 11), ['%', '%', '', ''], [(15, 9), (14, 13), (15, 13)], [True, True, False, False], 44, False, [False, False, False, False], 2552, 'East', (17, 11))
Element 29: (1, (17, 11), ['', '', '%', ''], [(15, 10), (13, 13), (14, 13)], [False, False, True, False], 42, False, [False, False, False, False], 2551, 'East', (18, 11))
Element 30: (1, (18, 11), ['', '%', '%', '%'], [(14, 10), (13, 12), (13, 13)], [False, True, True, True], 40, False, [False, False, False, False], 2550, 'West', (17, 11))
Element 31: (1, (17, 11), ['', '', '%', ''], [(13, 10), (13, 11), (12, 13)], [False, False, True, False], 38, False, [False, False, False, False], 2549, 'South', (17, 10))
Element 32: (1, (17, 10), ['%', '', '', '%'], [(13, 11), (12, 11), (12, 12)], [True, False, False, True], 36, False, [False, False, False, False], 2548, 'South', (17, 9))
