Element 1: (2, (7, 8), ['F', '%', '%', '.'], [(11, 10), (2, 4), (15, 1)], [False, True, True, False], 98, False, [False, False, False, True], 19, 'West', (6, 8))
Element 2: (2, (6, 8), ['.', '%', '%', ''], [(12, 10), (3, 4), (15, 2)], [False, True, True, False], 96, False, [True, False, False, False], 1048, 'West', (5, 8))
Element 3: (2, (5, 8), ['.', '%', '.', ''], [(13, 10), (3, 5), (14, 2)], [False, True, False, False], 94, False, [True, False, True, False], 1087, 'North', (5, 9))
Element 4: (2, (5, 9), ['.', '', '.', '%'], [(14, 10), (4, 5), (14, 1)], [False, False, False, True], 92, False, [True, False, True, False], 1126, 'North', (5, 10))
Element 5: (2, (5, 10), ['.', '', '.', '.'], [(15, 10), (5, 5), (13, 1)], [False, False, False, False], 90, False, [True, False, True, True], 1165, 'East', (6, 10))
Element 6: (2, (6, 10), ['', '%', '.', '.'], [(15, 9), (6, 5), (13, 2)], [False, True, False, False], 88, False, [False, False, True, True], 1204, 'East', (7, 10))
Element 7: (2, (7, 10), ['', '%', '.', '.'], [(16, 9), (6, 4), (12, 2)], [False, True, False, False], 86, False, [False, False, True, True], 2233, 'East', (8, 10))
Element 8: (2, (8, 10), ['', '%', 'F', '.'], [(17, 9), (6, 3), (12, 3)], [False, True, False, False], 84, False, [False, False, False, True], 2272, 'North', (8, 11))
Element 9: (2, (8, 11), ['.', '', '%', '.'], [(18, 9), (6, 2), (11, 3)], [False, False, True, False], 82, False, [True, False, False, True], 3301, 'East', (9, 11))
Element 10: (2, (9, 11), ['', '.', 'F', '.'], [(17, 9), (6, 1), (11, 2)], [False, False, False, False], 80, False, [False, True, False, True], 3330, 'North', (9, 12))
Element 11: (2, (9, 12), ['%', '', '%', '.'], [(17, 10), (7, 1), (11, 1)], [True, False, True, False], 78, False, [False, False, False, True], 4359, 'East', (10, 12))
Element 12: (2, (10, 12), ['', '.', '%', '.'], [(17, 11), (8, 1), (12, 1)], [False, False, True, False], 76, False, [False, True, False, True], 4398, 'East', (11, 12))
Element 13: (2, (11, 12), ['', '.', '%', '.'], [(18, 11), (7, 1), (11, 1)], [False, False, True, False], 74, False, [False, True, False, True], 4417, 'East', (12, 12))
Element 14: (2, (12, 12), ['', '.', '.', '.'], [(17, 11), (6, 1), (11, 2)], [False, False, False, False], 72, False, [False, True, True, True], 4426, 'East', (13, 12))
Element 15: (2, (13, 12), ['', '.', '.', '.'], [(16, 11), (5, 1), (10, 2)], [False, False, False, False], 70, False, [False, True, True, True], 4465, 'East', (14, 12))
Element 16: (2, (14, 12), ['', '%', '.', '.'], [(16, 12), (5, 2), (10, 3)], [False, True, False, False], 68, False, [False, False, True, True], 4504, 'East', (15, 12))
Element 17: (2, (15, 12), ['', '%', '.', ''], [(16, 13), (5, 3), (9, 3)], [False, True, False, False], 66, False, [False, False, True, False], 4543, 'North', (15, 13))
Element 18: (2, (15, 13), ['.', '', '%', ''], [(16, 12), (4, 3), (9, 2)], [False, False, True, False], 64, False, [True, False, False, False], 4572, 'West', (14, 13))
Element 19: (2, (14, 13), ['.', '', '%', ''], [(16, 11), (4, 2), (9, 3)], [False, False, True, False], 62, False, [True, False, False, False], 4591, 'West', (13, 13))
Element 20: (2, (13, 13), ['.', '', '%', ''], [(17, 11), (4, 1), (10, 3)], [False, False, True, False], 60, False, [True, False, False, False], 4610, 'West', (12, 13))
Element 21: (2, (12, 13), ['%', '', '%', ''], [(17, 10), (3, 1), (10, 2)], [True, False, True, False], 58, False, [False, False, False, False], 4629, 'East', (13, 13))
Element 22: (2, (13, 13), ['', '', '%', ''], [(17, 9), (3, 2), (9, 2)], [False, False, True, False], 56, False, [False, False, False, False], 4638, 'East', (14, 13))
Element 23: (2, (14, 13), ['', '', '%', ''], [(16, 9), (3, 3), (10, 2)], [False, False, True, False], 54, False, [False, False, False, False], 4647, 'East', (15, 13))
Element 24: (2, (15, 13), ['', '', '%', ''], [(15, 9), (2, 3), (11, 2)], [False, False, True, False], 52, False, [False, False, False, False], 4656, 'East', (16, 13))
Element 25: (2, (16, 13), ['', '', '%', '%'], [(14, 9), (2, 2), (11, 3)], [False, False, True, True], 50, False, [False, False, False, False], 4675, 'South', (16, 12))
Element 26: (2, (16, 12), ['', '', '', '%'], [(14, 8), (2, 1), (10, 3)], [False, False, False, True], 48, False, [False, False, False, False], 4694, 'South', (16, 11))
Element 27: (2, (16, 11), ['%', '%', '', ''], [(14, 7), (1, 1), (11, 3)], [True, True, False, False], 46, False, [False, False, False, False], 4713, 'East', (17, 11))
Element 28: (2, (17, 11), ['', '', '%', ''], [(15, 7), (1, 2), (12, 3)], [False, False, True, False], 44, False, [False, False, False, False], 4732, 'East', (18, 11))
Element 29: (2, (18, 11), ['', '%', '%', '%'], [(16, 7), (1, 1), (12, 2)], [False, True, True, True], 42, False, [False, False, False, False], 4741, 'West', (17, 11))
Element 30: (2, (17, 11), ['', '', '%', ''], [(17, 7), (2, 1), (12, 1)], [False, False, True, False], 40, False, [False, False, False, False], 4750, 'South', (17, 10))
Element 31: (2, (17, 10), ['%', '', '', '%'], [(18, 7), (2, 2), (12, 2)], [True, False, False, True], 38, False, [False, False, False, False], 4759, 'South', (17, 9))
Element 32: (2, (17, 9), ['', '%', '', ''], [(17, 7), (1, 2), (11, 2)], [False, True, False, False], 36, False, [False, False, False, False], 4758, 'East', (18, 9))
Element 33: (2, (18, 9), ['', '%', '%', '%'], [(17, 6), (2, 2), (12, 2)], [False, True, True, True], 34, False, [False, False, False, False], 4767, 'West', (17, 9))
Element 34: (2, (17, 9), ['', '%', '', ''], [(16, 6), (2, 3), (13, 2)], [False, True, False, False], 32, False, [False, False, False, False], 4776, 'West', (16, 9))
Element 35: (2, (16, 9), ['', '%', '%', ''], [(15, 6), (3, 3), (13, 1)], [False, True, True, False], 30, False, [False, False, False, False], 4785, 'West', (15, 9))
Element 36: (2, (15, 9), ['', '%', '', ''], [(14, 6), (3, 2), (12, 1)], [False, True, False, False], 28, False, [False, False, False, False], 4794, 'North', (15, 10))
Element 37: (2, (15, 10), ['', '', '%', '%'], [(13, 6), (2, 2), (13, 1)], [False, False, True, True], 26, False, [False, False, False, False], 4803, 'West', (14, 10))
Element 38: (2, (14, 10), ['', '', '%', ''], [(13, 7), (3, 2), (14, 1)], [False, False, True, False], 24, False, [False, False, False, False], 4812, 'South', (14, 9))
Element 39: (2, (14, 9), ['.', '', '', ''], [(13, 8), (3, 1), (14, 2)], [False, False, False, False], 22, False, [True, False, False, False], 4821, 'West', (13, 9))
Element 40: (2, (13, 9), ['.', '', '', ''], [(12, 8), (2, 1), (13, 2)], [False, False, False, False], 20, False, [True, False, False, False], 4840, 'West', (12, 9))
Element 41: (2, (12, 9), ['.', '', '', ''], [(12, 7), (3, 1), (14, 2)], [False, False, False, False], 18, False, [True, False, False, False], 4859, 'West', (11, 9))
Element 42: (2, (11, 9), ['%', '%', '', ''], [(12, 6), (4, 1), (15, 2)], [True, True, False, False], 16, False, [False, False, False, False], 4878, 'North', (11, 10))
Element 43: (2, (11, 10), ['', '', '.', ''], [(12, 5), (4, 2), (15, 1)], [False, False, False, False], 14, False, [False, False, True, False], 4887, 'North', (11, 11))
Element 44: (2, (11, 11), ['.', '', '', '.'], [(13, 5), (3, 2), (14, 1)], [False, False, False, False], 12, False, [True, False, False, True], 4906, 'East', (12, 11))
Element 45: (2, (12, 11), ['', '', '', '.'], [(12, 5), (4, 2), (15, 1)], [False, False, False, False], 10, False, [False, False, False, True], 4915, 'East', (13, 11))
Element 46: (2, (13, 11), ['', '', '', '%'], [(11, 5), (4, 3), (15, 1)], [False, False, False, True], 8, False, [False, False, False, False], 4934, 'South', (13, 10))
Element 47: (2, (13, 10), ['', '', '', ''], [(11, 6), (3, 3), (15, 2)], [False, False, False, False], 6, False, [False, False, False, False], 4943, 'West', (12, 10))
Element 48: (2, (12, 10), ['', '', '', ''], [(11, 7), (4, 3), (14, 2)], [False, False, False, False], 4, False, [False, False, False, False], 4952, 'East', (13, 10))
Element 49: (2, (13, 10), ['', '', '', ''], [(10, 7), (5, 3), (14, 1)], [False, False, False, False], 2, False, [False, False, False, False], 4961, 'North', (13, 11))
Element 50: (2, (13, 11), ['', '', '', '%'], [(10, 7), (5, 3), (13, 1)], [False, False, False, True], 0, False, [False, False, False, False], 4960, 'Stop', (13, 11))
Element 51: #0#
