Element 1: (3, (9, 6), ['.', 'G', '.', '.'], [(9, 5), (2, 4), (2, 9)], [False, False, False, False], 98, False, [True, False, True, True], 29, 'East', (10, 6))
Element 2: (3, (10, 6), ['', 'G', '.', '.'], [(10, 5), (3, 4), (3, 9)], [False, False, False, False], 96, False, [False, False, True, True], 68, 'East', (11, 6))
Element 3: (3, (11, 6), ['', 'G', '.', '.'], [(11, 5), (3, 5), (4, 9)], [False, False, False, False], 94, False, [False, False, True, True], 107, 'East', (12, 6))
Element 4: (3, (12, 6), ['', 'G', '.', '.'], [(12, 5), (4, 5), (5, 9)], [False, False, False, False], 92, False, [False, False, True, True], 146, 'East', (13, 6))
Element 5: (3, (13, 6), ['', 'G', '.', '.'], [(13, 5), (5, 5), (5, 10)], [False, False, False, False], 90, False, [False, False, True, True], 185, 'East', (14, 6))
Element 6: (3, (14, 6), ['G', '%', '.', '.'], [(13, 6), (6, 5), (6, 10)], [False, True, False, False], 88, False, [False, False, True, True], 214, 'East', (15, 6))
Element 7: (3, (15, 6), ['', '%', '.', '.'], [(13, 7), (6, 4), (7, 10)], [False, True, False, False], 86, False, [False, False, True, True], 1243, 'East', (16, 6))
Element 8: (3, (16, 6), ['', '%', '.', '.'], [(14, 7), (6, 3), (8, 10)], [False, True, False, False], 84, False, [False, False, True, True], 1282, 'East', (17, 6))
Element 9: (3, (17, 6), ['', '%', '.', '%'], [(15, 7), (6, 2), (8, 11)], [False, True, False, True], 82, False, [False, False, True, False], 2311, 'North', (17, 7))
Element 10: (3, (17, 7), ['G', '', '%', '.'], [(16, 7), (6, 1), (9, 11)], [False, False, True, False], 80, False, [False, False, False, True], 2350, 'East', (18, 7))
Element 11: (3, (18, 7), ['G', '%', '%', '%'], [(17, 7), (7, 1), (9, 12)], [False, True, True, True], 78, False, [False, False, False, False], 3369, 'Stop', (18, 7))
Element 12: (3, (18, 7), ['', '%', '%', '%'], [(17, 6), (8, 1), (10, 12)], [False, True, True, True], 76, False, [False, False, False, False], 3388, 'West', (17, 7))
Element 13: (3, (17, 7), ['', '', '%', ''], [(16, 6), (7, 1), (11, 12)], [False, False, True, False], 74, False, [False, False, False, False], 3397, 'West', (16, 7))
Element 14: (3, (16, 7), ['', '', '%', ''], [(15, 6), (6, 1), (12, 12)], [False, False, True, False], 72, False, [False, False, False, False], 3406, 'West', (15, 7))
Element 15: (3, (15, 7), ['', '', '%', ''], [(14, 6), (5, 1), (13, 12)], [False, False, True, False], 70, False, [False, False, False, False], 3425, 'West', (14, 7))
Element 16: (3, (14, 7), ['', '', '.', ''], [(15, 6), (5, 2), (14, 12)], [False, False, False, False], 68, False, [False, False, True, False], 3444, 'North', (14, 8))
Element 17: (3, (14, 8), ['.', '', '.', '%'], [(16, 6), (5, 3), (15, 12)], [False, False, False, True], 66, False, [True, False, True, False], 3473, 'North', (14, 9))
Element 18: (3, (14, 9), ['.', '', '.', '.'], [(17, 6), (4, 3), (16, 12)], [False, False, False, False], 64, False, [True, False, True, True], 3502, 'East', (15, 9))
