Element 1: (3, (15, 9), ['G', '%', '.', '.'], [(14, 9), (5, 8), (14, 7)], [False, True, False, False], 98, False, [False, False, True, True], 29, 'East', (16, 9))
Element 2: (3, (16, 9), ['', '%', '%', '.'], [(14, 10), (6, 8), (15, 7)], [False, True, True, False], 96, False, [False, False, False, True], 1058, 'East', (17, 9))
Element 3: (3, (17, 9), ['', '%', '.', '.'], [(15, 10), (7, 8), (16, 7)], [False, True, False, False], 94, False, [False, False, True, True], 1097, 'East', (18, 9))
Element 4: (3, (18, 9), ['', '%', '%', '%'], [(15, 9), (8, 8), (17, 7)], [False, True, True, True], 92, False, [False, False, False, False], 1126, 'West', (17, 9))
Element 5: (3, (17, 9), ['G', '%', '.', ''], [(16, 9), (9, 8), (18, 7)], [False, True, False, False], 90, False, [False, False, True, False], 1145, 'North', (17, 10))
Element 6: (3, (17, 10), ['%', 'G', '.', '%'], [(17, 9), (10, 8), (17, 7)], [True, False, False, True], 88, False, [False, False, True, False], 2154, 'North', (17, 11))
Element 7: (3, (17, 11), ['.', '', '%', '.'], [(18, 9), (10, 7), (17, 6)], [False, False, True, False], 86, False, [True, False, False, True], 2183, 'East', (18, 11))
Element 8: (3, (18, 11), ['', '%', '%', '%'], [(17, 9), (11, 7), (16, 6)], [False, True, True, True], 84, False, [False, False, False, False], 2212, 'West', (17, 11))
Element 9: (3, (17, 11), ['.', 'G', '%', ''], [(17, 10), (12, 7), (15, 6)], [False, False, True, False], 82, False, [True, False, False, False], 2231, 'West', (16, 11))
Element 10: (3, (16, 11), ['%', '%', '.', 'G'], [(17, 11), (12, 8), (14, 6)], [True, True, False, False], 80, False, [False, False, True, False], 2260, 'North', (16, 12))
Element 11: (3, (16, 12), ['.', '', '.', '%'], [(18, 11), (13, 8), (13, 6)], [False, False, False, True], 78, False, [True, False, True, False], 2289, 'North', (16, 13))
Element 12: (3, (16, 13), ['.', '', '%', '%'], [(17, 11), (13, 9), (13, 5)], [False, False, True, True], 76, False, [True, False, False, False], 2318, 'West', (15, 13))
Element 13: (3, (15, 13), ['.', '.', '%', ''], [(16, 11), (13, 10), (12, 5)], [False, False, True, False], 74, False, [True, True, False, False], 2347, 'South', (15, 12))
Element 14: (3, (15, 12), ['.', '%', '', 'G'], [(16, 12), (13, 11), (12, 6)], [False, True, False, False], 72, False, [True, False, False, False], 2376, 'West', (14, 12))
Element 15: (3, (14, 12), ['G', '%', '.', ''], [(16, 13), (13, 12), (11, 6)], [False, True, False, False], 70, False, [False, False, True, False], 2405, 'North', (14, 13))
Element 16: (3, (14, 13), ['G', '', '%', 'G'], [(15, 13), (13, 13), (11, 5)], [False, False, True, False], 68, False, [False, False, False, False], 2434, 'South', (14, 12))
Element 17: (3, (14, 12), ['', '%', '', 'G'], [(15, 12), (12, 13), (10, 5)], [False, True, False, False], 66, False, [False, False, False, False], 2453, 'West', (13, 12))
Element 18: (3, (13, 12), ['G', '', '', 'G'], [(14, 12), (12, 12), (10, 6)], [False, False, False, False], 64, False, [False, False, False, False], 2472, 'North', (13, 13))
Element 19: (3, (13, 13), ['', '', '%', 'G'], [(14, 13), (12, 11), (9, 6)], [False, False, True, False], 62, False, [False, False, False, False], 2491, 'West', (12, 13))
Element 20: (3, (12, 13), ['%', '', '%', 'G'], [(13, 13), (12, 10), (9, 7)], [True, False, True, False], 60, False, [False, False, False, False], 2510, 'South', (12, 12))
Element 21: (3, (12, 12), ['.', '', '', 'G'], [(13, 12), (12, 9), (10, 7)], [False, False, False, False], 58, False, [True, False, False, False], 2519, 'West', (11, 12))
Element 22: (3, (11, 12), ['.', '.', '%', ''], [(13, 11), (11, 9), (11, 7)], [False, False, True, False], 56, False, [True, True, False, False], 2538, 'South', (11, 11))
Element 23: (3, (11, 11), ['.', 'G', '', ''], [(13, 10), (11, 10), (12, 7)], [False, False, False, False], 54, False, [True, False, False, False], 2557, 'West', (10, 11))
Element 24: (3, (10, 11), ['.', 'G', '.', ''], [(13, 9), (10, 10), (12, 8)], [False, False, False, False], 52, False, [True, False, True, False], 2576, 'North', (10, 12))
Element 25: (3, (10, 12), ['F', '', '%', ''], [(13, 8), (9, 10), (12, 9)], [False, False, True, False], 50, False, [False, False, False, False], 2595, 'West', (9, 12))
Element 26: (3, (9, 12), ['%', 'G', '%', ''], [(13, 7), (9, 11), (13, 9)], [True, False, True, False], 48, False, [False, False, False, False], 3604, 'East', (10, 12))
Element 27: (3, (10, 12), ['', '', '%', ''], [(14, 7), (8, 11), (14, 9)], [False, False, True, False], 46, False, [False, False, False, False], 4603, 'South', (10, 11))
Element 28: (3, (10, 11), ['', '', '', ''], [(15, 7), (8, 10), (15, 9)], [False, False, False, False], 44, False, [False, False, False, False], 4612, 'West', (9, 11))
Element 29: (3, (9, 11), ['', '', '', ''], [(16, 7), (7, 10), (16, 9)], [False, False, False, False], 42, False, [False, False, False, False], 4621, 'South', (9, 10))
Element 30: (3, (9, 10), ['', '%', '', ''], [(17, 7), (7, 11), (17, 9)], [False, True, False, False], 40, False, [False, False, False, False], 4630, 'East', (10, 10))
Element 31: (3, (10, 10), ['', '%', '', ''], [(18, 7), (6, 11), (18, 9)], [False, True, False, False], 38, False, [False, False, False, False], 4639, 'East', (11, 10))
Element 32: (3, (11, 10), ['', '', '', ''], [(17, 7), (6, 12), (17, 9)], [False, False, False, False], 36, False, [False, False, False, False], 4648, 'East', (12, 10))
Element 33: (3, (12, 10), ['', '', '', ''], [(17, 6), (5, 12), (17, 10)], [False, False, False, False], 34, False, [False, False, False, False], 4657, 'East', (13, 10))
Element 34: (3, (13, 10), ['', '', '', ''], [(16, 6), (5, 13), (17, 11)], [False, False, False, False], 32, False, [False, False, False, False], 4666, 'East', (14, 10))
Element 35: (3, (14, 10), ['', '', '%', ''], [(15, 6), (4, 13), (18, 11)], [False, False, True, False], 30, False, [False, False, False, False], 4675, 'East', (15, 10))
Element 36: (3, (15, 10), ['', '', '%', '%'], [(14, 6), (3, 13), (17, 11)], [False, False, True, True], 28, False, [False, False, False, False], 4684, 'West', (14, 10))
Element 37: (3, (14, 10), ['', '', '%', ''], [(13, 6), (2, 13), (16, 11)], [False, False, True, False], 26, False, [False, False, False, False], 4693, 'South', (14, 9))
Element 38: (3, (14, 9), ['', '', '', ''], [(13, 5), (1, 13), (16, 12)], [False, False, False, False], 24, False, [False, False, False, False], 4702, 'South', (14, 8))
Element 39: (3, (14, 8), ['', '', '', '%'], [(12, 5), (2, 13), (16, 13)], [False, False, False, True], 22, False, [False, False, False, False], 4701, 'South', (14, 7))
Element 40: (3, (14, 7), ['', '', '', ''], [(12, 6), (3, 13), (15, 13)], [False, False, False, False], 20, False, [False, False, False, False], 4700, 'East', (15, 7))
Element 41: (3, (15, 7), ['', '', '%', ''], [(12, 7), (4, 13), (15, 12)], [False, False, True, False], 18, False, [False, False, False, False], 4699, 'East', (16, 7))
Element 42: (3, (16, 7), ['', '', '%', ''], [(12, 8), (5, 13), (14, 12)], [False, False, True, False], 16, False, [False, False, False, False], 4698, 'East', (17, 7))
Element 43: (3, (17, 7), ['', '', '%', ''], [(12, 9), (5, 12), (14, 13)], [False, False, True, False], 14, False, [False, False, False, False], 4697, 'East', (18, 7))
Element 44: (3, (18, 7), ['', '%', '%', '%'], [(12, 10), (5, 11), (13, 13)], [False, True, True, True], 12, False, [False, False, False, False], 4706, 'West', (17, 7))
Element 45: (3, (17, 7), ['', '', '%', ''], [(12, 11), (5, 10), (13, 12)], [False, False, True, False], 10, False, [False, False, False, False], 4715, 'South', (17, 6))
Element 46: (3, (17, 6), ['', '%', '', '%'], [(12, 12), (6, 10), (13, 11)], [False, True, False, True], 8, False, [False, False, False, False], 4724, 'West', (16, 6))
Element 47: (3, (16, 6), ['', '%', '', ''], [(12, 13), (5, 10), (13, 10)], [False, True, False, False], 6, False, [False, False, False, False], 4723, 'West', (15, 6))
Element 48: (3, (15, 6), ['', '%', '', ''], [(12, 12), (5, 9), (14, 10)], [False, True, False, False], 4, False, [False, False, False, False], 4732, 'West', (14, 6))
Element 49: (3, (14, 6), ['', '%', '', ''], [(11, 12), (4, 9), (15, 10)], [False, True, False, False], 2, False, [False, False, False, False], 4741, 'West', (13, 6))
Element 50: (3, (13, 6), ['', '', '', ''], [(11, 12), (4, 9), (15, 10)], [False, False, False, False], 0, False, [False, False, False, False], 4740, 'Stop', (13, 6))
Element 51: #0#
