Element 1: (1, (9, 8), ['.', '.', '%', 'F'], [(6, 5), (11, 5), (12, 3)], [False, False, True, False], 98, False, [True, True, False, False], 9, 'East', (10, 8))
Element 2: (1, (10, 8), ['', '.', '%', '%'], [(6, 4), (12, 5), (12, 2)], [False, False, True, True], 96, False, [False, True, False, False], 2028, 'South', (10, 7))
Element 3: (1, (10, 7), ['.', '.', '', '.'], [(6, 3), (13, 5), (13, 2)], [False, False, False, False], 94, False, [True, True, False, True], 2067, 'East', (11, 7))
Element 4: (1, (11, 7), ['', '.', '%', '.'], [(6, 2), (13, 6), (14, 2)], [False, False, True, False], 92, False, [False, True, False, True], 2106, 'East', (12, 7))
Element 5: (1, (12, 7), ['', '.', '.', '.'], [(6, 1), (14, 6), (15, 2)], [False, False, False, False], 90, False, [False, True, True, True], 2145, 'East', (13, 7))
Element 6: (1, (13, 7), ['', '', '.', '.'], [(7, 1), (15, 6), (15, 1)], [False, False, False, False], 88, False, [False, False, True, True], 2184, 'East', (14, 7))
Element 7: (1, (14, 7), ['', '', '.', '.'], [(8, 1), (16, 6), (14, 1)], [False, False, False, False], 86, False, [False, False, True, True], 2223, 'East', (15, 7))
Element 8: (1, (15, 7), ['', '', '%', '.'], [(7, 1), (17, 6), (13, 1)], [False, False, True, False], 84, False, [False, False, False, True], 2252, 'East', (16, 7))
Element 9: (1, (16, 7), ['', '', '%', 'G'], [(6, 1), (17, 7), (12, 1)], [False, False, True, False], 82, False, [False, False, False, False], 2281, 'South', (16, 6))
Element 10: (1, (16, 6), ['', '%', '', ''], [(5, 1), (18, 7), (11, 1)], [False, True, False, False], 80, False, [False, False, False, False], 2310, 'East', (17, 6))
Element 11: (1, (17, 6), ['', '%', 'G', '%'], [(5, 2), (17, 7), (11, 2)], [False, True, False, True], 78, False, [False, False, False, False], 2329, 'West', (16, 6))
Element 12: (1, (16, 6), ['', '%', 'G', ''], [(5, 3), (16, 7), (11, 3)], [False, True, False, False], 76, False, [False, False, False, False], 2348, 'West', (15, 6))
Element 13: (1, (15, 6), ['', '%', 'G', ''], [(4, 3), (15, 7), (10, 3)], [False, True, False, False], 74, False, [False, False, False, False], 2367, 'West', (14, 6))
Element 14: (1, (14, 6), ['', '%', 'G', ''], [(4, 2), (14, 7), (10, 2)], [False, True, False, False], 72, False, [False, False, False, False], 2386, 'West', (13, 6))
Element 15: (1, (13, 6), ['.', '', '', ''], [(4, 1), (14, 8), (9, 2)], [False, False, False, False], 70, False, [True, False, False, False], 2415, 'West', (12, 6))
Element 16: (1, (12, 6), ['.', '', '', ''], [(3, 1), (14, 9), (9, 3)], [False, False, False, False], 68, False, [True, False, False, False], 2454, 'West', (11, 6))
Element 17: (1, (11, 6), ['.', '', '', ''], [(3, 2), (15, 9), (9, 2)], [False, False, False, False], 66, False, [True, False, False, False], 2483, 'West', (10, 6))
Element 18: (1, (10, 6), ['.', '.', '', ''], [(3, 3), (16, 9), (10, 2)], [False, False, False, False], 64, False, [True, True, False, False], 2512, 'South', (10, 5))
Element 19: (1, (10, 5), ['.', '%', '', ''], [(3, 4), (17, 9), (10, 3)], [False, True, False, False], 62, False, [True, False, False, False], 2541, 'West', (9, 5))
