Element 19: (3, (15, 13), ['', '', '%', ''], [(17, 11), (14, 6), (16, 12)], [False, False, True, False], 62, False, [False, False, False, False], 4521, 'East', (16, 13))
Element 20: (3, (16, 13), ['', '', '%', '%'], [(16, 11), (13, 6), (15, 12)], [False, False, True, True], 60, False, [False, False, False, False], 4530, 'South', (16, 12))
Element 21: (3, (16, 12), ['', '', '', '%'], [(17, 11), (13, 5), (14, 12)], [False, False, False, True], 58, False, [False, False, False, False], 4539, 'South', (16, 11))
Element 22: (3, (16, 11), ['%', '%', '', ''], [(17, 10), (12, 5), (15, 12)], [True, True, False, False], 56, False, [False, False, False, False], 4548, 'East', (17, 11))
Element 23: (3, (17, 11), ['', '', '%', ''], [(17, 9), (12, 6), (15, 13)], [False, False, True, False], 54, False, [False, False, False, False], 4557, 'East', (18, 11))
Element 24: (3, (18, 11), ['', '%', '%', '%'], [(16, 9), (11, 6), (16, 13)], [False, True, True, True], 52, False, [False, False, False, False], 4566, 'West', (17, 11))
Element 25: (3, (17, 11), ['', '', '%', ''], [(15, 9), (11, 5), (15, 13)], [False, False, True, False], 50, False, [False, False, False, False], 4575, 'South', (17, 10))
Element 26: (3, (17, 10), ['%', '', '', '%'], [(14, 9), (10, 5), (14, 13)], [True, False, False, True], 48, False, [False, False, False, False], 4594, 'South', (17, 9))
Element 27: (3, (17, 9), ['', '%', '', ''], [(14, 8), (10, 6), (13, 13)], [False, True, False, False], 46, False, [False, False, False, False], 4613, 'East', (18, 9))
Element 28: (3, (18, 9), ['', '%', '%', '%'], [(13, 8), (9, 6), (12, 13)], [False, True, True, True], 44, False, [False, False, False, False], 4632, 'West', (17, 9))
Element 29: (3, (17, 9), ['', '%', '', ''], [(13, 9), (9, 7), (12, 12)], [False, True, False, False], 42, False, [False, False, False, False], 4651, 'West', (16, 9))
Element 30: (3, (16, 9), ['', '%', '%', ''], [(12, 9), (9, 6), (11, 12)], [False, True, True, False], 40, False, [False, False, False, False], 4660, 'West', (15, 9))
Element 31: (3, (15, 9), ['', '%', '', ''], [(12, 8), (9, 5), (10, 12)], [False, True, False, False], 38, False, [False, False, False, False], 4679, 'North', (15, 10))
Element 32: (3, (15, 10), ['', '', '%', '%'], [(12, 7), (8, 5), (9, 12)], [False, False, True, True], 36, False, [False, False, False, False], 4688, 'West', (14, 10))
Element 33: (3, (14, 10), ['', '', '%', ''], [(13, 7), (8, 6), (10, 12)], [False, False, True, False], 34, False, [False, False, False, False], 4697, 'South', (14, 9))
Element 34: (3, (14, 9), ['', '', '', ''], [(14, 7), (7, 6), (11, 12)], [False, False, False, False], 32, False, [False, False, False, False], 4706, 'South', (14, 8))
Element 35: (3, (14, 8), ['', '', '', '%'], [(15, 7), (7, 5), (12, 12)], [False, False, False, True], 30, False, [False, False, False, False], 4715, 'South', (14, 7))
Element 36: (3, (14, 7), ['', '', '', ''], [(16, 7), (6, 5), (12, 13)], [False, False, False, False], 28, False, [False, False, False, False], 4724, 'East', (15, 7))
Element 37: #1#
