Element 1: (0, (6, 5), ['.', 'F', '.', '.'], [(6, 10), (9, 2), (17, 10)], [False, False, False, False], 98, False, [True, False, True, True], 0, 'South', (6, 4))
Element 2: (0, (6, 4), ['%', '.', '', '%'], [(7, 10), (10, 2), (17, 11)], [True, False, False, True], 96, False, [False, True, False, False], 1029, 'South', (6, 3))
Element 3: (0, (6, 3), ['.', '.', '', '%'], [(8, 10), (11, 2), (18, 11)], [False, False, False, True], 94, False, [True, True, False, False], 1068, 'South', (6, 2))
Element 4: (0, (6, 2), ['.', '.', '', '%'], [(8, 11), (12, 2), (17, 11)], [False, False, False, True], 92, False, [True, True, False, False], 2087, 'South', (6, 1))
Element 5: (0, (6, 1), ['.', '%', '', '.'], [(9, 11), (13, 2), (16, 11)], [False, True, False, False], 90, False, [True, False, False, True], 2126, 'East', (7, 1))
Element 6: (0, (7, 1), ['', '%', '%', '.'], [(9, 12), (14, 2), (16, 12)], [False, True, True, False], 88, False, [False, False, False, True], 3155, 'East', (8, 1))
Element 7: (0, (8, 1), ['', '%', '%', '%'], [(10, 12), (15, 2), (16, 13)], [False, True, True, True], 86, False, [False, False, False, False], 3194, 'West', (7, 1))
Element 8: (0, (7, 1), ['', '%', '%', ''], [(11, 12), (15, 1), (15, 13)], [False, True, True, False], 84, False, [False, False, False, False], 3223, 'West', (6, 1))
Element 9: (0, (6, 1), ['.', '%', '', ''], [(12, 12), (14, 1), (15, 12)], [False, True, False, False], 82, False, [True, False, False, False], 3252, 'West', (5, 1))
Element 10: (0, (5, 1), ['.', '%', '.', ''], [(13, 12), (13, 1), (14, 12)], [False, True, False, False], 80, False, [True, False, True, False], 3291, 'North', (5, 2))
Element 11: (0, (5, 2), ['.', '', '.', ''], [(13, 13), (12, 1), (14, 13)], [False, False, False, False], 78, False, [True, False, True, False], 3330, 'North', (5, 3))
Element 12: (0, (5, 3), ['.', '', '%', ''], [(12, 13), (11, 1), (13, 13)], [False, False, True, False], 76, False, [True, False, False, False], 3359, 'West', (4, 3))
Element 13: (0, (4, 3), ['.', '.', '%', ''], [(12, 12), (12, 1), (13, 12)], [False, False, True, False], 74, False, [True, True, False, False], 3368, 'South', (4, 2))
Element 14: (0, (4, 2), ['.', '.', '', ''], [(11, 12), (13, 1), (13, 11)], [False, False, False, False], 72, False, [True, True, False, False], 3387, 'South', (4, 1))
Element 15: (0, (4, 1), ['.', '%', '', ''], [(10, 12), (14, 1), (13, 10)], [False, True, False, False], 70, False, [True, False, False, False], 3406, 'West', (3, 1))
