Element 1: (3, (8, 10), ['.', '%', 'F', '.'], [(14, 9), (2, 6), (7, 1)], [False, True, False, False], 98, False, [True, False, False, True], 29, 'North', (8, 11))
Element 2: (3, (8, 11), ['.', '', '%', '.'], [(15, 9), (3, 6), (6, 1)], [False, False, True, False], 96, False, [True, False, False, True], 1058, 'East', (9, 11))
Element 3: (3, (9, 11), ['', '.', 'F', '.'], [(16, 9), (4, 6), (6, 2)], [False, False, False, False], 94, False, [False, True, False, True], 1097, 'North', (9, 12))
Element 4: (3, (9, 12), ['%', '', '%', '.'], [(17, 9), (5, 6), (6, 3)], [True, False, True, False], 92, False, [False, False, False, True], 2126, 'East', (10, 12))
Element 5: (3, (10, 12), ['', '.', '%', '.'], [(18, 9), (6, 6), (6, 4)], [False, False, True, False], 90, False, [False, True, False, True], 3155, 'East', (11, 12))
Element 6: (3, (11, 12), ['', '.', '%', '.'], [(17, 9), (7, 6), (6, 5)], [False, False, True, False], 88, False, [False, True, False, True], 3184, 'East', (12, 12))
Element 7: (3, (12, 12), ['', '.', '.', '.'], [(17, 10), (8, 6), (7, 5)], [False, False, False, False], 86, False, [False, True, True, True], 3223, 'East', (13, 12))
Element 8: (3, (13, 12), ['', '.', '.', '.'], [(17, 11), (9, 6), (8, 5)], [False, False, False, False], 84, False, [False, True, True, True], 3262, 'East', (14, 12))
Element 9: (3, (14, 12), ['', '%', '.', '.'], [(18, 11), (10, 6), (9, 5)], [False, True, False, False], 82, False, [False, False, True, True], 3301, 'East', (15, 12))
Element 10: (3, (15, 12), ['', '%', '.', '.'], [(17, 11), (11, 6), (10, 5)], [False, True, False, False], 80, False, [False, False, True, True], 3330, 'East', (16, 12))
Element 11: (3, (16, 12), ['', 'G', '.', '%'], [(16, 11), (12, 6), (11, 5)], [False, False, False, True], 78, False, [False, False, True, False], 3369, 'North', (16, 13))
Element 12: (3, (16, 13), ['.', 'G', '%', '%'], [(16, 12), (13, 6), (12, 5)], [False, False, True, True], 76, False, [True, False, False, False], 3398, 'West', (15, 13))
Element 13: (3, (15, 13), ['.', '', '%', 'G'], [(16, 13), (14, 6), (13, 5)], [False, False, True, False], 74, False, [True, False, False, False], 3427, 'West', (14, 13))
Element 14: (3, (14, 13), ['.', '', '%', 'G'], [(15, 13), (15, 6), (13, 6)], [False, False, True, False], 72, False, [True, False, False, False], 3446, 'West', (13, 13))
Element 15: (3, (13, 13), ['.', '', '%', ''], [(15, 12), (16, 6), (13, 7)], [False, False, True, False], 70, False, [True, False, False, False], 3475, 'West', (12, 13))
Element 16: (3, (12, 13), ['%', '', '%', ''], [(14, 12), (17, 6), (14, 7)], [True, False, True, False], 68, False, [False, False, False, False], 3504, 'East', (13, 13))
Element 17: (3, (13, 13), ['', '', '%', 'G'], [(14, 13), (17, 7), (15, 7)], [False, False, True, False], 66, False, [False, False, False, False], 3523, 'West', (12, 13))
Element 18: (3, (12, 13), ['%', '', '%', 'G'], [(13, 13), (18, 7), (16, 7)], [True, False, True, False], 64, False, [False, False, False, False], 3542, 'East', (13, 13))
Element 19: (3, (13, 13), ['', 'G', '%', ''], [(13, 12), (17, 7), (16, 6)], [False, False, True, False], 62, False, [False, False, False, False], 3541, 'East', (14, 13))
Element 20: (3, (14, 13), ['', '', '%', ''], [(13, 11), (16, 7), (17, 6)], [False, False, True, False], 60, False, [False, False, False, False], 3550, 'South', (14, 12))
Element 21: (3, (14, 12), ['', '%', '', ''], [(13, 10), (15, 7), (17, 7)], [False, True, False, False], 58, False, [False, False, False, False], 3559, 'East', (15, 12))
Element 22: (3, (15, 12), ['', '%', '', ''], [(14, 10), (14, 7), (18, 7)], [False, True, False, False], 56, False, [False, False, False, False], 3568, 'North', (15, 13))
Element 23: (3, (15, 13), ['', '', '%', ''], [(15, 10), (14, 8), (17, 7)], [False, False, True, False], 54, False, [False, False, False, False], 3587, 'South', (15, 12))
Element 24: (3, (15, 12), ['', '%', '', ''], [(14, 10), (13, 8), (17, 6)], [False, True, False, False], 52, False, [False, False, False, False], 3596, 'West', (14, 12))
Element 25: (3, (14, 12), ['', '%', '', ''], [(13, 10), (12, 8), (16, 6)], [False, True, False, False], 50, False, [False, False, False, False], 3605, 'North', (14, 13))
Element 26: (3, (14, 13), ['', '', '%', ''], [(12, 10), (12, 9), (15, 6)], [False, False, True, False], 48, False, [False, False, False, False], 3624, 'South', (14, 12))
Element 27: (3, (14, 12), ['', '%', '', ''], [(12, 11), (11, 9), (14, 6)], [False, True, False, False], 46, False, [False, False, False, False], 3643, 'West', (13, 12))
Element 28: (3, (13, 12), ['', '', '', ''], [(11, 11), (11, 10), (15, 6)], [False, False, False, False], 44, False, [False, False, False, False], 3662, 'North', (13, 13))
Element 29: (3, (13, 13), ['', '', '%', ''], [(10, 11), (10, 10), (16, 6)], [False, False, True, False], 42, False, [False, False, False, False], 3681, 'South', (13, 12))
Element 30: (3, (13, 12), ['', '', '', ''], [(10, 12), (9, 10), (16, 7)], [False, False, False, False], 40, False, [False, False, False, False], 3690, 'South', (13, 11))
Element 31: (3, (13, 11), ['', '', '', '%'], [(11, 12), (9, 11), (15, 7)], [False, False, False, True], 38, False, [False, False, False, False], 3689, 'South', (13, 10))
Element 32: (3, (13, 10), ['', '', '', ''], [(12, 12), (10, 11), (15, 6)], [False, False, False, False], 36, False, [False, False, False, False], 3688, 'East', (14, 10))
Element 33: (3, (14, 10), ['', '', '%', ''], [(12, 13), (11, 11), (15, 7)], [False, False, True, False], 34, False, [False, False, False, False], 3687, 'East', (15, 10))
Element 34: (3, (15, 10), ['', '', '%', '%'], [(12, 12), (12, 11), (14, 7)], [False, False, True, True], 32, False, [False, False, False, False], 3686, 'South', (15, 9))
Element 35: (3, (15, 9), ['', '%', '', ''], [(11, 12), (13, 11), (14, 8)], [False, True, False, False], 30, False, [False, False, False, False], 3685, 'East', (16, 9))
Element 36: (3, (16, 9), ['', '%', '%', ''], [(10, 12), (13, 12), (14, 9)], [False, True, True, False], 28, False, [False, False, False, False], 3684, 'East', (17, 9))
Element 37: (3, (17, 9), ['', '%', '', ''], [(9, 12), (14, 12), (15, 9)], [False, True, False, False], 26, False, [False, False, False, False], 3683, 'East', (18, 9))
Element 38: (3, (18, 9), ['', '%', '%', '%'], [(9, 11), (15, 12), (16, 9)], [False, True, True, True], 24, False, [False, False, False, False], 3682, 'West', (17, 9))
Element 39: (3, (17, 9), ['', '%', '', ''], [(9, 10), (16, 12), (15, 9)], [False, True, False, False], 22, False, [False, False, False, False], 3681, 'North', (17, 10))
Element 40: (3, (17, 10), ['%', '', '', '%'], [(10, 10), (16, 13), (15, 10)], [True, False, False, True], 20, False, [False, False, False, False], 3680, 'North', (17, 11))
Element 41: (3, (17, 11), ['', '', '%', ''], [(11, 10), (15, 13), (14, 10)], [False, False, True, False], 18, False, [False, False, False, False], 3679, 'East', (18, 11))
Element 42: (3, (18, 11), ['', '%', '%', '%'], [(11, 9), (14, 13), (13, 10)], [False, True, True, True], 16, False, [False, False, False, False], 3678, 'West', (17, 11))
