Element 1: (0, (12, 5), ['.', '%', 'G', '.'], [(10, 6), (12, 6), (13, 10)], [False, True, False, False], 98, False, [True, False, False, True], 0, 'East', (13, 5))
Element 2: (0, (13, 5), ['', '%', 'G', '%'], [(11, 6), (13, 6), (14, 10)], [False, True, False, True], 96, False, [False, False, False, False], 39, 'West', (12, 5))
Element 3: (0, (12, 5), ['.', '%', '', ''], [(11, 7), (14, 6), (15, 10)], [False, True, False, False], 94, False, [True, False, False, False], 68, 'West', (11, 5))
Element 4: (0, (11, 5), ['.', '%', '', ''], [(12, 7), (15, 6), (15, 9)], [False, True, False, False], 92, False, [True, False, False, False], 107, 'West', (10, 5))
Element 5: (0, (10, 5), ['.', '%', '', ''], [(13, 7), (16, 6), (16, 9)], [False, True, False, False], 90, False, [True, False, False, False], 146, 'West', (9, 5))
Element 6: (0, (9, 5), ['.', '%', '.', ''], [(14, 7), (17, 6), (17, 9)], [False, True, False, False], 88, False, [True, False, True, False], 185, 'North', (9, 6))
Element 7: (0, (9, 6), ['.', '', '.', ''], [(15, 7), (17, 7), (18, 9)], [False, False, False, False], 86, False, [True, False, True, False], 224, 'North', (9, 7))
Element 8: (0, (9, 7), ['%', '', '.', '.'], [(16, 7), (18, 7), (17, 9)], [True, False, False, False], 84, False, [False, False, True, True], 253, 'East', (10, 7))
Element 9: (0, (10, 7), ['', '', 'F', ''], [(17, 7), (18, 7), (17, 10)], [False, False, False, False], 82, False, [False, False, False, False], 272, 'North', (10, 8))
Element 10: (0, (10, 8), ['.', '', '%', '%'], [(17, 6), (17, 7), (17, 11)], [False, False, True, True], 80, False, [True, False, False, False], 1281, 'West', (9, 8))
Element 11: (0, (9, 8), ['.', '', '%', ''], [(16, 6), (16, 7), (18, 11)], [False, False, True, False], 78, False, [True, False, False, False], 1300, 'West', (8, 8))
Element 12: (0, (8, 8), ['.', '%', '%', ''], [(15, 6), (15, 7), (17, 11)], [False, True, True, False], 76, False, [True, False, False, False], 1309, 'West', (7, 8))
Element 13: (0, (7, 8), ['F', '%', '%', ''], [(14, 6), (14, 7), (16, 11)], [False, True, True, False], 74, False, [False, False, False, False], 1328, 'West', (6, 8))
Element 14: (0, (6, 8), ['.', '%', '%', ''], [(13, 6), (14, 8), (16, 12)], [False, True, True, False], 72, False, [True, False, False, False], 2347, 'West', (5, 8))
Element 15: (0, (5, 8), ['.', '%', '.', ''], [(13, 5), (14, 9), (16, 13)], [False, True, False, False], 70, False, [True, False, True, False], 2376, 'North', (5, 9))
Element 16: (0, (5, 9), ['.', '', '.', '%'], [(12, 5), (13, 9), (15, 13)], [False, False, False, True], 68, False, [True, False, True, False], 2405, 'North', (5, 10))
Element 17: (0, (5, 10), ['.', '', '.', '.'], [(12, 6), (13, 8), (15, 12)], [False, False, False, False], 66, False, [True, False, True, True], 2434, 'East', (6, 10))
Element 18: (0, (6, 10), ['', '%', '.', '.'], [(12, 5), (12, 8), (14, 12)], [False, True, False, False], 64, False, [False, False, True, True], 2463, 'East', (7, 10))
Element 19: (0, (7, 10), ['', '%', '.', '.'], [(11, 5), (12, 9), (14, 13)], [False, True, False, False], 62, False, [False, False, True, True], 2492, 'East', (8, 10))
Element 20: (0, (8, 10), ['', '%', 'F', '.'], [(10, 5), (12, 10), (13, 13)], [False, True, False, False], 60, False, [False, False, False, True], 2521, 'North', (8, 11))
Element 21: (0, (8, 11), ['.', '', '%', '.'], [(9, 5), (12, 11), (13, 12)], [False, False, True, False], 58, False, [True, False, False, True], 3540, 'East', (9, 11))
Element 22: (0, (9, 11), ['', '.', 'F', '.'], [(8, 5), (13, 11), (12, 12)], [False, False, False, False], 56, False, [False, True, False, True], 3579, 'North', (9, 12))
Element 23: (0, (9, 12), ['%', '', '%', '.'], [(8, 6), (13, 12), (12, 13)], [True, False, True, False], 54, False, [False, False, False, True], 4598, 'East', (10, 12))
Element 24: (0, (10, 12), ['', '.', '%', '.'], [(7, 6), (14, 12), (12, 12)], [False, False, True, False], 52, False, [False, True, False, True], 4617, 'East', (11, 12))
Element 25: (0, (11, 12), ['', '.', '%', ''], [(7, 5), (15, 12), (12, 11)], [False, False, True, False], 50, False, [False, True, False, False], 4636, 'South', (11, 11))
Element 26: (0, (11, 11), ['.', '.', '', ''], [(6, 5), (16, 12), (13, 11)], [False, False, False, False], 48, False, [True, True, False, False], 4655, 'South', (11, 10))
Element 27: #1#
