Element 1: (1, (1, 6), ['%', '%', '.', '.'], [(14, 8), (13, 10), (16, 12)], [True, True, False, False], 98, False, [False, False, True, True], 9, 'East', (2, 6))
Element 2: (1, (2, 6), ['', '.', '.', '.'], [(14, 9), (14, 10), (16, 13)], [False, False, False, False], 96, False, [False, True, True, True], 48, 'East', (3, 6))
Element 3: (1, (3, 6), ['', '.', '.', '.'], [(15, 9), (15, 10), (15, 13)], [False, False, False, False], 94, False, [False, True, True, True], 87, 'East', (4, 6))
Element 4: (1, (4, 6), ['', '.', '.', '.'], [(16, 9), (14, 10), (15, 12)], [False, False, False, False], 92, False, [False, True, True, True], 116, 'East', (5, 6))
Element 5: (1, (5, 6), ['', '.', '%', '.'], [(17, 9), (13, 10), (14, 12)], [False, False, True, False], 90, False, [False, True, False, True], 145, 'East', (6, 6))
Element 6: (1, (6, 6), ['', '.', '%', '.'], [(18, 9), (13, 11), (14, 13)], [False, False, True, False], 88, False, [False, True, False, True], 184, 'East', (7, 6))
Element 7: (1, (7, 6), ['', '.', '%', '.'], [(17, 9), (13, 12), (13, 13)], [False, False, True, False], 86, False, [False, True, False, True], 213, 'East', (8, 6))
Element 8: (1, (8, 6), ['', '.', '%', '.'], [(17, 10), (12, 12), (12, 13)], [False, False, True, False], 84, False, [False, True, False, True], 252, 'East', (9, 6))
Element 9: (1, (9, 6), ['', '.', '.', '.'], [(17, 11), (12, 11), (12, 12)], [False, False, False, False], 82, False, [False, True, True, True], 281, 'East', (10, 6))
Element 10: (1, (10, 6), ['', '.', '.', '.'], [(18, 11), (12, 10), (11, 12)], [False, False, False, False], 80, False, [False, True, True, True], 320, 'East', (11, 6))
Element 11: (1, (11, 6), ['', '.', '.', '.'], [(17, 11), (12, 9), (11, 11)], [False, False, False, False], 78, False, [False, True, True, True], 349, 'East', (12, 6))
Element 12: (1, (12, 6), ['', '.', '.', '.'], [(16, 11), (13, 9), (11, 10)], [False, False, False, False], 76, False, [False, True, True, True], 388, 'East', (13, 6))
Element 13: (1, (13, 6), ['', '.', '.', '.'], [(16, 12), (14, 9), (11, 9)], [False, False, False, False], 74, False, [False, True, True, True], 407, 'East', (14, 6))
Element 14: (1, (14, 6), ['', '%', '.', '.'], [(16, 13), (15, 9), (12, 9)], [False, True, False, False], 72, False, [False, False, True, True], 416, 'East', (15, 6))
Element 15: (1, (15, 6), ['', '%', '.', '.'], [(15, 13), (16, 9), (12, 8)], [False, True, False, False], 70, False, [False, False, True, True], 435, 'East', (16, 6))
Element 16: (1, (16, 6), ['', '%', '.', '.'], [(15, 12), (17, 9), (12, 7)], [False, True, False, False], 68, False, [False, False, True, True], 454, 'East', (17, 6))
Element 17: (1, (17, 6), ['', '%', '.', '%'], [(14, 12), (18, 9), (13, 7)], [False, True, False, True], 66, False, [False, False, True, False], 473, 'North', (17, 7))
Element 18: (1, (17, 7), ['.', '', '%', '.'], [(14, 13), (17, 9), (14, 7)], [False, False, True, False], 64, False, [True, False, False, True], 492, 'East', (18, 7))
Element 19: (1, (18, 7), ['', '%', '%', '%'], [(13, 13), (17, 10), (15, 7)], [False, True, True, True], 62, False, [False, False, False, False], 511, 'West', (17, 7))
Element 20: (1, (17, 7), ['G', '', '%', ''], [(13, 12), (17, 11), (16, 7)], [False, False, True, False], 60, False, [False, False, False, False], 520, 'South', (17, 6))
Element 21: (1, (17, 6), ['', '%', 'G', '%'], [(13, 11), (18, 11), (17, 7)], [False, True, False, True], 58, False, [False, False, False, False], 519, 'West', (16, 6))
Element 22: (1, (16, 6), ['', '%', '', ''], [(13, 10), (17, 11), (18, 7)], [False, True, False, False], 56, False, [False, False, False, False], 518, 'East', (17, 6))
Element 23: (1, (17, 6), ['', '%', 'G', '%'], [(14, 10), (16, 11), (17, 7)], [False, True, False, True], 54, False, [False, False, False, False], 517, 'West', (16, 6))
Element 24: (1, (16, 6), ['', '%', '', 'G'], [(15, 10), (16, 12), (17, 6)], [False, True, False, False], 52, False, [False, False, False, False], 516, 'North', (16, 7))
Element 25: (1, (16, 7), ['', 'G', '%', ''], [(14, 10), (16, 13), (16, 6)], [False, False, True, False], 50, False, [False, False, False, False], 515, 'West', (15, 7))
Element 26: (1, (15, 7), ['', 'G', '%', ''], [(13, 10), (15, 13), (15, 6)], [False, False, True, False], 48, False, [False, False, False, False], 514, 'West', (14, 7))
Element 27: (1, (14, 7), ['', 'G', '', ''], [(13, 9), (15, 12), (14, 6)], [False, False, False, False], 46, False, [False, False, False, False], 513, 'North', (14, 8))
Element 28: (1, (14, 8), ['', '', '', '%'], [(12, 9), (14, 12), (13, 6)], [False, False, False, True], 44, False, [False, False, False, False], 512, 'North', (14, 9))
Element 29: (1, (14, 9), ['', '', '', ''], [(12, 10), (14, 13), (13, 5)], [False, False, False, False], 42, False, [False, False, False, False], 521, 'East', (15, 9))
Element 30: (1, (15, 9), ['', '%', '', ''], [(12, 11), (13, 13), (12, 5)], [False, True, False, False], 40, False, [False, False, False, False], 530, 'East', (16, 9))
Element 31: (1, (16, 9), ['', '%', '%', ''], [(12, 12), (12, 13), (11, 5)], [False, True, True, False], 38, False, [False, False, False, False], 539, 'East', (17, 9))
Element 32: (1, (17, 9), ['', '%', '', ''], [(12, 13), (13, 13), (10, 5)], [False, True, False, False], 36, False, [False, False, False, False], 548, 'East', (18, 9))
Element 33: (1, (18, 9), ['', '%', '%', '%'], [(12, 12), (14, 13), (9, 5)], [False, True, True, True], 34, False, [False, False, False, False], 557, 'West', (17, 9))
Element 34: (1, (17, 9), ['', '%', '', ''], [(11, 12), (14, 12), (8, 5)], [False, True, False, False], 32, False, [False, False, False, False], 566, 'North', (17, 10))
Element 35: (1, (17, 10), ['%', '', '', '%'], [(10, 12), (15, 12), (7, 5)], [True, False, False, True], 30, False, [False, False, False, False], 585, 'North', (17, 11))
Element 36: (1, (17, 11), ['', '', '%', ''], [(9, 12), (15, 13), (6, 5)], [False, False, True, False], 28, False, [False, False, False, False], 1594, 'East', (18, 11))
Element 37: (1, (18, 11), ['', '%', '%', '%'], [(9, 11), (14, 13), (6, 4)], [False, True, True, True], 26, False, [False, False, False, False], 2603, 'West', (17, 11))
Element 38: (1, (17, 11), ['', '', '%', ''], [(8, 11), (15, 13), (6, 3)], [False, False, True, False], 24, False, [False, False, False, False], 3612, 'West', (16, 11))
Element 39: (1, (16, 11), ['%', '%', '', ''], [(8, 10), (16, 13), (6, 2)], [True, True, False, False], 22, False, [False, False, False, False], 3631, 'North', (16, 12))
Element 40: (1, (16, 12), ['', '', '', '%'], [(9, 10), (15, 13), (6, 1)], [False, False, False, True], 20, False, [False, False, False, False], 3650, 'North', (16, 13))
Element 41: (1, (16, 13), ['', '', '%', '%'], [(10, 10), (15, 12), (7, 1)], [False, False, True, True], 18, False, [False, False, False, False], 3669, 'West', (15, 13))
Element 42: (1, (15, 13), ['', '', '%', ''], [(10, 11), (16, 12), (8, 1)], [False, False, True, False], 16, False, [False, False, False, False], 3688, 'South', (15, 12))
Element 43: (1, (15, 12), ['', '%', '', ''], [(11, 11), (16, 11), (7, 1)], [False, True, False, False], 14, False, [False, False, False, False], 3687, 'West', (14, 12))
Element 44: (1, (14, 12), ['', '%', '', ''], [(11, 10), (17, 11), (6, 1)], [False, True, False, False], 12, False, [False, False, False, False], 3686, 'North', (14, 13))
Element 45: (1, (14, 13), ['', '', '%', ''], [(11, 9), (17, 10), (5, 1)], [False, False, True, False], 10, False, [False, False, False, False], 3695, 'West', (13, 13))
Element 46: (1, (13, 13), ['', '', '%', ''], [(11, 10), (17, 9), (5, 2)], [False, False, True, False], 8, False, [False, False, False, False], 3704, 'South', (13, 12))
Element 47: (1, (13, 12), ['', '', '', ''], [(11, 11), (16, 9), (5, 3)], [False, False, False, False], 6, False, [False, False, False, False], 3713, 'South', (13, 11))
Element 48: (1, (13, 11), ['', '', '', '%'], [(10, 11), (15, 9), (4, 3)], [False, False, False, True], 4, False, [False, False, False, False], 3722, 'South', (13, 10))
Element 49: (1, (13, 10), ['', '', '', ''], [(10, 10), (14, 9), (4, 2)], [False, False, False, False], 2, False, [False, False, False, False], 3731, 'East', (14, 10))
