Element 1: (1, (6, 3), ['.', '.', 'F', '%'], [(3, 5), (8, 5), (9, 6)], [False, False, False, True], 98, False, [True, True, False, False], 9, 'North', (6, 4))
Element 2: (1, (6, 4), ['%', '', '.', '%'], [(4, 5), (9, 5), (10, 6)], [True, False, False, True], 96, False, [False, False, True, False], 1038, 'North', (6, 5))
Element 3: (1, (6, 5), ['G', '', '.', '.'], [(5, 5), (10, 5), (11, 6)], [False, False, False, False], 94, False, [False, False, True, True], 1077, 'East', (7, 5))
Element 4: (1, (7, 5), ['', '%', '.', ''], [(5, 6), (11, 5), (12, 6)], [False, True, False, False], 92, False, [False, False, True, False], 1116, 'North', (7, 6))
Element 5: (1, (7, 6), ['G', '', '%', '.'], [(6, 6), (12, 5), (13, 6)], [False, False, True, False], 90, False, [False, False, False, True], 1155, 'East', (8, 6))
Element 6: (1, (8, 6), ['G', '', '%', ''], [(7, 6), (13, 5), (14, 6)], [False, False, True, False], 88, False, [False, False, False, False], 1184, 'East', (9, 6))
Element 7: (1, (9, 6), ['G', '', '.', ''], [(8, 6), (13, 6), (15, 6)], [False, False, False, False], 86, False, [False, False, True, False], 1193, 'North', (9, 7))
Element 8: (1, (9, 7), ['%', 'G', '.', '.'], [(9, 6), (13, 7), (16, 6)], [True, False, False, False], 84, False, [False, False, True, True], 1222, 'East', (10, 7))
Element 9: (1, (10, 7), ['', 'G', 'F', '.'], [(10, 6), (14, 7), (17, 6)], [False, False, False, False], 82, False, [False, False, False, True], 1251, 'North', (10, 8))
Element 10: (1, (10, 8), ['.', '', '%', '%'], [(11, 6), (15, 7), (17, 7)], [False, False, True, True], 80, False, [True, False, False, False], 2270, 'West', (9, 8))
Element 11: (1, (9, 8), ['.', '', '%', ''], [(11, 7), (16, 7), (18, 7)], [False, False, True, False], 78, False, [True, False, False, False], 2309, 'West', (8, 8))
Element 12: (1, (8, 8), ['.', '%', '%', ''], [(12, 7), (17, 7), (18, 7)], [False, True, True, False], 76, False, [True, False, False, False], 2328, 'West', (7, 8))
Element 13: (1, (7, 8), ['F', '%', '%', ''], [(12, 8), (17, 6), (17, 7)], [False, True, True, False], 74, False, [False, False, False, False], 2347, 'West', (6, 8))
Element 14: (1, (6, 8), ['.', '%', '%', ''], [(13, 8), (16, 6), (16, 7)], [False, True, True, False], 72, False, [True, False, False, False], 3356, 'West', (5, 8))
Element 15: (1, (5, 8), ['.', '%', '.', ''], [(14, 8), (15, 6), (15, 7)], [False, True, False, False], 70, False, [True, False, True, False], 3375, 'North', (5, 9))
Element 16: (1, (5, 9), ['.', '', '.', '%'], [(14, 9), (14, 6), (14, 7)], [False, False, False, True], 68, False, [True, False, True, False], 3394, 'North', (5, 10))
Element 17: (1, (5, 10), ['.', '', '.', '.'], [(15, 9), (15, 6), (14, 8)], [False, False, False, False], 66, False, [True, False, True, True], 3413, 'East', (6, 10))
Element 18: (1, (6, 10), ['', '%', '.', '.'], [(16, 9), (16, 6), (14, 9)], [False, True, False, False], 64, False, [False, False, True, True], 3432, 'East', (7, 10))
Element 19: (1, (7, 10), ['', '%', '.', '.'], [(17, 9), (17, 6), (14, 10)], [False, True, False, False], 62, False, [False, False, True, True], 3461, 'East', (8, 10))
Element 20: (1, (8, 10), ['', '%', 'F', '.'], [(18, 9), (17, 7), (15, 10)], [False, True, False, False], 60, False, [False, False, False, True], 3490, 'North', (8, 11))
Element 21: (1, (8, 11), ['.', '', '%', '.'], [(17, 9), (16, 7), (15, 9)], [False, False, True, False], 58, False, [True, False, False, True], 4489, 'East', (9, 11))
Element 22: (1, (9, 11), ['', '.', 'F', '.'], [(17, 10), (16, 6), (16, 9)], [False, False, False, False], 56, False, [False, True, False, True], 4508, 'North', (9, 12))
Element 23: #1#
