Element 38: (3, (13, 12), ['', '', '', ''], [(11, 12), (16, 9), (10, 6)], [False, False, False, False], 24, False, [False, False, False, False], 4692, 'South', (13, 11))
Element 39: (3, (13, 11), ['', '', '', '%'], [(10, 12), (17, 9), (10, 5)], [False, False, False, True], 22, False, [False, False, False, False], 4691, 'South', (13, 10))
Element 40: (3, (13, 10), ['', '', '', ''], [(9, 12), (18, 9), (11, 5)], [False, False, False, False], 20, False, [False, False, False, False], 4690, 'East', (14, 10))
Element 41: (3, (14, 10), ['', '', '%', ''], [(9, 11), (17, 9), (12, 5)], [False, False, True, False], 18, False, [False, False, False, False], 4689, 'East', (15, 10))
Element 42: (3, (15, 10), ['', '', '%', '%'], [(9, 10), (17, 10), (13, 5)], [False, False, True, True], 16, False, [False, False, False, False], 4688, 'South', (15, 9))
Element 43: (3, (15, 9), ['', '%', '', ''], [(10, 10), (17, 11), (13, 6)], [False, True, False, False], 14, False, [False, False, False, False], 4687, 'East', (16, 9))
Element 44: (3, (16, 9), ['', '%', '%', ''], [(11, 10), (18, 11), (14, 6)], [False, True, True, False], 12, False, [False, False, False, False], 4686, 'East', (17, 9))
Element 45: (3, (17, 9), ['', '%', '', ''], [(11, 9), (17, 11), (15, 6)], [False, True, False, False], 10, False, [False, False, False, False], 4695, 'East', (18, 9))
Element 46: (3, (18, 9), ['', '%', '%', '%'], [(12, 9), (16, 11), (16, 6)], [False, True, True, True], 8, False, [False, False, False, False], 4694, 'West', (17, 9))
Element 47: (3, (17, 9), ['', '%', '', ''], [(13, 9), (16, 12), (17, 6)], [False, True, False, False], 6, False, [False, False, False, False], 4693, 'West', (16, 9))
Element 48: (3, (16, 9), ['', '%', '%', ''], [(14, 9), (16, 13), (17, 7)], [False, True, True, False], 4, False, [False, False, False, False], 4692, 'West', (15, 9))
Element 49: (3, (15, 9), ['', '%', '', ''], [(14, 10), (15, 13), (18, 7)], [False, True, False, False], 2, False, [False, False, False, False], 4691, 'West', (14, 9))
Element 50: (3, (14, 9), ['', '', 'G', ''], [(14, 10), (15, 13), (18, 7)], [False, False, False, False], 0, False, [False, False, False, False], 4690, 'Stop', (14, 9))
Element 51: #0#
