Element 1: (2, (6, 3), ['.', '.', 'F', '%'], [(17, 11), (3, 3), (15, 10)], [False, False, False, True], 98, False, [True, True, False, False], 19, 'North', (6, 4))
Element 2: (2, (6, 4), ['%', '', '.', '%'], [(17, 10), (4, 3), (15, 9)], [True, False, False, True], 96, False, [False, False, True, False], 1048, 'North', (6, 5))
Element 3: (2, (6, 5), ['.', '', '.', '.'], [(17, 9), (5, 3), (16, 9)], [False, False, False, False], 94, False, [True, False, True, True], 1087, 'East', (7, 5))
Element 4: (2, (7, 5), ['', '%', '.', '.'], [(18, 9), (5, 2), (15, 9)], [False, True, False, False], 92, False, [False, False, True, True], 1116, 'East', (8, 5))
Element 5: (2, (8, 5), ['', '%', '.', '.'], [(17, 9), (6, 2), (14, 9)], [False, True, False, False], 90, False, [False, False, True, True], 1145, 'East', (9, 5))
Element 6: (2, (9, 5), ['', '%', '.', '.'], [(16, 9), (6, 1), (14, 10)], [False, True, False, False], 88, False, [False, False, True, True], 1174, 'East', (10, 5))
Element 7: (2, (10, 5), ['', '%', '.', '.'], [(15, 9), (7, 1), (13, 10)], [False, True, False, False], 86, False, [False, False, True, True], 1203, 'East', (11, 5))
Element 8: (2, (11, 5), ['', '%', '.', '.'], [(15, 10), (8, 1), (13, 11)], [False, True, False, False], 84, False, [False, False, True, True], 1232, 'East', (12, 5))
Element 9: (2, (12, 5), ['', '%', '.', '.'], [(14, 10), (7, 1), (13, 12)], [False, True, False, False], 82, False, [False, False, True, True], 1251, 'East', (13, 5))
Element 10: (2, (13, 5), ['', '%', '.', '%'], [(14, 9), (6, 1), (14, 12)], [False, True, False, True], 80, False, [False, False, True, False], 1270, 'North', (13, 6))
Element 11: (2, (13, 6), ['.', '', '.', '.'], [(14, 8), (5, 1), (15, 12)], [False, False, False, False], 78, False, [True, False, True, True], 1309, 'East', (14, 6))
Element 12: (2, (14, 6), ['', '%', 'G', '.'], [(14, 7), (4, 1), (16, 12)], [False, True, False, False], 76, False, [False, False, False, True], 1348, 'East', (15, 6))
Element 13: (2, (15, 6), ['', '%', 'G', '.'], [(15, 7), (4, 2), (16, 13)], [False, True, False, False], 74, False, [False, False, False, True], 1387, 'East', (16, 6))
Element 14: (2, (16, 6), ['', '%', 'G', '.'], [(16, 7), (3, 2), (15, 13)], [False, True, False, False], 72, False, [False, False, False, True], 1426, 'East', (17, 6))
Element 15: (2, (17, 6), ['', '%', 'G', '%'], [(17, 7), (3, 1), (14, 13)], [False, True, False, True], 70, False, [False, False, False, False], 1465, 'West', (16, 6))
Element 16: (2, (16, 6), ['', '%', '', ''], [(18, 7), (2, 1), (13, 13)], [False, True, False, False], 68, False, [False, False, False, False], 1494, 'West', (15, 6))
