Element 1: (1, (6, 10), ['.', '%', 'G', '.'], [(16, 12), (6, 11), (16, 9)], [False, True, False, False], 98, False, [True, False, False, True], 9, 'East', (7, 10))
Element 2: (1, (7, 10), ['', '%', 'G', '.'], [(16, 13), (7, 11), (17, 9)], [False, True, False, False], 96, False, [False, False, False, True], 48, 'East', (8, 10))
Element 3: (1, (8, 10), ['', '%', 'G', '.'], [(15, 13), (8, 11), (18, 9)], [False, True, False, False], 94, False, [False, False, False, True], 1077, 'East', (9, 10))
Element 4: (1, (9, 10), ['', '%', 'G', '.'], [(14, 13), (9, 11), (17, 9)], [False, True, False, False], 92, False, [False, False, False, True], 1106, 'East', (10, 10))
Element 5: (1, (10, 10), ['', '%', '.', '.'], [(14, 12), (9, 12), (17, 10)], [False, True, False, False], 90, False, [False, False, True, True], 2135, 'East', (11, 10))
Element 6: (1, (11, 10), ['', '.', '.', '.'], [(13, 12), (10, 12), (17, 11)], [False, False, False, False], 88, False, [False, True, True, True], 2174, 'East', (12, 10))
Element 7: (1, (12, 10), ['', '.', '.', '.'], [(13, 13), (11, 12), (18, 11)], [False, False, False, False], 86, False, [False, True, True, True], 2213, 'East', (13, 10))
Element 8: (1, (13, 10), ['', '.', '.', '.'], [(12, 13), (12, 12), (17, 11)], [False, False, False, False], 84, False, [False, True, True, True], 2242, 'East', (14, 10))
Element 9: (1, (14, 10), ['', '.', '%', '.'], [(12, 12), (12, 11), (16, 11)], [False, False, True, False], 82, False, [False, True, False, True], 2271, 'East', (15, 10))
Element 10: (1, (15, 10), ['', '.', '%', '%'], [(12, 11), (13, 11), (16, 12)], [False, False, True, True], 80, False, [False, True, False, False], 2290, 'South', (15, 9))
Element 11: (1, (15, 9), ['.', '%', '', ''], [(11, 11), (13, 12), (16, 13)], [False, True, False, False], 78, False, [True, False, False, False], 2309, 'West', (14, 9))
Element 12: (1, (14, 9), ['.', '.', '', ''], [(10, 11), (14, 12), (15, 13)], [False, False, False, False], 76, False, [True, True, False, False], 2328, 'South', (14, 8))
Element 13: (1, (14, 8), ['.', '.', '', '%'], [(10, 12), (15, 12), (14, 13)], [False, False, False, True], 74, False, [True, True, False, False], 2337, 'South', (14, 7))
Element 14: (1, (14, 7), ['.', '.', '', '.'], [(11, 12), (16, 12), (14, 12)], [False, False, False, False], 72, False, [True, True, False, True], 2346, 'East', (15, 7))
Element 15: (1, (15, 7), ['', '.', '%', '.'], [(10, 12), (16, 13), (15, 12)], [False, False, True, False], 70, False, [False, True, False, True], 2355, 'East', (16, 7))
Element 16: (1, (16, 7), ['', '.', '%', '.'], [(9, 12), (15, 13), (14, 12)], [False, False, True, False], 68, False, [False, True, False, True], 2364, 'East', (17, 7))
Element 17: (1, (17, 7), ['', '.', '%', '.'], [(9, 11), (14, 13), (13, 12)], [False, False, True, False], 66, False, [False, True, False, True], 2373, 'East', (18, 7))
Element 18: (1, (18, 7), ['', '%', '%', '%'], [(9, 10), (13, 13), (13, 11)], [False, True, True, True], 64, False, [False, False, False, False], 2382, 'West', (17, 7))
Element 19: (1, (17, 7), ['', '.', '%', ''], [(10, 10), (12, 13), (13, 10)], [False, False, True, False], 62, False, [False, True, False, False], 2381, 'South', (17, 6))
Element 20: (1, (17, 6), ['.', '%', '', '%'], [(11, 10), (13, 13), (13, 9)], [False, True, False, True], 60, False, [True, False, False, False], 2400, 'West', (16, 6))
Element 21: (1, (16, 6), ['.', '%', '', ''], [(11, 9), (14, 13), (13, 8)], [False, True, False, False], 58, False, [True, False, False, False], 2429, 'West', (15, 6))
Element 22: (1, (15, 6), ['.', '%', '', ''], [(12, 9), (15, 13), (13, 7)], [False, True, False, False], 56, False, [True, False, False, False], 2458, 'West', (14, 6))
Element 23: (1, (14, 6), ['G', '%', '', ''], [(12, 8), (16, 13), (13, 6)], [False, True, False, False], 54, False, [False, False, False, False], 2487, 'East', (15, 6))
Element 24: (1, (15, 6), ['', '%', '', ''], [(12, 7), (16, 12), (13, 5)], [False, True, False, False], 52, False, [False, False, False, False], 2506, 'East', (16, 6))
Element 25: (1, (16, 6), ['', '%', '', ''], [(12, 6), (16, 11), (12, 5)], [False, True, False, False], 50, False, [False, False, False, False], 2525, 'East', (17, 6))
Element 26: (1, (17, 6), ['', '%', '', '%'], [(11, 6), (17, 11), (11, 5)], [False, True, False, True], 48, False, [False, False, False, False], 2544, 'North', (17, 7))
Element 27: (1, (17, 7), ['', '', '%', ''], [(11, 7), (18, 11), (10, 5)], [False, False, True, False], 46, False, [False, False, False, False], 2563, 'West', (16, 7))
Element 28: (1, (16, 7), ['', '', '%', ''], [(10, 7), (17, 11), (10, 6)], [False, False, True, False], 44, False, [False, False, False, False], 2582, 'South', (16, 6))
Element 29: (1, (16, 6), ['', '%', '', ''], [(10, 8), (17, 10), (9, 6)], [False, True, False, False], 42, False, [False, False, False, False], 3591, 'North', (16, 7))
Element 30: (1, (16, 7), ['', '', '%', ''], [(9, 8), (17, 9), (9, 7)], [False, False, True, False], 40, False, [False, False, False, False], 3610, 'West', (15, 7))
Element 31: (1, (15, 7), ['', '', '%', ''], [(8, 8), (18, 9), (10, 7)], [False, False, True, False], 38, False, [False, False, False, False], 3619, 'South', (15, 6))
Element 32: (1, (15, 6), ['', '%', '', ''], [(7, 8), (17, 9), (11, 7)], [False, True, False, False], 36, False, [False, False, False, False], 3628, 'North', (15, 7))
Element 33: (1, (15, 7), ['', '', '%', ''], [(6, 8), (16, 9), (12, 7)], [False, False, True, False], 34, False, [False, False, False, False], 4627, 'West', (14, 7))
Element 34: (1, (14, 7), ['', '', '', ''], [(5, 8), (15, 9), (12, 8)], [False, False, False, False], 32, False, [False, False, False, False], 4636, 'South', (14, 6))
Element 35: (1, (14, 6), ['', '%', '', ''], [(5, 9), (15, 10), (12, 9)], [False, True, False, False], 30, False, [False, False, False, False], 4645, 'North', (14, 7))
Element 36: (1, (14, 7), ['', '', '', ''], [(5, 10), (14, 10), (12, 10)], [False, False, False, False], 28, False, [False, False, False, False], 4654, 'West', (13, 7))
Element 37: (1, (13, 7), ['', '', '', ''], [(5, 11), (14, 9), (12, 11)], [False, False, False, False], 26, False, [False, False, False, False], 4663, 'North', (13, 8))
Element 38: (1, (13, 8), ['', '', '', 'G'], [(5, 12), (14, 8), (12, 12)], [False, False, False, False], 24, False, [False, False, False, False], 4672, 'North', (13, 9))
Element 39: (1, (13, 9), ['', '', '', ''], [(6, 12), (14, 7), (12, 13)], [False, False, False, False], 22, False, [False, False, False, False], 4681, 'West', (12, 9))
Element 40: (1, (12, 9), ['', '', '', ''], [(6, 11), (15, 7), (13, 13)], [False, False, False, False], 20, False, [False, False, False, False], 4680, 'South', (12, 8))
Element 41: (1, (12, 8), ['%', '', '', ''], [(7, 11), (16, 7), (12, 13)], [True, False, False, False], 18, False, [False, False, False, False], 4679, 'South', (12, 7))
Element 42: (1, (12, 7), ['', '', '', ''], [(8, 11), (17, 7), (12, 12)], [False, False, False, False], 16, False, [False, False, False, False], 4678, 'South', (12, 6))
Element 43: (1, (12, 6), ['', '', '', ''], [(8, 10), (18, 7), (11, 12)], [False, False, False, False], 14, False, [False, False, False, False], 4677, 'East', (13, 6))
Element 44: (1, (13, 6), ['', '', '', ''], [(7, 10), (17, 7), (11, 11)], [False, False, False, False], 12, False, [False, False, False, False], 4676, 'South', (13, 5))
Element 45: (1, (13, 5), ['', '%', '', '%'], [(6, 10), (17, 6), (11, 10)], [False, True, False, True], 10, False, [False, False, False, False], 4675, 'West', (12, 5))
Element 46: (1, (12, 5), ['', '%', '', ''], [(7, 10), (16, 6), (11, 9)], [False, True, False, False], 8, False, [False, False, False, False], 4674, 'West', (11, 5))
Element 47: (1, (11, 5), ['', '%', '', ''], [(8, 10), (15, 6), (11, 10)], [False, True, False, False], 6, False, [False, False, False, False], 4673, 'North', (11, 6))
Element 48: (1, (11, 6), ['', '', '', ''], [(8, 11), (14, 6), (10, 10)], [False, False, False, False], 4, False, [False, False, False, False], 4672, 'North', (11, 7))
Element 49: (1, (11, 7), ['', '', '%', ''], [(7, 11), (13, 6), (10, 11)], [False, False, True, False], 2, False, [False, False, False, False], 4671, 'West', (10, 7))
Element 50: (1, (10, 7), ['', '', '', ''], [(7, 11), (13, 7), (10, 12)], [False, False, False, False], 0, False, [False, False, False, False], 4670, 'Stop', (10, 7))
Element 51: #0#
