Element 24: (2, (12, 6), ['.', '', '', ''], [(13, 12), (18, 11), (10, 12)], [False, False, False, False], 52, False, [True, False, False, False], 4526, 'West', (11, 6))
Element 25: (2, (11, 6), ['.', '.', '', ''], [(13, 11), (17, 11), (11, 12)], [False, False, False, False], 50, False, [True, True, False, False], 4535, 'South', (11, 5))
Element 26: (2, (11, 5), ['.', '%', '', ''], [(12, 11), (17, 10), (12, 12)], [False, True, False, False], 48, False, [True, False, False, False], 4544, 'West', (10, 5))
Element 27: (2, (10, 5), ['.', '%', '.', ''], [(12, 12), (17, 9), (12, 13)], [False, True, False, False], 46, False, [True, False, True, False], 4553, 'North', (10, 6))
Element 28: (2, (10, 6), ['.', '', '', ''], [(12, 13), (18, 9), (13, 13)], [False, False, False, False], 44, False, [True, False, False, False], 4562, 'West', (9, 6))
Element 29: (2, (9, 6), ['.', '.', '.', ''], [(12, 12), (17, 9), (13, 12)], [False, False, False, False], 42, False, [True, True, True, False], 4571, 'North', (9, 7))
Element 30: (2, (9, 7), ['%', '', '', ''], [(11, 12), (16, 9), (13, 11)], [True, False, False, False], 40, False, [False, False, False, False], 4580, 'South', (9, 6))
Element 31: (2, (9, 6), ['.', '.', '', ''], [(11, 11), (15, 9), (12, 11)], [False, False, False, False], 38, False, [True, True, False, False], 4579, 'South', (9, 5))
Element 32: (2, (9, 5), ['.', '%', '', ''], [(10, 11), (14, 9), (12, 12)], [False, True, False, False], 36, False, [True, False, False, False], 4598, 'West', (8, 5))
Element 33: (2, (8, 5), ['.', '%', '.', ''], [(10, 12), (14, 8), (11, 12)], [False, True, False, False], 34, False, [True, False, True, False], 4617, 'North', (8, 6))
Element 34: (2, (8, 6), ['.', '', '%', ''], [(9, 12), (13, 8), (11, 11)], [False, False, True, False], 32, False, [True, False, False, False], 4636, 'West', (7, 6))
Element 35: (2, (7, 6), ['.', '.', '%', ''], [(9, 11), (13, 9), (10, 11)], [False, False, True, False], 30, False, [True, True, False, False], 4655, 'South', (7, 5))
Element 36: (2, (7, 5), ['.', '%', '', ''], [(8, 11), (12, 9), (10, 10)], [False, True, False, False], 28, False, [True, False, False, False], 4674, 'West', (6, 5))
Element 37: (2, (6, 5), ['.', 'F', '.', ''], [(7, 11), (12, 8), (11, 10)], [False, False, False, False], 26, False, [True, False, True, False], 4703, 'South', (6, 4))
Element 38: #1#
