Element 1: (3, (9, 6), ['', '.', '.', '.'], [(6, 4), (3, 11), (8, 5)], [False, False, False, False], 98, False, [False, True, True, True], 1019, 'East', (10, 6))
Element 2: (3, (10, 6), ['', '.', '.', '.'], [(6, 5), (4, 11), (9, 5)], [False, False, False, False], 96, False, [False, True, True, True], 1058, 'East', (11, 6))
Element 3: (3, (11, 6), ['', '.', '.', '.'], [(7, 5), (5, 11), (10, 5)], [False, False, False, False], 94, False, [False, True, True, True], 1097, 'East', (12, 6))
Element 4: (3, (12, 6), ['', '.', '.', '.'], [(7, 6), (6, 11), (11, 5)], [False, False, False, False], 92, False, [False, True, True, True], 1136, 'East', (13, 6))
Element 5: (3, (13, 6), ['', '.', '.', '.'], [(6, 6), (7, 11), (12, 5)], [False, False, False, False], 90, False, [False, True, True, True], 1175, 'East', (14, 6))
Element 6: (3, (14, 6), ['', '%', '.', '.'], [(5, 6), (8, 11), (13, 5)], [False, True, False, False], 88, False, [False, False, True, True], 2204, 'East', (15, 6))
Element 7: (3, (15, 6), ['', '%', '.', '.'], [(5, 5), (9, 11), (13, 6)], [False, True, False, False], 86, False, [False, False, True, True], 2233, 'East', (16, 6))
Element 8: (3, (16, 6), ['', '%', '.', '.'], [(4, 5), (9, 12), (13, 7)], [False, True, False, False], 84, False, [False, False, True, True], 3262, 'East', (17, 6))
Element 9: (3, (17, 6), ['', '%', '.', '%'], [(4, 6), (10, 12), (14, 7)], [False, True, False, True], 82, False, [False, False, True, False], 3301, 'North', (17, 7))
Element 10: (3, (17, 7), ['.', '', '%', '.'], [(4, 7), (11, 12), (15, 7)], [False, False, True, False], 80, False, [True, False, False, True], 3340, 'East', (18, 7))
Element 11: (3, (18, 7), ['', '%', '%', '%'], [(4, 8), (12, 12), (16, 7)], [False, True, True, True], 78, False, [False, False, False, False], 3379, 'West', (17, 7))
Element 12: (3, (17, 7), ['', '', '%', ''], [(5, 8), (13, 12), (16, 6)], [False, False, True, False], 76, False, [False, False, False, False], 3398, 'West', (16, 7))
Element 13: (3, (16, 7), ['', '', '%', ''], [(6, 8), (14, 12), (17, 6)], [False, False, True, False], 74, False, [False, False, False, False], 4407, 'West', (15, 7))
Element 14: (3, (15, 7), ['', '', '%', ''], [(7, 8), (15, 12), (17, 7)], [False, False, True, False], 72, False, [False, False, False, False], 4426, 'West', (14, 7))
Element 15: (3, (14, 7), ['', '', '.', ''], [(8, 8), (16, 12), (18, 7)], [False, False, False, False], 70, False, [False, False, True, False], 4445, 'North', (14, 8))
Element 16: (3, (14, 8), ['.', '', '.', '%'], [(9, 8), (16, 13), (17, 7)], [False, False, False, True], 68, False, [True, False, True, False], 4474, 'North', (14, 9))
Element 17: #1#
