Element 1: (0, (18, 3), ['.', '%', '%', '%'], [(2, 11), (4, 2), (11, 6)], [False, True, True, True], 98, False, [True, False, False, False], 0, 'West', (17, 3))
Element 2: (0, (17, 3), ['.', '%', '%', ''], [(3, 11), (5, 2), (12, 6)], [False, True, True, False], 96, False, [True, False, False, False], 39, 'West', (16, 3))
Element 3: (0, (16, 3), ['%', '%', '.', ''], [(4, 11), (6, 2), (13, 6)], [True, True, False, False], 94, False, [False, False, True, False], 78, 'North', (16, 4))
Element 4: (0, (16, 4), ['.', '', '%', '%'], [(5, 11), (6, 3), (14, 6)], [False, False, True, True], 92, False, [True, False, False, False], 117, 'West', (15, 4))
Element 5: (0, (15, 4), ['.', '%', '%', ''], [(6, 11), (6, 4), (15, 6)], [False, True, True, False], 90, False, [True, False, False, False], 1146, 'West', (14, 4))
Element 6: (0, (14, 4), ['%', '%', '%', ''], [(7, 11), (6, 5), (16, 6)], [True, True, True, False], 88, False, [False, False, False, False], 1185, 'East', (15, 4))
Element 7: (0, (15, 4), ['', '%', '%', ''], [(8, 11), (7, 5), (17, 6)], [False, True, True, False], 86, False, [False, False, False, False], 2204, 'East', (16, 4))
Element 8: (0, (16, 4), ['', '', '%', '%'], [(9, 11), (8, 5), (17, 7)], [False, False, True, True], 84, False, [False, False, False, False], 2233, 'South', (16, 3))
Element 9: (0, (16, 3), ['%', '%', '', ''], [(9, 12), (9, 5), (18, 7)], [True, True, False, False], 82, False, [False, False, False, False], 3252, 'East', (17, 3))
Element 10: (0, (17, 3), ['', '%', '%', ''], [(10, 12), (10, 5), (17, 7)], [False, True, True, False], 80, False, [False, False, False, False], 3271, 'East', (18, 3))
Element 11: (0, (18, 3), ['', '%', '%', '%'], [(11, 12), (11, 5), (16, 7)], [False, True, True, True], 78, False, [False, False, False, False], 3300, 'Stop', (18, 3))
Element 12: (0, (18, 3), ['', '%', '%', '%'], [(12, 12), (12, 5), (15, 7)], [False, True, True, True], 76, False, [False, False, False, False], 3329, 'West', (17, 3))
Element 13: (0, (17, 3), ['', '%', '%', ''], [(13, 12), (13, 5), (14, 7)], [False, True, True, False], 74, False, [False, False, False, False], 3358, 'West', (16, 3))
Element 14: (0, (16, 3), ['%', '%', '', ''], [(14, 12), (13, 6), (14, 8)], [True, True, False, False], 72, False, [False, False, False, False], 3377, 'North', (16, 4))
Element 15: (0, (16, 4), ['', '', '%', '%'], [(15, 12), (13, 7), (14, 9)], [False, False, True, True], 70, False, [False, False, False, False], 3406, 'West', (15, 4))
Element 16: (0, (15, 4), ['', '%', '%', ''], [(16, 12), (13, 8), (15, 9)], [False, True, True, False], 68, False, [False, False, False, False], 3435, 'West', (14, 4))
Element 17: (0, (14, 4), ['%', '%', '%', ''], [(16, 13), (13, 9), (16, 9)], [True, True, True, False], 66, False, [False, False, False, False], 3464, 'East', (15, 4))
Element 18: (0, (15, 4), ['', '%', '%', ''], [(15, 13), (13, 10), (17, 9)], [False, True, True, False], 64, False, [False, False, False, False], 3493, 'East', (16, 4))
Element 19: (0, (16, 4), ['', '', '%', '%'], [(14, 13), (14, 10), (18, 9)], [False, False, True, True], 62, False, [False, False, False, False], 3522, 'South', (16, 3))
Element 20: (0, (16, 3), ['%', '%', '', ''], [(13, 13), (15, 10), (17, 9)], [True, True, False, False], 60, False, [False, False, False, False], 3541, 'East', (17, 3))
Element 21: (0, (17, 3), ['', '%', '%', ''], [(12, 13), (15, 9), (17, 10)], [False, True, True, False], 58, False, [False, False, False, False], 3560, 'East', (18, 3))
Element 22: (0, (18, 3), ['', '%', '%', '%'], [(13, 13), (16, 9), (17, 11)], [False, True, True, True], 56, False, [False, False, False, False], 3569, 'Stop', (18, 3))
Element 23: (0, (18, 3), ['', '%', '%', '%'], [(14, 13), (17, 9), (18, 11)], [False, True, True, True], 54, False, [False, False, False, False], 3578, 'West', (17, 3))
