Element 1: (3, (10, 12), ['F', '.', '%', '.'], [(7, 10), (2, 10), (5, 11)], [False, False, True, False], 98, False, [False, True, False, True], 29, 'West', (9, 12))
Element 2: (3, (9, 12), ['%', '.', '%', ''], [(8, 10), (3, 10), (6, 11)], [True, False, True, False], 96, False, [False, True, False, False], 1058, 'South', (9, 11))
Element 3: (3, (9, 11), ['G', '.', '', '.'], [(8, 11), (4, 10), (7, 11)], [False, False, False, False], 94, False, [False, True, False, True], 2087, 'East', (10, 11))
Element 4: (3, (10, 11), ['G', '.', '', '.'], [(9, 11), (4, 11), (8, 11)], [False, False, False, False], 92, False, [False, True, False, True], 2106, 'East', (11, 11))
Element 5: (3, (11, 11), ['', '.', '.', '.'], [(9, 10), (3, 11), (9, 11)], [False, False, False, False], 90, False, [False, True, True, True], 2135, 'East', (12, 11))
Element 6: (3, (12, 11), ['', '.', '.', '.'], [(10, 10), (2, 11), (10, 11)], [False, False, False, False], 88, False, [False, True, True, True], 2164, 'East', (13, 11))
Element 7: (3, (13, 11), ['', '.', '.', '%'], [(11, 10), (3, 11), (11, 11)], [False, False, False, True], 86, False, [False, True, True, False], 2183, 'North', (13, 12))
Element 8: (3, (13, 12), ['.', '', '.', '.'], [(12, 10), (4, 11), (11, 12)], [False, False, False, False], 84, False, [True, False, True, True], 2212, 'East', (14, 12))
Element 9: (3, (14, 12), ['', '%', '.', '.'], [(13, 10), (5, 11), (12, 12)], [False, True, False, False], 82, False, [False, False, True, True], 2241, 'East', (15, 12))
Element 10: (3, (15, 12), ['', '%', '.', '.'], [(14, 10), (5, 12), (12, 13)], [False, True, False, False], 80, False, [False, False, True, True], 2280, 'East', (16, 12))
Element 11: (3, (16, 12), ['', '.', '.', '%'], [(15, 10), (6, 12), (13, 13)], [False, False, False, True], 78, False, [False, True, True, False], 2319, 'North', (16, 13))
Element 12: (3, (16, 13), ['.', '', '%', '%'], [(15, 9), (6, 11), (14, 13)], [False, False, True, True], 76, False, [True, False, False, False], 2348, 'West', (15, 13))
Element 13: (3, (15, 13), ['', '', '%', ''], [(16, 9), (7, 11), (14, 12)], [False, False, True, False], 74, False, [False, False, False, False], 2367, 'West', (14, 13))
Element 14: (3, (14, 13), ['', '', '%', ''], [(17, 9), (8, 11), (15, 12)], [False, False, True, False], 72, False, [False, False, False, False], 2376, 'West', (13, 13))
Element 15: (3, (13, 13), ['', '', '%', ''], [(18, 9), (9, 11), (16, 12)], [False, False, True, False], 70, False, [False, False, False, False], 2385, 'West', (12, 13))
Element 16: (3, (12, 13), ['%', '', '%', ''], [(17, 9), (10, 11), (16, 11)], [True, False, True, False], 68, False, [False, False, False, False], 2394, 'South', (12, 12))
Element 17: (3, (12, 12), ['', '', '', ''], [(17, 10), (11, 11), (17, 11)], [False, False, False, False], 66, False, [False, False, False, False], 2413, 'West', (11, 12))
Element 18: (3, (11, 12), ['', '', '%', ''], [(17, 9), (12, 11), (18, 11)], [False, False, True, False], 64, False, [False, False, False, False], 2422, 'East', (12, 12))
Element 19: (3, (12, 12), ['', '', '', ''], [(16, 9), (13, 11), (17, 11)], [False, False, False, False], 62, False, [False, False, False, False], 2421, 'North', (12, 13))
Element 20: (3, (12, 13), ['%', '', '%', ''], [(15, 9), (13, 12), (17, 10)], [True, False, True, False], 60, False, [False, False, False, False], 2420, 'East', (13, 13))
Element 21: (3, (13, 13), ['', '', '%', ''], [(14, 9), (14, 12), (17, 9)], [False, False, True, False], 58, False, [False, False, False, False], 2429, 'East', (14, 13))
Element 22: (3, (14, 13), ['', '', '%', ''], [(14, 8), (15, 12), (18, 9)], [False, False, True, False], 56, False, [False, False, False, False], 2438, 'East', (15, 13))
Element 23: (3, (15, 13), ['', '', '%', ''], [(14, 7), (16, 12), (17, 9)], [False, False, True, False], 54, False, [False, False, False, False], 2447, 'East', (16, 13))
Element 24: (3, (16, 13), ['', '', '%', '%'], [(15, 7), (16, 11), (16, 9)], [False, False, True, True], 52, False, [False, False, False, False], 2456, 'South', (16, 12))
Element 25: (3, (16, 12), ['', '', '', '%'], [(16, 7), (17, 11), (15, 9)], [False, False, False, True], 50, False, [False, False, False, False], 2465, 'South', (16, 11))
Element 26: (3, (16, 11), ['%', '%', '', ''], [(17, 7), (18, 11), (15, 10)], [True, True, False, False], 48, False, [False, False, False, False], 2474, 'East', (17, 11))
Element 27: (3, (17, 11), ['', '', '%', 'G'], [(18, 7), (18, 11), (14, 10)], [False, False, True, False], 46, False, [False, False, False, False], 2483, 'South', (17, 10))
Element 28: (3, (17, 10), ['%', '', 'G', '%'], [(17, 7), (17, 11), (14, 9)], [True, False, False, True], 44, False, [False, False, False, False], 2482, 'South', (17, 9))
Element 29: (3, (17, 9), ['', '%', '', ''], [(17, 6), (17, 11), (13, 9)], [False, True, False, False], 42, False, [False, False, False, False], 2501, 'East', (18, 9))
Element 30: (3, (18, 9), ['', '%', '%', '%'], [(16, 6), (16, 11), (13, 8)], [False, True, True, True], 40, False, [False, False, False, False], 2520, 'West', (17, 9))
Element 31: (3, (17, 9), ['', '%', '', ''], [(15, 6), (16, 12), (13, 7)], [False, True, False, False], 38, False, [False, False, False, False], 2539, 'West', (16, 9))
